-----
{
 "description": "This table provides State-wise data on air quality in industrial areas under national ambient air quality monitoring programme for the period 2001 onwards.", 
 "file_name": "AIR_QUALITY_IN_INDUSTRIAL_AREAS_1.xls", 
 "title": "Air quality in industrial areas under national ambient air quality monitoring programme for a few states ", 
 "url": "http://data.gov.in/sites/default/files/AIR_QUALITY_IN_INDUSTRIAL_AREAS_1.xls"
}
-----
"State ","2001 SO2","2001 NO2","2001 RSPM","2005 SO2","2005 NO2","2005 RSPM","2008 SO2","2008 NO2","2008 RSPM","2009 SO2","2009 NO2","2009 PM","2010 SO2","2010 NO2","2010 PM"
" Andhra Pradesh",12.0,30.0,75.0,6.0,28.0,82.0,6.0,27.0,87.0,7.0,20.0,86.0,5.0,17.0,73.0
" Chandigarh",4.0,19.0,"NA",2.0,2.0,121.0,2.0,20.0,123.0,2.0,15.0,81.0,2.0,16.0,92.0
" Chhattisgarh",19.0,37.0,"NA",19.0,34.0,204.0,17.0,42.0,212.0,16.0,31.0,164.0,11.0,22.0,107.0
" Delhi",14.0,41.0,"NA",10.0,44.0,165.0,8.0,61.0,225.0,6.0,50.0,252.0,5.0,55.0,261.0
" Goa",5.0,20.0,"NA",4.0,6.0,58.0,3.0,11.0,52.0,3.0,14.0,74.0,14.0,18.0,68.0
" Gujarat",17.0,29.0,199.0,19.0,31.0,127.0,16.0,26.0,127.0,16.0,24.0,92.0,15.0,23.0,89.0
" Haryana",23.0,15.0,"NA",15.0,27.0,149.0,15.0,28.0,267.0,13.0,20.0,168.0,14.0,23.0,171.0
" Himachal Pradesh",3.0,12.0,65.0,4.0,17.0,49.0,2.0,12.0,134.0,3.0,13.0,89.0,3.0,15.0,88.0
" Jharkhand",24.0,41.0,"NA",17.0,50.0,161.0,28.0,47.0,170.0,23.0,42.0,186.0,23.0,39.0,193.0
" Karnataka",22.0,24.0,64.0,10.0,34.0,77.0,10.0,25.0,85.0,10.0,27.0,85.0,10.0,22.0,70.0
" Kerala",11.0,13.0,96.0,11.0,11.0,50.0,6.0,11.0,45.0,5.0,15.0,46.0,4.0,13.0,42.0
" Maharashtra",20.0,31.0,92.0,15.0,30.0,91.0,24.0,41.0,108.0,15.0,31.0,100.0,17.0,31.0,101.0
" Madhya Pradesh",27.0,22.0,224.0,13.0,15.0,123.0,15.0,18.0,160.0,10.0,17.0,129.0,11.0,17.0,137.0
" Meghalaya","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.0,9.0,88.0,2.0,10.0,101.0
" Mizoram","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.0,6.0,40.0,2.0,6.0,42.0
" Manipur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Nagaland","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.0,16.0,80.0,2.0,6.0,68.0
" Orissa",9.0,28.0,114.0,5.0,15.0,86.0,8.0,21.0,95.0,5.0,18.0,88.0,5.0,18.0,86.0
"  Punjab",14.0,31.0,198.0,21.0,34.0,314.0,11.0,35.0,229.0,10.0,30.0,199.0,11.0,27.0,187.0
" Puduchery",18.0,17.0,"NA",21.0,17.0,52.0,6.0,13.0,54.0,3.0,11.0,42.0,6.0,13.0,38.0
" Rajasthan",12.0,42.0,91.0,8.0,23.0,125.0,8.0,31.0,135.0,6.0,27.0,129.0,7.0,29.0,168.0
" Tamil Nadu",17.0,26.0,78.0,15.0,28.0,69.0,13.0,21.0,81.0,11.0,20.0,72.0,9.0,20.0,70.0
" Uttar Pradesh",32.0,33.0,185.0,17.0,25.0,178.0,17.0,27.0,197.0,14.0,31.0,174.0,12.0,30.0,181.0
" Uttarakhand",20.0,20.0,170.0,"NA","NA",78.0,20.0,21.0,93.0,28.0,30.0,130.0,"NA","NA",169.0
" West Bengal ",15.0,63.0,128.0,11.0,60.0,112.0,10.0,73.0,119.0,10.0,68.0,136.0,10.0,64.0,110.0
