-----
{
 "description": "This Table give All India (2007-08 to 2010-11) data on summary of Area And Production Estimates Of Horticulture Crops like fruits, vegetables, Aromatic, Almond/Walnut, Flowers Loose, Flowers Cut, Plantation Crops, Mushroom, Honey, Spices, etc.", 
 "file_name": "AREA_AND_PRODUCTION_ESTIMATES_OF_HORTICULTURE_CROPS_-SUMMARY.xls", 
 "title": "Summary of Area And Production Estimates of Horticulture Crops ", 
 "url": "http://data.gov.in/sites/default/files/AREA_AND_PRODUCTION_ESTIMATES_OF_HORTICULTURE_CROPS_-SUMMARY.xls"
}
-----
"Crops","2007-08 Area ( In '000' hectare )","2007-08 Production ( In '000' tonne)","2008-09 Area ( In '000' hectare )","2008-09 Production ( In '000' tonne)","2009-10  Area ( In '000' hectare )","2009-10  Production ( In '000' tonne)","2010-11  Area ( In '000' hectare )","2010-11  Production ( In '000' tonne)"
"Banana",657.825,23822.995,708.836,26217.191,770.0,26470.0,830.0,29780.0
"Mango",2201.376,13996.78,2308.975,12749.766,2312.0,15027.0,2297.0,15188.0
"Citrus",867.064,8014.886,924.0,8623.0,987.0,9638.0,846.0,7464.0
"Papaya",82.816,2908.639,97.745,3628.867,96.0,3913.0,106.0,4196.0
"Guava",179.231,1981.148,203.653,2270.087,220.0,2572.0,205.0,2462.0
"Apple",263.935,2001.45,274.432,1985.138,283.0,1777.0,289.0,2891.0
"Pineapple",80.038,1244.558,83.741,1340.757,92.0,1387.0,89.0,1415.0
"Sapota",152.068,1257.837,156.144,1307.838,159.0,1347.0,160.0,1424.0
"Grapes",68.346,1734.694,79.594,1878.331,106.0,881.0,111.0,1235.0
"Pomegranate",123.588,884.129,109.21,807.173,125.0,820.0,107.0,743.0
"Litchi",69.135,418.413,71.903,423.395,74.0,483.0,78.0,497.0
"Others",1111.805,7321.234,1083.0,7234.0,1105.0,7201.0,1265.0,7583.0
"Fruits Total",5857.227,65586.763,6101.233,68465.543,6329.0,71516.0,6383.0,74878.0
"Potato",1795.0,34658.0,1828.0,34391.0,1835.0,36577.0,1863.0,42339.0
"Tomato",566.0,10303.0,599.0,11149.0,634.0,12433.0,865.0,16526.0
"Onion",821.0,13900.0,834.0,13565.0,756.0,12159.0,1064.0,15118.0
"Brinjal",561.0,9678.0,600.0,10378.0,612.0,10563.0,680.0,11896.0
"Tapioca",270.0,9056.0,280.0,9623.0,232.0,8060.0,221.0,8076.0
"Cabbage",266.0,5910.0,310.0,6870.0,331.0,7281.0,369.0,7949.0
"Cauliflower",312.0,5777.0,349.0,6532.0,348.0,6569.0,369.0,6745.0
"Okra",407.0,4179.0,432.0,4528.0,452.0,4803.0,498.0,5784.0
"Peas",313.0,2491.0,348.0,2916.0,365.0,3029.0,370.0,3517.0
"Sweet Potato",122.654,1094.0,124.0,1120.0,119.0,1095.0,113.0,1047.0
"Others",2414.0,31402.0,2275.0,28006.0,2300.0,31168.0,2083.0,27557.0
"Vegetables Total",7847.654,128449.0,7981.0,129077.0,7985.0,133738.0,8495.0,146554.0
"Aromatic",397.0,396.0,430.0,430.0,509.0,573.0,510.0,605.0
"Almond/Walnut",132.0,177.0,136.0,173.0,142.0,193.0,"NA","NA"
"Flowers Loose",166.0,868.0,167.0,987.0,183.0,1021.0,191.0,1031.0
"Flowers Cut*","NA",43644.0,"NA",47942.0,"NA",66671.0,"NA",69027.0
"Plantation Crops",3190.0,11300.0,3217.0,11336.0,3265.0,11928.0,3306.0,12007.0
"Mushroom ","NA",37.0,"NA",37.0,"NA",41.0,"NA",41.0
"Honey","NA",65.0,"NA",65.0,"NA",65.0,"NA",65.0
"Spices",2617.0,4357.0,2629.0,4145.0,2464.0,4016.0,2940.0,5350.0
"Grand Total",20206.881,211234.763,20662.233,214715.543,20876.0,223089.0,21825.0,240531.0
