-----
{
 "description": "This table provides average composition of gases (nitrogen, oxygen, argon, carbon dioxide, neon, helium, methane, kryton, hydrogen, ozone, xenon) in dry state.", 
 "file_name": "AVERAGE_GASEOUS_COMPOSITION_OF_DRY_1.xls", 
 "title": "Average Gaseous Composition of Dry Air in the Troposphere ", 
 "url": "http://data.gov.in/sites/default/files/AVERAGE_GASEOUS_COMPOSITION_OF_DRY_1.xls"
}
-----
"Gas","Percent by Volume","Parts Per  Million (ppm)"
"Nitrogen",78.08,780840.0
"Oxygen",20.946,209460.0
"Argon",0.934,9340.0
"Carbon dioxide",0.039,390.0
"Neon",0.001818,18.18
"Helium",0.000524,5.24
"Methane",0.000179,1.79
"Kryton",0.000114,1.14
"Hydrogen",5.5e-05,0.55
"Xenon",9e-06,0.09
"Ozone","Variable","~0.001 - 0.3 (Variable)"
