-----
{
 "description": "This table gives All India (from 2000 to 2010) and State-wise (2009-10 and 2010-11) average yield of Principal Crops (food grains, oil seeds, cotton, jute, banana, black pepper, coconut, turmeric etc).", 
 "file_name": "AVERAGE_YIELD_OF_PRINCIPAL_CROPS_0.xls", 
 "title": "Average Yield of Principal Crops ", 
 "url": "http://data.gov.in/sites/default/files/AVERAGE_YIELD_OF_PRINCIPAL_CROPS_0.xls"
}
-----
"Year","Food grains (cereals) - Rice","Food grains (cereals) - Jowar","Food grains (cereals) - Bajra","Food grains (cereals) - Maize","Food grains (cereals) - Ragi","Food grains (cereals) - Small millets","Food grains (cereals) - Wheat","Food grains (cereals) - Barley","Total cereals","Food grains(pulses) - Gram","Food grains(pulses) - Tur","Other Pulses","Total Pulses","Total food grains","Oilseeds - Ground nut","Oilseeds - Sesamum","Oilseeds - Rapeseed and mustard","Oilseeds - Linseed","Oilseeds - Castor seed","Total oilseeds","Cotton","Jute","Mesta","Tea","Coffee","Natural Rubber P"," Banana","Sugar cane","Tobacco P"," Potato","Black Pepper","Chillies","Ginger","Coconut","Turmeric"
" 2000-01",19.0053229558,7.63900162338,6.87658968359,18.2166086825,15.5315520182,4.12219101124,27.0805642999,18.3971722365,18.4447765641,7.43490838959,6.18529735683,4.94677200543,5.4432065578,16.2591378813,9.76978197896,3.01162790698,9.35287153484,3.51784790481,8.17819764749,8.09696969697,1.89694903339,20.2543478261,65.3136531365,16.7933603772,9.6,15.75,28.1004357298,685.765924416,13.1816443595,18.4044520828,2.97844484968,11.758517633,33.4106728538,69.5125829267,37.2613458529
" 2001-02",20.7865668983,7.71495661052,8.69346206318,19.9957456507,14.4177292046,4.40061045403,27.6208497345,21.59969674,19.7956459782,8.52997101088,6.79087658142,4.59480614783,6.07408989295,17.3360395375,11.2654494157,4.17594254937,10.0189237138,3.90257558791,9.10701827822,9.12795320811,1.86102715725,21.8199748024,62.8374497415,16.7514701671,9.4,15.7356608479,26.9228723404,673.696164657,15.6527977044,19.8061097773,2.84437961528,12.1477272727,35.2792990142,67.0853387155,33.6804308797
" 2002-03",17.4421569794,7.54021505376,6.09692756919,16.8068784664,9.29823321555,3.8255872064,26.1000091285,20.0598631699,17.5277623067,7.173235812,6.50748757034,4.18701974018,5.42783540364,15.3496480772,6.94313874147,3.05524785378,8.53829225352,3.92579426794,7.33024691358,6.9051785116,1.91138070404,21.3911625217,58.6475409836,16.4001070116,8.6,15.9068627451,26.0437146585,635.761343274,15.2872860636,17.3014869888,3.19532956014,10.8121827411,31.768707483,65.2253096056,34.7901399067
" 2003-04",20.7841664123,7.16000428679,11.4106671692,20.4058286804,11.8007202881,4.7355163728,27.1314156796,19.7564687976,19.8307796936,8.11293984109,6.7007963595,5.26291298278,6.35390911416,17.2698183821,13.5744112243,4.6,11.5899042004,4.12997903564,11.1157601116,10.6436208427,3.07176888655,21.7356890459,60.1960784314,16.9101882609,8.3,16.6355140187,29.1618652531,593.859827324,14.8742223424,17.8871393112,3.13606170988,15.958930647,35.4759106933,62.9787454104,37.63491006
" 2004-05",19.8373291144,7.96751097082,9.63366492973,19.072997416,15.6656147356,4.33945120843,26.015676821,19.5798864558,19.0343646214,8.14553361332,6.67017194827,4.24129482278,5.76791284101,16.5194681466,10.2017950726,3.65563991323,10.3781914603,3.78203699577,10.6783310902,8.84841768703,3.1785468782,20.6471249515,61.5655853315,17.3923049925,8.3,17.0454545455,28.9715487382,647.517137785,14.9822646658,17.9228668942,3.19770497547,16.0745762712,37.6705141658,66.3198966408,45.2488972905
" 2005-06",21.0246954865,8.80274133813,8.01987224982,19.3837882003,15.3438946476,4.43108146199,26.1877161715,19.3776789967,19.6775663253,8.08486370986,7.64654955735,4.245552919,5.97750018981,17.1548273715,11.87,3.72,11.17,3.95,11.46,10.04,3.62,23.62,11.36,17.0792154943,8.0,17.96,28.5753068933,669.19,14.8122317597,17.0581561296,3.57120897702,15.5137614679,35.3707052441,76.0792069036,49.5174418605
" 2006-07",21.3073794438,8.44001180289,8.85968510397,19.1246516342,12.260913878,4.74757473768,27.0791405455,20.5493655215,20.2043469999,8.45180747008,6.49736073675,4.57273513781,6.12172300793,17.5640680536,8.66,3.63,10.95,3.85,12.13,9.16,4.21,23.42,12.1,17.1611230644,8.4,18.79,34.8015882994,690.22,14.0937830724,14.9426173185,2.80574077086,16.274386489,37.081998115,81.7864518794,44.0780996134
" 2007-08",22.0184950722,10.2085265327,10.4166623134,23.3518534488,15.5158243818,5.29926866821,28.0221551718,19.8489877199,21.508112333,7.6203984782,8.25567663321,4.80203825777,6.24613887361,18.6007616821,14.59,4.21,10.01,3.49,9.16,11.15,4.67,22.6,12.19,17.0629501191,7.6,17.99,36.2,688.77,14.170066073,19.3,2.38883248731,16.1061540562,36.760834054,77.4676201535,45.3217708809
" 2008-09",21.7802729185,9.62116081743,10.153784633,24.1395678876,14.7669031417,4.91383119753,29.0710352978,23.9350999008,21.8288079112,8.94545454545,6.70682968708,4.84259935136,6.59332551792,19.0883187172,11.63,3.54,11.43,4.15,13.52,10.06,4.03,22.07,11.41,16.8,7.5,18.67,34.4,645.53,16.0,18.8,2.0,16.3,35.0,52.3,45.4
" 2009-10 P",21.25,8.6,7.31,20.24,14.89,4.6,28.39,21.72,20.75,9.15,7.11,9.02,6.3,17.98,9.91,3.03,11.83,4.49,13.73,9.59,4.03,24.92,11.21,17.1,8.2,17.75,34.36,700.2,15.6,19.9,2.6,15.68,35.83,57.1,43.82
