-----
{
 "description": "This is the New Series of Consumer Price Index for Rural & Urban with base year 2010. Published by Central Statistical Office and released on 12th of every month. The data contains group wise all India Index.", 
 "file_name": "All_India_Index_Jan13.xls", 
 "title": "All India Consumer Price Index (Rural/Urban) Upto January 2013 ", 
 "url": "http://data.gov.in/sites/default/files/All_India_Index_Jan13.xls"
}
-----
"Sector","Year","Month","Cereal and Products","Pulses and Pulse Products","Oils and Fats","Meat - Fish etc","Milk and Milk Products","Spices and Condiments","Vegetables","Fruits","Sugar - Honey etc","Non Alcoholic Beverages","Prepared Meals","Pan - Supari etc","Food - beverages and tobacco ","Fuel and Lighting","Housing","Clothing and Bedding","Footwear","Clothing - bedding and footwear","Medical Care","Education","Recreation and Amusement","Transport and Communication","Personal Care Items","Household Requisites","Others","Miscellaneous","General index"
"Rural",2011.0,"January",105.0,98.0,109.0,106.0,106.0,110.0,129.0,114.0,98.0,106.0,106.0,106.0,108.0,107.0,"NA",108.0,106.0,107.0,104.0,104.0,104.0,106.0,104.0,106.0,108.0,105.0,107.0
"Urban",2011.0,"January",102.0,95.0,114.0,106.0,105.0,109.0,130.0,110.0,98.0,104.0,105.0,105.0,107.0,105.0,100.0,108.0,104.0,107.0,103.0,102.0,101.0,104.0,102.0,103.0,105.0,103.0,104.0
"Rural+Urban",2011.0,"January",104.0,97.0,111.0,106.0,106.0,110.0,129.0,112.0,98.0,105.0,106.0,106.0,108.0,106.0,100.0,108.0,106.0,107.0,104.0,103.0,102.0,105.0,103.0,105.0,107.0,104.0,106.0
"Rural",2011.0,"February",105.0,99.0,110.0,107.0,108.0,112.0,108.0,116.0,96.0,107.0,107.0,108.0,106.0,107.0,"NA",109.0,108.0,109.0,105.0,104.0,104.0,107.0,105.0,107.0,109.0,106.0,107.0
"Urban",2011.0,"February",102.0,97.0,116.0,106.0,106.0,112.0,101.0,112.0,96.0,105.0,106.0,106.0,105.0,105.0,100.0,110.0,105.0,109.0,103.0,102.0,101.0,105.0,102.0,104.0,107.0,104.0,104.0
"Rural+Urban",2011.0,"February",104.0,98.0,112.0,106.0,107.0,112.0,106.0,115.0,96.0,106.0,107.0,108.0,106.0,106.0,100.0,109.0,107.0,109.0,104.0,103.0,102.0,106.0,104.0,106.0,108.0,105.0,105.0
"Rural",2011.0,"March ",105.0,99.0,111.0,109.0,109.0,114.0,101.0,119.0,95.0,108.0,108.0,110.0,106.0,109.0,"NA",110.0,109.0,110.0,106.0,105.0,105.0,107.0,105.0,108.0,111.0,106.0,107.0
"Urban",2011.0,"March",102.0,97.0,116.0,108.0,108.0,114.0,92.0,118.0,95.0,106.0,107.0,108.0,105.0,106.0,100.0,112.0,106.0,111.0,103.0,103.0,102.0,105.0,102.0,104.0,108.0,104.0,104.0
"Rural+Urban",2011.0,"March",104.0,98.0,113.0,108.0,108.0,114.0,98.0,119.0,95.0,107.0,108.0,110.0,106.0,108.0,100.0,111.0,108.0,110.0,105.0,104.0,103.0,106.0,104.0,107.0,109.0,105.0,106.0
"Rural",2011.0,"April",105.0,98.2,111.1,110.0,110.2,115.5,97.3,127.5,95.1,109.3,109.3,114.3,106.7,110.5,"NA",112.1,110.0,111.8,106.1,105.5,105.4,107.3,105.8,109.8,112.2,107.2,107.5
"Urban",2011.0,"April",101.6,96.8,116.6,108.8,109.0,115.9,88.5,134.1,94.3,106.8,107.5,110.7,105.9,106.1,100.4,113.7,107.4,112.7,103.7,103.9,101.7,105.2,102.9,104.9,108.8,104.4,104.5
"Rural+Urban",2011.0,"April",104.1,97.8,112.9,109.6,109.8,115.6,94.5,130.3,94.9,108.2,108.4,113.3,106.4,108.8,100.4,112.7,109.1,112.1,105.3,104.6,103.2,106.1,104.6,107.8,110.8,105.9,106.2
"Rural",2011.0,"May",105.3,98.2,112.4,111.3,112.7,117.6,97.3,129.2,95.1,110.2,110.5,116.3,107.7,112.1,"NA",113.9,111.5,113.5,107.0,106.8,106.1,108.8,106.9,111.5,114.1,108.5,108.7
"Urban",2011.0,"May",101.6,96.2,117.9,109.0,111.2,117.9,88.1,133.8,94.1,107.6,108.4,112.9,106.5,106.4,100.4,114.9,108.5,113.9,104.0,104.6,102.1,106.5,103.4,105.5,110.0,105.2,105.0
"Rural+Urban",2011.0,"May",104.34,97.59,114.17,110.52,112.14,117.69,94.4,131.18,94.81,109.08,109.48,115.37,107.31,109.93,100.4,114.26,110.41,113.64,106.01,105.61,103.69,107.5,105.47,109.09,112.45,106.97,107.1
"Rural",2011.0,"June",105.7,98.3,114.6,113.2,114.2,119.1,102.0,127.6,94.9,111.2,111.6,117.5,109.0,113.4,"NA",115.2,113.2,114.9,107.7,108.8,106.7,110.1,107.8,112.4,115.4,109.5,109.9
"Urban",2011.0,"June",101.5,95.5,120.3,110.9,112.8,119.6,95.7,130.2,93.3,108.8,109.3,114.5,107.9,107.6,106.2,116.0,109.5,115.1,104.6,105.4,102.4,107.8,104.1,105.9,111.5,106.0,107.3
"Rural+Urban",2011.0,"June",104.6,97.4,116.4,112.4,113.7,119.2,100.0,128.7,94.4,110.2,110.5,116.7,108.6,111.2,106.2,115.5,111.9,115.0,106.7,107.0,104.1,108.8,106.3,109.8,113.8,107.9,108.8
"Rural",2011.0,"July",106.8,98.6,115.8,114.4,115.7,119.9,109.1,127.5,95.1,112.1,112.7,118.9,110.7,117.2,"NA",116.6,114.4,116.2,108.4,110.0,107.6,111.7,108.6,113.2,117.2,110.6,111.7
"Urban",2011.0,"July",101.7,95.6,122.5,111.3,114.0,120.9,106.5,128.2,94.3,109.9,110.6,116.3,109.7,112.8,107.0,117.2,111.2,116.3,105.6,106.7,103.0,108.6,105.1,106.9,113.3,107.0,108.9
"Rural+Urban",2011.0,"July",105.5,97.7,118.0,113.4,115.1,120.2,108.3,127.8,94.9,111.2,111.7,118.2,110.4,115.5,107.0,116.8,113.2,116.2,107.5,108.2,104.8,110.0,107.2,110.7,115.6,108.9,110.5
"Rural",2011.0,"August",107.28,99.43,117.19,114.97,116.84,121.2,115.0,131.78,95.58,112.54,113.92,119.78,112.17,118.31,"NA",118.03,115.85,117.73,109.1,110.87,108.15,113.23,109.23,117.37,118.77,112.15,113.1
"Urban",2011.0,"August",101.8,96.3,124.4,110.6,115.6,121.9,110.1,128.2,94.8,111.1,111.7,117.6,110.8,113.7,107.9,118.4,112.6,117.6,106.6,107.9,103.6,109.2,105.8,109.1,115.4,108.1,109.9
"Rural+Urban",2011.0,"August",105.9,98.5,119.5,113.5,116.4,121.4,113.5,130.2,95.4,111.9,112.8,119.2,111.7,116.6,107.9,118.2,114.7,117.7,108.3,109.3,105.4,111.0,107.8,114.0,117.4,110.3,111.7
"Rural",2011.0,"September",108.1,100.5,118.5,116.5,119.0,122.8,117.5,129.3,96.3,113.5,115.3,121.1,113.4,119.4,"NA",119.9,117.2,119.5,110.1,111.5,108.8,114.8,110.5,119.2,119.6,113.4,114.4
"Urban",2011.0,"September",101.9,98.9,125.8,112.9,117.8,123.5,115.5,124.7,95.0,112.2,112.8,118.6,112.2,115.5,108.8,119.7,113.7,118.8,107.2,108.4,103.7,110.3,106.5,110.5,117.0,108.9,111.1
"Rural+Urban",2011.0,"September",106.5,100.0,120.8,115.3,118.6,123.0,116.9,127.3,95.9,112.9,114.1,120.4,113.0,117.9,108.8,119.8,115.9,119.2,109.1,109.8,105.7,112.3,108.9,115.7,118.6,111.3,113.0
"Rural",2011.0,"October",108.1,101.6,118.8,116.8,120.7,123.1,121.1,129.4,96.7,114.4,116.2,121.7,114.3,120.4,"NA",120.8,118.0,120.4,110.7,111.6,108.8,115.8,110.8,119.4,120.8,113.9,115.2
"Urban",2011.0,"October",102.3,101.0,126.0,113.7,119.5,124.7,117.9,125.2,95.5,112.9,113.8,119.7,113.3,115.9,110.0,121.3,114.7,120.3,107.7,108.7,103.9,111.3,107.0,110.7,118.1,109.6,112.0
"Rural+Urban",2011.0,"October",106.6,101.4,121.1,115.8,120.3,123.6,120.1,127.6,96.4,113.8,115.0,121.2,114.0,118.7,110.0,121.0,116.8,120.4,109.7,110.0,105.8,113.3,109.3,115.9,119.7,111.9,113.8
"Rural",2011.0,"November",108.4,102.4,119.7,117.2,122.3,123.0,115.4,127.3,98.3,115.1,117.1,120.8,114.2,121.4,"NA",120.8,118.4,120.4,111.8,112.0,109.2,116.2,110.9,120.8,121.0,114.7,115.4
"Urban",2011.0,"November",102.5,101.7,125.9,115.1,120.5,125.4,111.0,124.0,98.5,114.0,114.8,120.8,113.2,116.7,110.9,122.6,116.0,121.7,108.5,108.9,103.6,112.3,107.6,111.9,119.4,110.3,112.5
"Rural+Urban",2011.0,"November",106.9,102.2,121.7,116.5,121.6,123.7,114.0,125.9,98.4,114.6,116.0,120.8,113.9,119.6,110.9,121.4,117.5,120.9,110.7,110.3,105.8,114.0,109.6,117.2,120.4,112.7,114.1
"Rural",2011.0,"December",108.0,103.1,121.2,117.6,123.2,123.0,101.4,122.1,100.2,116.3,117.1,121.2,112.8,120.3,"NA",121.9,119.0,121.5,111.9,111.9,109.6,116.2,111.3,120.9,121.7,114.8,114.5
