-----
{
 "description": "Macro economic data on key parameters from 2004-05 onwards using the new base year are provided in this.  Besides data on Gross Domestic product, Capital Formation, Net income, Savings etc growth rates and sectoral breakups are also provided.  For details regarding concepts, definitions,...", 
 "file_name": "Annual_Estimates_of_GDP_at_Constant_2004-05_Prices_1.xls", 
 "title": "Annual Estimates of GDP at Constant (2004-05) Prices ", 
 "url": "http://data.gov.in/sites/default/files/Annual_Estimates_of_GDP_at_Constant_2004-05_Prices_1.xls"
}
-----
"Indicator (Rs in Crores)","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11 (QE)"
"1.1 Agriculture",476634.0,502996.0,523745.0,556956.0,555442.0,559376.0,602939.0
"1.2 Forestry & Logging",61640.0,62742.0,64795.0,65697.0,66932.0,68813.0,70802.0
"1.3 Fishing",27152.0,28749.0,30650.0,32427.0,33315.0,34320.0,35362.0
"2. Mining & Quarrying",85028.0,86141.0,92578.0,95997.0,98055.0,104225.0,109421.0
"3.1 Manufacturing - Registered",292344.0,327739.0,379374.0,417528.0,442055.0,493893.0,532219.0
"3.2 Manufacturing - Unregistered",160881.0,171281.0,191084.0,211545.0,214247.0,225835.0,241943.0
"4. Electricity, Gas & Water Supply",62675.0,67123.0,73362.0,79430.0,83050.0,88266.0,90944.0
"5. Construction",228855.0,258129.0,284806.0,315495.0,332329.0,355717.0,384199.0
"6.1 Trade",433967.0,484521.0,536693.0,589242.0,628627.0,680780.0,742621.0
"6.2 Hotels & Restaurants",43336.0,50876.0,58225.0,65771.0,63597.0,65398.0,70458.0
"7.1 Railways",29162.0,31339.0,34832.0,38235.0,41161.0,45036.0,48118.0
"7.2 Transport by Other Means",169995.0,185741.0,202367.0,219969.0,231564.0,248321.0,269208.0
"7.3 Storage",1980.0,2073.0,2298.0,2375.0,2711.0,2948.0,3180.0
"7.4 Communication",49280.0,60857.0,75669.0,93928.0,117465.0,154730.0,196870.0
"8.1 Banking & Insurance",171098.0,198158.0,238899.0,278776.0,317826.0,353880.0,405132.0
"8.2 Real Estate, O'ship of Dwellings",266076.0,294182.0,322164.0,349348.0,385803.0,416003.0,444863.0
"9.1 Community, Social & Pers. Services - Public Administration & Defence",174638.0,182211.965769,185638.838081,199773.409497,239348.94795,282891.034636,286453.2958
"9.2 Community, Social & Pers. Services - Other Services",236723.0,258214.0,267184.0,284144.0,305148.0,327205.0,351222.0
"10. Gross Domestic Product (GDP) at Factor Cost",2971464.0,3253072.96577,3564363.83808,3896636.4095,4158675.94795,4507637.03464,4885954.2958
"19. Consumption of Fxed Capital",319891.0,350894.0,385699.0,427630.0,468903.0,520320.0,564463.0
"20. Net Domestic Product (NDP) at Factor Cost",2651573.0,2902178.96577,3178664.83808,3469006.4095,3689772.94795,3987317.03464,4321491.2958
"21. Net Factor Income from abroad",-22375.0,-24896.0915157,-29515.0976909,-17179.2294807,-25383.9629915,-27664.2335766,-52776.0
"22. Gross National Income (GNI) at Factor Cost",2949089.0,3228176.87425,3534848.74039,3879457.18002,4133291.98496,4479972.80106,4833178.2958
"23. Net National Income (NNI) at Factor Cost",2629198.0,2877282.87425,3149149.74039,3451827.18002,3664388.98496,3959652.80106,4268715.2958
"24. Population (in Mn.)",1089.0,1106.0,1122.0,1138.0,1154.0,1170.0,1186.0
"25. Per Capita Income (Rs.)",24143.2323232,26015.2158612,28067.2882388,30332.4005274,31753.8040291,33843.1863338,35992.5404368
"26. Net Indirect Taxes",270745.0,290171.0,307125.0,354311.0,257674.0,272542.0,350869.0
"27. Indirect Taxes",363967.0,405717.0,456797.0,503347.0,474009.0,459607.0,545728.0
"28. Subsidies",93222.0,115546.0,149672.0,149036.0,216335.0,187065.0,194859.0
"29. Gross Domestic Product (GDP) at Market Prices",3242209.0,3543243.96577,3871488.83808,4250947.4095,4416349.94795,4780179.03464,5236823.2958
"30. Government Final Capital Expenditure (GFCE)",354518.0,386007.0,400579.0,438919.0,484459.0,553709.0,597154.0
"31.1 Private Final Consumption Expenditure (PFCE) in the Domestic Market",1925592.0,2089852.0,2270688.0,2479686.0,2656483.0,2852301.0,3087047.0
"31.2 Private Final Consumption Expenditure (PFCE) - Net Purchases of Residents",-8084.0,-6543.0,-10796.0,-8289.0,-6873.0,-10626.0,-14932.0
"32.1 Gross Fixed Capital Formation (GFCF) - Construction",513763.593308,590140.0,660189.0,750820.0,772313.0,827000.0,897402.0
"32.2 Gross Fixed Capital Formation (GFCF) - Machinery",417263.971436,491652.0,571076.0,679944.0,708630.0,753944.0,801985.0
"33. CIS",80150.0,101511.0,133556.0,175411.0,85290.0,139173.0,191258.0
"34. Valuables",41053.9320781,40414.1781972,45933.1563376,47263.0091404,59987.4172815,94524.0668253,125191.519889
"35. Exports of Goods and Services",569051.0,717424.41343,863459.245795,914628.040378,1048139.7931,998149.455186,1224414.91069
"36. Less Imports of Goods and Services",625945.0,829925.750871,1008198.28898,1110963.0155,1363302.32377,1332898.75945,1540648.41282
"37. Discrepancies",-25154.4968218,-37287.8749879,-54997.2750739,-116471.624522,-28776.938665,-95096.7279209,-132048.721957
"38. Expenditure on Gross Domestic Product (GDP)",3242209.0,3543243.96577,3871488.83808,4250947.4095,4416349.94795,4780179.03464,5236823.2958
