-----
{
 "description": "Data on patent applications filed in India from 1980-81 to 2006-07 by foreign countries. The data are taken from the annual reports of the Controller General of Patents, Designs and Trade Marks.", 
 "file_name": "Applications_For_Patents_Filed_In_India_From_1980-81_To_2006-07_By_Foreign_Countries.xls", 
 "title": "Applications For Patents Filed In India From 1980-81 To 2006-07 By Foreign Countries ", 
 "url": "http://data.gov.in/sites/default/files/Applications_For_Patents_Filed_In_India_From_1980-81_To_2006-07_By_Foreign_Countries.xls"
}
-----
"Sl. No.","Country  ","1980-81","1985-86","1990-91","1995-96","1998-99","1999-00","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07"
"1.","U.S.A.",570.0,968.0,1130.0,2239.0,2807.0,936.0,2271.0,2916.0,2416.0,3165.0,5265.0,8048.0,8389.0
"2.","Germany*",274.0,277.0,294.0,676.0,912.0,317.0,829.0,1072.0,857.0,959.0,1614.0,1736.0,2329.0
"3.","U.K.",210.0,278.0,230.0,405.0,401.0,103.0,359.0,461.0,391.0,438.0,430.0,796.0,933.0
"4.","France",133.0,188.0,150.0,242.0,351.0,101.0,309.0,359.0,299.0,456.0,860.0,1022.0,1226.0
"5.","Japan",96.0,140.0,134.0,431.0,688.0,432.0,787.0,920.0,731.0,504.0,1122.0,1555.0,1887.0
"6.","Switzerland ",90.0,116.0,141.0,206.0,350.0,197.0,338.0,432.0,418.0,361.0,464.0,927.0,1330.0
"7.","Italy",77.0,62.0,50.0,112.0,122.0,49.0,86.0,151.0,118.0,167.0,207.0,377.0,576.0
"8.","Russia**",57.0,68.0,53.0,3.0,5.0,5.0,23.0,39.0,11.0,20.0,9.0,34.0,45.0
"9.","Netherlands",50.0,56.0,66.0,157.0,167.0,24.0,202.0,302.0,391.0,264.0,540.0,837.0,1108.0
"10.","Others",219.0,374.0,336.0,959.0,904.0,454.0,1120.0,1569.0,3141.0,3061.0,3325.0,4652.0,5803.0
"Total","Total",1776.0,2527.0,2584.0,5430.0,6707.0,2618.0,6324.0,8221.0,8773.0,9395.0,13836.0,19984.0,23626.0
