-----
{
 "description": "Data provides all India (from 2001-02 to 2009-10) and language-wise (2008-09 and 2009-10) details on the claimed circulation of registered newspapers and publications.", 
 "file_name": "CLAIMED_CIRCULATION_OF_REGISTERED_NEWSPAPERS.xls", 
 "title": "Claimed Circulation of Registered Newspapers and Publications ", 
 "url": "http://data.gov.in/sites/default/files/CLAIMED_CIRCULATION_OF_REGISTERED_NEWSPAPERS.xls"
}
-----
"Language","Dailies-2008-09","Dailies-2009-10","Bi/Tri Weekly-2008-09","Bi/Tri Weekly-2009-10","Weekly-2008-09","Weekly-2009-10","Fortnightly-2008-09","Fortnightly-2009-10","Monthly-2008-09","Monthly-2009-10","Quarterly-2008-09","Quarterly-2009-10","Annual-2008-09","Annual-2009-10","Others-2008-09","Others-2009-10","Total-2008-09","Total-2009-10"
" Assamese",728.0,769.0,352.0,16.0,130.0,99.0,24.0,24.0,60.0,45.0,2.0,5.0,"NA","NA","NA","NA",980.0,958.0
" Bengali",3448.0,3578.0,110.0,73.0,1524.0,1789.0,942.0,1085.0,822.0,980.0,170.0,79.0,2.0,3.0,117.0,110.0,7135.0,7696.0
" Bodo",51.0,52.0,"NA","NA","NA","NA","NA","NA",2.0,"NA","NA","NA","NA","NA","NA","NA",52.0,52.0
" Dogri",30.0,32.0,"NA","NA","NA",7.0,"NA","NA","NA","NA",2.0,"NA","NA","NA","NA","NA",31.0,39.0
" English",19241.0,21059.0,65.0,66.0,11623.0,19047.0,2190.0,3555.0,8509.0,5599.0,290.0,253.0,630.0,1604.0,741.0,1014.0,43289.0,52197.0
" Gujarati",5832.0,6357.0,36.0,11.0,2061.0,3261.0,210.0,579.0,749.0,718.0,0.0,1.0,37.0,134.0,28.0,32.0,8953.0,11093.0
" Hindi",60141.0,71854.0,142.0,280.0,37127.0,42067.0,8401.0,8201.0,11913.0,13124.0,1001.0,999.0,238.0,940.0,629.0,1142.0,119592.0,138606.0
" Kannada",1668.0,3560.0,2.0,"NA",511.0,480.0,33.0,53.0,522.0,327.0,9.0,"NA",22.0,137.0,"NA","NA",2767.0,4556.0
" Kashmiri","NA","NA","NA","NA",3.0,66.0,"NA","NA",2.0,"NA","NA","NA","NA","NA","NA","NA",5.0,66.0
" Konkani",6.0,4.0,"NA","NA","NA","NA","NA","NA",2.0,5.0,9.0,"NA","NA","NA","NA","NA",17.0,9.0
" Maithili",18.0,17.0,"NA","NA","NA","NA","NA","NA",9.0,"NA",7.0,9.0,"NA","NA","NA","NA",33.0,26.0
" Malayalam",3962.0,4298.0,"NA","NA",1900.0,2748.0,795.0,832.0,1311.0,1446.0,64.0,104.0,285.0,312.0,5.0,106.0,8322.0,9845.0
" Manipuri",110.0,93.0,"NA","NA","NA","NA","NA","NA",14.0,"NA",2.0,"NA","NA","NA","NA","NA",126.0,94.0
" Marathi",7310.0,9457.0,54.0,64.0,3279.0,2013.0,229.0,360.0,708.0,838.0,9.0,9.0,29.0,5689.0,43.0,2.0,11662.0,18432.0
" Nepali",153.0,200.0,0.0,0.0,57.0,41.0,"NA","NA",3.0,5.0,9.0,"NA","NA","NA","NA","NA",223.0,247.0
" Oriya",3815.0,4731.0,32.0,2.0,1978.0,2151.0,706.0,765.0,794.0,636.0,47.0,77.0,"NA","NA",34.0,24.0,7406.0,8387.0
" Punjabi            ",1626.0,1977.0,"NA","NA",726.0,899.0,221.0,165.0,635.0,809.0,9.0,"NA","NA","NA","NA","NA",3217.0,3850.0
" Sanskrit",2.0,113.0,"NA","NA","NA",7.0,2.0,2.0,"NA","NA",4.0,2.0,"NA","NA","NA","NA",8.0,124.0
" Sindhi",305.0,364.0,"NA","NA",88.0,101.0,6.0,6.0,4.0,"NA",9.0,"NA","NA","NA",6.0,7.0,417.0,478.0
" Tamil",3687.0,6583.0,97.0,108.0,1597.0,1470.0,724.0,778.0,969.0,625.0,18.0,12.0,25.0,74.0,7.0,3.0,7125.0,9653.0
" Telugu",9255.0,11304.0,"NA","NA",499.0,747.0,264.0,495.0,1236.0,1429.0,2.0,2.0,"NA",44.0,61.0,65.0,11316.0,14086.0
" Urdu",12838.0,14180.0,1.0,17.0,3341.0,3628.0,776.0,831.0,644.0,668.0,50.0,73.0,5.0,2.0,73.0,28.0,17729.0,19427.0
" Bilingual",1338.0,1408.0,"NA","NA",2392.0,2786.0,850.0,686.0,1499.0,2587.0,120.0,184.0,31.0,39.0,192.0,38.0,6421.0,7728.0
" Multilingual",103.0,137.0,"NA","NA",202.0,167.0,138.0,54.0,184.0,252.0,9.0,3.0,6.0,1.0,"NA",4.0,641.0,619.0
" Others",137.0,187.0,"NA","NA",143.0,219.0,34.0,50.0,152.0,86.0,19.0,5.0,"NA","NA","NA","NA",484.0,549.0
