-----
{
 "description": "This data provides total value of import merchandise to various maritime blocks of India from 2000-01 to 2009-10.", 
 "file_name": "COASTING_TRADE_TOTAL_VALUE_OF_IMPORT_MERCHANDISE_TO_VARIOUS_MARITIME_BLOCKS_OF_INDIA.xls", 
 "title": "Coasting Trade - Total Value Of Import Merchandise To Various Maritime Blocks Of India From 2000-01 To 2009-10 ", 
 "url": "http://data.gov.in/sites/default/files/COASTING_TRADE_TOTAL_VALUE_OF_IMPORT_MERCHANDISE_TO_VARIOUS_MARITIME_BLOCKS_OF_INDIA.xls"
}
-----
"Maritime block"," 2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08 ","2008-09 ","2009-10"
"Andhra Pradesh",2497544.0,33021899.0,29590414.0,36731600.0,61778200.0,49933000.0,43537900.0,69486227.0,85974900.0,124627100.0
"Gujarat ","NA","NA","NA","NA",40277500.0,45803300.0,69673500.0,91002862.0,73471600.0,"NA"
"Karnataka ",7300606.0,16563194.0,7540662.0,41011600.0,47817300.0,83642900.0,69324000.0,42842473.0,54313800.0,73308900.0
"Kerala ",7216901.0,6883853.0,9259786.0,3457400.0,5685200.0,7693300.0,8656000.0,9725929.0,15494100.0,17431300.0
"Maharashtra",6742332.0,1775606.0,1886732.0,3186500.0,5318600.0,7084600.0,12621800.0,11258735.0,26880500.0,24921700.0
"Orissa",8611554.0,5279497.0,1527818.0,14052900.0,183000000.0,11627800.0,16480900.0,15445990.0,"NA",54993500.0
"Tamil Nadu",14693438.0,12421271.0,12018442.0,19184300.0,25960800.0,45562400.0,9614300.0,18488062.0,19050900.0,25396800.0
"West Bengal",2439134.0,477297.0,391290.0,104618200.0,73910600.0,52322500.0,30824400.0,427067.0,991600.0,1166200.0
"Andaman and Nicobar Islands","NA",649258.0,3849910.0,9147100.0,18480300.0,48738100.0,11771400.0,9419588.0,10518700.0,5925300.0
"Goa",10900758.0,13966199.0,12596323.0,12386300.0,10831600.0,2324100.0,12390100.0,12015405.0,7838600.0,7905900.0
"Lakshadweep",1272873.0,3381958.0,3219458.0,4281600.0,8501800.0,8280100.0,9696000.0,14372648.0,15480700.0,14792300.0
"Pondicherry","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Total",61675141.0,94420033.0,81880835.0,248052300.0,316862000.0,363012100.0,294590300.0,294484986.0,310015400.0,350469000.0
