-----
{
 "description": "This data provides State-wise number and paid-up capital of Public Companies and Private Companies at work as on 31st March from 2010 to 2011.", 
 "file_name": "COMPANIES_AT_WORK.xls", 
 "title": "State-wise Number And Paid-up Capital of Public Companies And Private Companies At Work As On 31st March From 2010 To 2011 ", 
 "url": "http://data.gov.in/sites/default/files/COMPANIES_AT_WORK.xls"
}
-----
"State/U.T","Public - No. (2010)","Public - Paid-up Capital (2010)","Public - No. (2011)","Public - Paid-up Capital (2011)","Private - No. (2010)","Private - Paid-up Capital (2010)","Private - No. (2011) ","Private - Paid-up Capital (2011)","Total - No.(2010)","Total - Paid-up Capital (2010)","Total - No.(2011)","Total - Paid-up Capital (2011)"
"Andhra Pradesh",6827.0,33783.0,3901.0,50229.77,55601.0,28282.0,37132.0,40378.7,62428.0,62065.0,41033.0,90608.47
"Arunachal Pradesh",29.0,48.0,21.0,59.19,281.0,46.0,211.0,70.8,310.0,94.0,232.0,129.99
"Assam",700.0,3220.0,647.0,3053.32,5593.0,1708.0,5216.0,1944.97,6293.0,4928.0,5863.0,4998.29
"Bihar",1214.0,592.0,467.0,846.83,8083.0,867.0,6614.0,1045.41,9297.0,1459.0,7081.0,1892.24
"Chhatisgarh",362.0,2199.0,351.0,11364.54,3488.0,1378.0,3776.0,1838.13,3850.0,3577.0,4127.0,13202.67
"Goa",250.0,1587.0,190.0,1547.44,4933.0,1437.0,4389.0,1774.02,5183.0,3024.0,4579.0,3321.46
"Gujarat",5906.0,67080.0,4811.0,83501.34,42271.0,13290.0,35205.0,21664.98,48177.0,80370.0,40016.0,105166.32
"Haryana",1019.0,22520.0,828.0,29759.5,8930.0,7451.0,8860.0,11494.15,9949.0,29972.0,9688.0,41253.65
"Himachal Pradesh",323.0,8665.0,208.0,8495.76,2361.0,978.0,1888.0,1845.48,2684.0,9644.0,2096.0,10341.24
"Jammu & Kashmir",238.0,355.0,101.0,267.69,2197.0,338.0,1295.0,308.33,2435.0,693.0,1396.0,576.02
"Jharkhand",299.0,3882.0,218.0,6370.66,3962.0,2926.0,3710.0,3087.87,4261.0,6808.0,3928.0,9458.53
"Karnataka",3070.0,40181.0,2046.0,52563.18,39619.0,26824.0,34022.0,33864.04,42689.0,67005.0,36068.0,86427.22
"Kerala",1532.0,5603.0,1281.0,6622.87,16992.0,4992.0,15207.0,6947.32,18524.0,10595.0,16488.0,13570.19
"Madhya Pradesh",1367.0,11244.0,1255.0,16655.26,11694.0,2909.0,12096.0,4537.12,13061.0,14154.0,13351.0,21192.38
"Maharashtra",15753.0,154107.0,10897.0,185151.62,165832.0,95181.0,134452.0,118099.89,181585.0,249287.0,145349.0,303251.51
"Manipur",41.0,72.0,25.0,120.56,152.0,34.0,114.0,30.97,193.0,106.0,139.0,151.53
"Meghalaya",127.0,3598.0,120.0,3717.76,555.0,345.0,496.0,391.06,682.0,3943.0,616.0,4108.82
"Mizoram",10.0,19.0,9.0,25.46,48.0,33.0,39.0,26.51,58.0,52.0,48.0,51.97
"Nagaland",28.0,78.0,16.0,76.58,243.0,28.0,170.0,25.6,271.0,106.0,186.0,102.18
"Orissa",859.0,6741.0,783.0,10149.05,7727.0,1611.0,7545.0,2628.86,8586.0,8352.0,8328.0,12777.91
"Punjab",2202.0,7760.0,1547.0,18560.97,14077.0,3150.0,10155.0,3760.55,16279.0,10910.0,11702.0,22321.52
"Rajasthan",1793.0,14456.0,1587.0,18772.68,24324.0,3715.0,24189.0,4692.42,26117.0,18171.0,25776.0,23465.1
"Sikkim","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Tamil Nadu",7153.0,43820.0,5555.0,77213.2,59261.0,32873.0,45538.0,45025.98,66414.0,76693.0,51093.0,122239.18
"Tripura",25.0,341.0,25.0,469.3,136.0,67.0,144.0,89.44,161.0,408.0,169.0,558.74
"Uttrakhand",278.0,4767.0,165.0,4987.46,1949.0,458.0,1776.0,722.38,2227.0,5225.0,1941.0,5709.84
"Uttar Pradesh",4706.0,39490.0,2151.0,44284.9,24471.0,4887.0,21606.0,6181.98,29177.0,44378.0,23757.0,50466.88
"West Bengal",9438.0,42410.0,8140.0,61149.25,88853.0,33325.0,95508.0,38383.45,98291.0,75735.0,103648.0,99532.7
"A. & N. Islands",4.0,4.0,2.0,4.59,132.0,17.0,94.0,20.71,136.0,21.0,96.0,25.3
"Chandigarh",1182.0,2468.0,703.0,3044.68,6087.0,1100.0,4809.0,1411.63,7269.0,3567.0,5512.0,4456.31
"D. & N. Haveli",51.0,1221.0,53.0,2114.9,207.0,62.0,201.0,146.69,258.0,1284.0,254.0,2261.59
"Delhi",15866.0,141022.0,11432.0,166328.73,151463.0,91096.0,137248.0,125426.35,167329.0,232119.0,148680.0,291755.08
"Daman & Diu",58.0,361.0,44.0,372.14,163.0,156.0,120.0,481.93,221.0,517.0,164.0,854.07
"Lakshadweep","NA","NA","NA","NA",10.0,7.0,10.0,6.58,10.0,7.0,10.0,6.6
"Puducherry",112.0,294.0,67.0,263.0,1343.0,1041.0,1074.0,1470.38,1455.0,1335.0,1141.0,1733.38
