-----
{
 "description": "Data provides all India (from 2001 to 2011) and state/UT-wise (2010 and 2011) details of companies (public and private) newly created by industrial activity (number and authorised capital) as on 31st March.", 
 "file_name": "COMPANIES_NEWLY_REGISTERED_BY_INDUSTRIAL_ACTIVITY.xls", 
 "title": "Companies Newly Registered By Industrial Activity - Number And Authorised Capital As On 31st March ", 
 "url": "http://data.gov.in/sites/default/files/COMPANIES_NEWLY_REGISTERED_BY_INDUSTRIAL_ACTIVITY.xls"
}
-----
"Year","Classification","Public - No.","Public - Authorised Capital","Private - No. ","Private - Authorised Capital","Total - No.","Total - Authorised Capital"
2001.0,"Agriculture and Allied Activities",42.0,34.53,385.0,52.39,427.0,86.92
2002.0,"Agriculture and Allied Activities",33.0,41.75,342.0,53.65,375.0,95.4
2003.0,"Agriculture and Allied Activities",22.0,9.81,399.0,74.08,421.0,83.89
2004.0,"Agriculture and Allied Activities",38.0,12.07,479.0,65.15,517.0,77.22
2005.0,"Agriculture and Allied Activities",32.0,25.56,647.0,96.02,679.0,121.58
2006.0,"Agriculture and Allied Activities",58.0,36.01,1017.0,147.39,1075.0,183.4
2007.0,"Agriculture and Allied Activities",55.0,240.4,1237.0,295.03,1292.0,535.44
2008.0,"Agriculture and Allied Activities",92.0,124.92,1669.0,452.17,1761.0,577.09
2009.0,"Agriculture and Allied Activities",102.0,674.72,1513.0,398.55,1615.0,1073.27
2010.0,"Agriculture and Allied Activities",115.0,124.99,1456.0,372.12,1571.0,497.11
2011.0,"Agriculture and Allied Activities",250.0,171.31,2008.0,407.04,2258.0,578.35
2001.0,"Mining and Quarrying",10.0,10.05,197.0,23.5,207.0,33.55
2002.0,"Mining and Quarrying",17.0,24.6,170.0,26.04,187.0,50.64
2003.0,"Mining and Quarrying",18.0,15.97,155.0,43.71,173.0,59.68
2004.0,"Mining and Quarrying",10.0,6.24,213.0,39.88,223.0,46.12
2005.0,"Mining and Quarrying",15.0,64.31,409.0,61.89,424.0,126.2
2006.0,"Mining and Quarrying",27.0,230.5,489.0,92.76,516.0,323.26
2007.0,"Mining and Quarrying",46.0,6492.55,551.0,326.15,597.0,6818.7
2008.0,"Mining and Quarrying",78.0,386.55,990.0,397.2,1068.0,783.75
2009.0,"Mining and Quarrying",50.0,496.15,993.0,493.23,1043.0,989.38
2010.0,"Mining and Quarrying",38.0,373.1,788.0,385.69,826.0,758.79
2011.0,"Mining and Quarrying",36.0,54.1,1359.0,512.74,1395.0,566.85
2001.0,"Manufacturing","NA","NA","NA","NA","NA","NA"
2002.0,"Manufacturing","NA","NA","NA","NA","NA","NA"
2003.0,"Manufacturing","NA","NA","NA","NA","NA","NA"
2004.0,"Manufacturing","NA","NA","NA","NA","NA","NA"
2005.0,"Manufacturing","NA","NA","NA","NA","NA","NA"
2006.0,"Manufacturing","NA","NA","NA","NA","NA","NA"
2007.0,"Manufacturing",511.0,2978.84,9875.0,5818.58,10386.0,8797.42
2008.0,"Manufacturing",604.0,3933.87,11334.0,7950.91,11938.0,11884.78
2009.0,"Manufacturing",501.0,1251.35,10353.0,5376.68,10854.0,6628.03
2010.0,"Manufacturing",421.0,3733.29,11576.0,5145.6,11997.0,8878.89
2011.0,"Manufacturing",619.0,5035.2,14370.0,7465.93,14989.0,12501.51
2001.0,"Electricity,Gas and Water",64.0,880.46,164.0,89.48,228.0,969.94
2002.0,"Electricity,Gas and Water",42.0,177.25,178.0,23.51,220.0,200.76
2003.0,"Electricity,Gas and Water",41.0,310.91,156.0,37.31,197.0,348.22
2004.0,"Electricity,Gas and Water",48.0,6867.57,218.0,1961.05,266.0,8828.62
2005.0,"Electricity,Gas and Water",60.0,78.91,317.0,62.51,377.0,141.42
2006.0,"Electricity,Gas and Water",96.0,470.85,463.0,136.07,559.0,606.92
2007.0,"Electricity,Gas and Water",109.0,9328.97,504.0,299.11,613.0,9628.08
2008.0,"Electricity,Gas and Water",170.0,5285.31,770.0,1304.67,940.0,6589.98
2009.0,"Electricity,Gas and Water",220.0,4158.26,956.0,477.41,1176.0,4635.67
2010.0,"Electricity,Gas and Water",141.0,9070.88,1115.0,526.84,1256.0,9597.72
2011.0,"Electricity,Gas and Water",208.0,28303.51,2026.0,5607.14,2234.0,33910.66
2001.0,"Constructions",93.0,422.35,1542.0,1243.27,1635.0,1665.62
2002.0,"Constructions",63.0,83.98,1453.0,176.12,1516.0,260.1
2003.0,"Constructions",78.0,182.23,1671.0,191.74,1749.0,373.87
