-----
{
 "description": "Data provides state-wise details on consumer price index for agricultural labourers and rural labourers from 2005-06 to 2011-12.", 
 "file_name": "CONSUMER_PRICE_INDEX_NUMBERS_FOR_AGRICULTURAL_LABOURERS_AND_RURAL_LABOURERS.XLS", 
 "title": "Consumer Price Index For Agricultural Labourers And Rural Labourers From 2005-06 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/CONSUMER_PRICE_INDEX_NUMBERS_FOR_AGRICULTURAL_LABOURERS_AND_RURAL_LABOURERS.XLS"
}
-----
"State","General Weight","General- 2005-06","General- 2006-07","General- 2007-08","General- 2008-09","General- 2009-10","General- 2010-11","General- 2011-12","Food- Weight"," Food- 2005-06","Food- 2006-07","Food- 2007-08","Food- 2008-09","Food- 2009-10","Food- 2010-11","Food- 2011-12"
"Andhra Pradesh",12.21,371.0,401.0,429.0,482.0,550.0,599.0,665.0,7.62,375.0,407.0,440.0,501.0,576.0,625.0,673.0
"Assam",1.96,364.0,390.0,419.0,454.0,524.0,583.0,625.0,1.42,347.0,377.0,414.0,456.0,534.0,594.0,627.0
"Bihar",9.81,348.0,384.0,412.0,447.0,500.0,532.0,555.0,7.27,337.0,378.0,408.0,442.0,496.0,517.0,520.0
"Gujarat",5.04,371.0,403.0,425.0,460.0,538.0,583.0,626.0,3.34,377.0,415.0,435.0,469.0,569.0,615.0,650.0
"Haryana",2.07,378.0,404.0,445.0,495.0,583.0,638.0,685.0,1.25,389.0,423.0,472.0,533.0,645.0,683.0,723.0
"Himachal Pradesh",0.19,350.0,377.0,388.0,420.0,474.0,503.0,535.0,0.13,353.0,389.0,400.0,432.0,501.0,525.0,550.0
"Jammu & Kashmir",0.52,359.0,393.0,413.0,451.0,521.0,564.0,602.0,0.36,364.0,405.0,426.0,468.0,554.0,600.0,632.0
"Karnataka",6.27,341.0,367.0,407.0,459.0,534.0,594.0,665.0,4.09,331.0,358.0,403.0,464.0,555.0,608.0,670.0
"Kerala",6.33,359.0,378.0,404.0,456.0,502.0,566.0,604.0,4.25,349.0,368.0,396.0,453.0,504.0,574.0,597.0
"Madhya Pradesh",6.38,358.0,392.0,415.0,463.0,532.0,576.0,622.0,4.29,352.0,395.0,421.0,474.0,549.0,583.0,607.0
"Maharashtra",9.96,368.0,400.0,428.0,470.0,557.0,613.0,683.0,6.21,371.0,411.0,443.0,493.0,595.0,645.0,711.0
"Manipur",0.08,328.0,338.0,368.0,407.0,456.0,529.0,596.0,0.05,308.0,318.0,347.0,385.0,444.0,522.0,555.0
"Meghalaya",0.12,379.0,408.0,436.0,481.0,535.0,572.0,629.0,0.09,369.0,399.0,435.0,494.0,552.0,583.0,628.0
"Orissa",4.47,335.0,366.0,400.0,439.0,496.0,538.0,563.0,3.46,317.0,352.0,391.0,431.0,490.0,528.0,534.0
"Punjab ",3.28,384.0,419.0,449.0,501.0,585.0,622.0,681.0,1.85,393.0,434.0,459.0,526.0,632.0,662.0,715.0
"Rajasthan",2.78,375.0,412.0,438.0,486.0,567.0,600.0,661.0,1.68,376.0,417.0,433.0,488.0,589.0,602.0,642.0
"Tamil Nadu",9.35,355.0,370.0,402.0,452.0,509.0,559.0,603.0,5.99,329.0,340.0,372.0,427.0,489.0,536.0,551.0
"Tripura",0.27,344.0,373.0,399.0,429.0,462.0,512.0,547.0,0.2,333.0,364.0,395.0,430.0,465.0,517.0,544.0
"Uttar Pradesh",9.74,372.0,409.0,434.0,469.0,532.0,563.0,597.0,6.26,376.0,420.0,443.0,478.0,563.0,583.0,596.0
"West Bengal",9.17,346.0,368.0,398.0,435.0,506.0,564.0,597.0,6.96,318.0,344.0,381.0,418.0,494.0,545.0,557.0
"All India ",100.0,360.0,389.0,418.0,462.0,529.0,577.0,623.0,66.77,352.0,384.0,416.0,463.0,541.0,582.0,611.0
