"Year","Name","House","Budget session","Monsoon session","Winter session","Total"
2008.0,"The Lok Sabha","Starred",1.0,0.0,1.0,2.0
2008.0,"The Lok Sabha","Unstarred",11.0,0.0,7.0,18.0
2008.0,"The Rajya Sabha","Starred",1.0,0.0,1.0,2.0
2008.0,"The Rajya Sabha","Unstarred",13.0,0.0,6.0,19.0
2009.0,"The Lok Sabha","Starred",0.0,0.0,0.0,0.0
2009.0,"The Lok Sabha","Unstarred",0.0,7.0,7.0,14.0
2009.0,"The Rajya Sabha","Starred",0.0,0.0,0.0,0.0
2009.0,"The Rajya Sabha","Unstarred",2.0,6.0,4.0,12.0
2010.0,"The Lok Sabha","Starred",0.0,0.0,1.0,1.0
2010.0,"The Lok Sabha","Unstarred",13.0,11.0,11.0,35.0
2010.0,"The Rajya Sabha","Starred",0.0,0.0,1.0,1.0
2010.0,"The Rajya Sabha","Unstarred",5.0,6.0,4.0,15.0
