-----
{
 "description": "More than 1 Lakh Community Service Centers(CSC) with Broadband Connectivity are envisaged. These are last mile kiosk for providing e-services to citizens. The CSCs have been established in PPP mode where Service Center Agencies(SCA) have been selected to run the kiosk. District Wise CSC Roll out...", 
 "file_name": "District_wise_CSC_rollout_and_connectivity.csv", 
 "title": "District Wise Community Service Centers(CSC) Roll out and Connectivity ", 
 "url": "http://data.gov.in/sites/default/files/District_wise_CSC_rollout_and_connectivity.csv"
}
-----
 State , Service Centre Agency, Divisions / Zones , Name of Districts  , Total CSCs to be set up , Roll Out as on 30th Sept 2012 , CSCs Connected  , BSNL, VSAT, Data Card, Others
Andaman & Nicobar,Calance / Hughes,Andaman & Nicobar,Andaman,29,10,10,8,0,2,0
Andaman & Nicobar,Calance / Hughes,Andaman & Nicobar,Nicobar,16,0,0,0,0,0,0
Andhra Pradesh,CMS Computers Ltd,Zone 1,East Godavari,214,200,200,193,0,0,7
Andhra Pradesh,CMS Computers Ltd,Zone 1,Srikakulam,213,154,155,132,0,1,22
Andhra Pradesh,CMS Computers Ltd,Zone 1,Vishakapatnam,213,154,154,143,0,0,11
Andhra Pradesh,CMS Computers Ltd,Zone 1,Vizianagram,213,160,160,128,0,0,32
Andhra Pradesh,CMS Computers Ltd,Zone 3,Adilabad,213,155,157,129,0,2,26
Andhra Pradesh,CMS Computers Ltd,Zone 3,Karimnagar,213,162,162,151,0,0,11
Andhra Pradesh,CMS Computers Ltd,Zone 3,Nizamabad,213,210,212,142,0,2,68
Andhra Pradesh,CMS Computers Ltd,Zone 3,Warangal,213,163,163,134,0,0,29
Andhra Pradesh,CMS Computers Ltd,Zone 5,Guntur,213,211,211,140,0,0,71
Andhra Pradesh,CMS Computers Ltd,Zone 5,Kurnool,213,160,160,138,0,0,22
Andhra Pradesh,CMS Computers Ltd,Zone 5,Prakasam,213,213,213,192,0,0,21
Andhra Pradesh,Sreevan,Zone 2,Khammam,213,119,119,100,0,0,19
Andhra Pradesh,Sreevan,Zone 2,Krishna,213,120,120,100,0,0,20
Andhra Pradesh,Sreevan,Zone 2,West Godavari,213,111,111,80,0,0,31
Andhra Pradesh,AP Online,Zone 4,Mahbubnagar,213,110,110,110,0,0,0
Andhra Pradesh,AP Online,Zone 4,Medak,213,100,100,89,0,0,11
Andhra Pradesh,AP Online,Zone 4,Nalgonda,213,106,106,103,0,0,3
Andhra Pradesh,AP Online,Zone 4,Rangareddy,213,88,88,87,0,0,1
Andhra Pradesh,AP Online,Zone 6,Anantpur,213,87,87,77,0,0,10
Andhra Pradesh,AP Online,Zone 6,Chitoor,213,126,126,123,0,0,3
Andhra Pradesh,AP Online,Zone 6,Cuddapah,213,100,100,95,0,0,5
Andhra Pradesh,AP Online,Zone 6,Nellore,213,96,96,88,0,0,8
Arunachal Pradesh,Terasoftware / Calance,Zone 1,Anjaw,3,2,0,0,0,0,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,Changlang,20,15,13,8,5,0,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,East Kameng,11,10,1,0,0,1,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,East Siang,17,19,14,8,0,6,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,Kurung Kumey,8,5,1,0,0,1,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,Lohit,20,18,17,13,0,4,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,Lower Dibang Valley,10,10,9,6,0,3,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,Lower Subansiri,11,14,13,6,0,7,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,Papumpare,24,32,25,24,0,1,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,Tawang,8,6,3,2,1,0,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,Tirap,15,12,9,5,0,4,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,Upper Dibang Valley,2,2,0,0,0,0,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,Upper Siang,7,6,3,2,0,1,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,Upper Subansiri,11,11,4,3,0,1,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,West Kameng,12,20,17,8,5,4,0
Arunachal Pradesh,Terasoftware / Calance,Zone 1,West Siang,21,18,12,9,0,3,0
Assam,SREI Sahaj,Western Zone,Barpeta,213,213,207,16,72,59,60
Assam,SREI Sahaj,Western Zone,Baska,100,100,100,10,40,20,30
Assam,SREI Sahaj,Western Zone,Bongaigaon,187,187,169,30,73,36,30
Assam,SREI Sahaj,Western Zone,Chirang,55,55,55,21,34,0,0
Assam,SREI Sahaj,Western Zone,Darrang,177,177,174,69,41,28,36
Assam,SREI Sahaj,Western Zone,Dhubri,200,200,186,46,128,5,7
Assam,SREI Sahaj,Western Zone,Goalpara,200,200,200,48,64,49,39
Assam,SREI Sahaj,Western Zone,Kokrajhar,142,142,137,47,90,0,0
Assam,SREI Sahaj,Western Zone,Nalbari,129,129,129,21,76,21,11
Assam,SREI Sahaj,Western Zone,Sonitpur,242,242,268,82,88,68,30
Assam,SREI Sahaj,Western Zone,Udalguri,94,94,91,59,20,7,5
Assam,SREI Sahaj,Eastern Zone,Dhemaji,146,146,144,29,40,27,48
Assam,SREI Sahaj,Eastern Zone,Dibrugarh,175,175,174,56,82,25,11
Assam,SREI Sahaj,Eastern Zone,Golaghat,160,160,160,53,62,20,25
Assam,SREI Sahaj,Eastern Zone,Jorhat,149,149,148,39,42,35,32
Assam,SREI Sahaj,Eastern Zone,North Lakhimpur,159,159,159,37,54,45,23
Assam,SREI Sahaj,Eastern Zone,Sivasagar,150,150,144,15,79,29,21
Assam,SREI Sahaj,Eastern Zone,Tinsukia,155,155,151,59,70,12,10
Assam,Zoom Developers,South & Central,Cachar,175,189,45,35,0,2,8
Assam,Zoom Developers,South & Central,Hailakandi,55,62,20,13,0,2,5
Assam,Zoom Developers,South & Central,Kamrup (Metro),232,240,74,34,0,15,25
Assam,Zoom Developers,South & Central,Kamrup (Rural),0,0,0,0,0,0,0
Assam,Zoom Developers,South & Central,Karbi Anglong,474,58,17,8,0,3,6
Assam,Zoom Developers,South & Central,Karimganj,157,152,45,37,0,2,6
Assam,Zoom Developers,South & Central,Morigaon,106,81,32,15,0,2,15
Assam,Zoom Developers,South & Central,Nagaon,237,248,104,66,0,18,20
Assam,Zoom Developers,South & Central,North Cachar Hill,106,18,3,3,0,0,0
Bihar,SREI Sahaj,Patna,Bhojpur (Arrah),228,227,126,154,2573,1234,0
Bihar,SREI Sahaj,Patna,Buxar,142,140,73,0,0,0,0
Bihar,SREI Sahaj,Patna,Kaimur (Bhabua),151,151,111,0,0,0,0
Bihar,SREI Sahaj,Patna,Nalanda,249,249,229,0,0,0,0
Bihar,SREI Sahaj,Patna,Patna,331,316,153,0,0,0,0
Bihar,SREI Sahaj,Patna,Rohtash,246,236,146,0,0,0,0
Bihar,SREI Sahaj,Purnea,Araria,218,218,210,0,0,0,0
Bihar,SREI Sahaj,Purnea,Katihar,238,214,125,0,0,0,0
Bihar,SREI Sahaj,Purnea,Kishanganj,126,116,97,0,0,0,0
Bihar,SREI Sahaj,Purnea,Purnia,251,234,165,0,0,0,0
Bihar,SREI Sahaj,Magadh,Arwal,68,68,68,0,0,0,0
Bihar,SREI Sahaj,Magadh,Aurangabad,203,200,156,0,0,0,0
Bihar,SREI Sahaj,Magadh,Gaya,332,318,223,0,0,0,0
Bihar,SREI Sahaj,Magadh,Jehanabad,93,93,88,0,0,0,0
Bihar,SREI Sahaj,Magadh,Nawada,187,182,162,0,0,0,0
Bihar,SREI Sahaj,Munger,Begusarai,257,226,193,0,0,0,0
Bihar,SREI Sahaj,Munger,Jamui,153,152,68,0,0,0,0
Bihar,SREI Sahaj,Munger,Khagaria,129,127,97,0,0,0,0
Bihar,SREI Sahaj,Munger,Lakhisarai,80,80,63,0,0,0,0
Bihar,SREI Sahaj,Munger,Munger,101,101,81,0,0,0,0
Bihar,SREI Sahaj,Munger,Sheikhpura,54,54,39,0,0,0,0
Bihar,SREI Sahaj,Trihut,East Champaran,410,404,254,0,0,0,0
Bihar,SREI Sahaj,Trihut,Muzaffarpur,387,387,325,0,0,0,0
Bihar,SREI Sahaj,Trihut,Sheohar,53,51,49,0,0,0,0
Bihar,SREI Sahaj,Trihut,Sitamarhi,273,273,269,0,0,0,0
Bihar,SREI Sahaj,Trihut,Vaishali,290,288,234,0,0,0,0
Bihar,SREI Sahaj,Trihut,West Champaran,315,305,157,0,0,0,0
Bihar,SARK Systems,Koshi,Madhepura,170,1198,1102,178,0,924,0
Bihar,SARK Systems,Koshi,Saharsa,153,0,0,0,0,0,0
Bihar,SARK Systems,Koshi,Supaul,181,0,0,0,0,0,0
Bihar,SARK Systems,Saran,Chapra,330,0,0,0,0,0,0
Bihar,SARK Systems,Saran,Gopalganj,234,0,0,0,0,0,0
Bihar,SARK Systems,Saran,Siwan,293,0,0,0,0,0,0
Bihar,SCA Terminated,Darbhanga,Darbhanga,331,0,0,0,0,0,0
Bihar,SCA Terminated,Darbhanga,Madhubani,399,0,0,0,0,0,0
Bihar,SCA Terminated,Darbhanga,Samastipur,380,0,0,0,0,0,0
Bihar,SCA Terminated,Bhagalpur,Banka,185,0,0,0,0,0,0
Bihar,SCA Terminated,Bhagalpur,Bhagalpur,242,0,0,0,0,0,0
Chandigarh,eSampark,Chandigarh,Chandigarh,13,25,30,14,0,5,11
Chhattisgarh,AISECT,Korba,Bilaspur,180,193,193,14,0,10,169
Chhattisgarh,AISECT,Korba,Mungeli,91,91,91,4,0,18,69
Chhattisgarh,AISECT,Korba,Janjgir-Champa,152,152,152,34,0,14,104
Chhattisgarh,AISECT,Korba,Korba,142,113,112,22,0,3,87
Chhattisgarh,AISECT,Durg,Durg,85,92,92,35,0,2,55
Chhattisgarh,AISECT,Durg,Kanker,179,106,106,21,0,21,64
Chhattisgarh,AISECT,Durg,Kawardha/ Kabirdham,167,98,98,10,0,12,76
Chhattisgarh,AISECT,Durg,Bemetara,117,117,117,15,0,7,95
Chhattisgarh,AISECT,Durg,Balod,108,108,108,12,0,13,83
Chhattisgarh,AISECT,Durg,Rajnandgaon,266,179,179,24,0,19,136
Chhattisgarh,SCA Terminated,Raipur ,Bastar,224,45,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raipur ,Narayanpur,0,0,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raipur ,Kondagaon,0,10,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raipur ,Bijapur,113,4,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raipur ,Dantewada (South Bastar),112,1,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raipur ,Sukma,0,0,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raipur ,Dhamtari,108,73,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raipur ,Mahasamund,185,165,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raipur ,Raipur,366,88,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raipur ,Gariyaband,0,35,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raipur ,Balodabazar,0,162,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raigarh,Jashpur,136,116,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raigarh,Koriya,112,97,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raigarh,Raigarh,247,232,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raigarh,Sarguja,95,64,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raigarh,Surajpur,93,67,0,0,0,0,0
Chhattisgarh,SCA Terminated,Raigarh,Balrampur,107,52,0,0,0,0,0
Delhi,SCA Terminated,Delhi,Delhi,520,0,0,0,0,0,0
Goa,3i Infotech,Goa,Goa,160,29,29,29,0,0,0
Gujarat,EGVGS,Ahmedabad ,ahmedabad,515,515,515,0,515,0,0
Gujarat,EGVGS,Saurastra ,amreli,590,590,590,0,590,0,0
Gujarat,EGVGS,Central ,anand,352,352,352,0,352,0,0
Gujarat,EGVGS,Ahmedabad ,banaskantha,783,783,783,0,783,0,0
Gujarat,EGVGS,South,bharuch,543,543,543,0,543,0,0
Gujarat,EGVGS,Saurastra ,bhavnagar,772,772,772,0,772,0,0
Gujarat,EGVGS,Central ,dahod,459,459,459,0,459,0,0
Gujarat,EGVGS,South,dang,70,70,70,0,70,0,0
Gujarat,EGVGS,Central ,gandhinagar,286,286,286,0,286,0,0
Gujarat,EGVGS,Saurastra ,jamnagar,663,663,663,0,663,0,0
Gujarat,EGVGS,Saurastra ,junagadh,821,821,821,0,821,0,0
Gujarat,EGVGS,Central ,kheda,559,559,559,0,559,0,0
Gujarat,EGVGS,Ahmedabad ,kutch,615,615,615,0,615,0,0
Gujarat,EGVGS,Ahmedabad ,mehsana,589,589,589,0,589,0,0
Gujarat,EGVGS,South,narmada,219,219,219,0,219,0,0
Gujarat,EGVGS,South,navsari,363,363,363,0,363,0,0
Gujarat,EGVGS,Central ,panchmahals,658,658,658,0,658,0,0
Gujarat,EGVGS,Ahmedabad ,patan,464,464,464,0,464,0,0
Gujarat,EGVGS,Saurastra ,porbandar,150,150,150,0,150,0,0
Gujarat,EGVGS,Saurastra ,rajkot,843,843,843,0,843,0,0
Gujarat,EGVGS,Central ,sabarkantha,707,707,707,0,707,0,0
Gujarat,EGVGS,South,surat,567,567,567,0,567,0,0
Gujarat,EGVGS,Ahmedabad ,surendrangar,615,615,615,0,615,0,0
Gujarat,EGVGS,South,tapi,282,282,282,0,282,0,0
Gujarat,EGVGS,South,vadodara,861,861,861,0,861,0,0
Gujarat,EGVGS,South,valsad,339,339,339,0,339,0,0
Haryana,SCA Terminated,Ambala,Ambala,1159,0,0,0,0,0,0
Haryana,SCA Terminated,Ambala,Kaithal,0,0,0,0,0,0,0
Haryana,SCA Terminated,Ambala,Kurukshetra,0,0,0,0,0,0,0
Haryana,SCA Terminated,Ambala,Panchkula,0,0,0,0,0,0,0
Haryana,SCA Terminated,Ambala,Yamuna Nagar,0,0,0,0,0,0,0
Haryana,SCA Terminated,Hisar,Bhiwani,0,0,0,0,0,0,0
