-----
{
 "description": "Data provide all India (1999, 2004 and 2009) and state-wise (2009) details on election to the Lok Sabha (House of People) including number of constituencies, electors, votes polled and valid votes polled.", 
 "file_name": "ELECTION_TO_THE_LOK_SABHA_-_HOUSE_OF_PEOPLE.xls", 
 "title": "Election To The Lok Sabha - House of People ", 
 "url": "http://data.gov.in/sites/default/files/ELECTION_TO_THE_LOK_SABHA_-_HOUSE_OF_PEOPLE.xls"
}
-----
"State","   Number of constituencies","Number of electors","Number of votes polled","Number of valid votes polled","Percentage of votes polled"
"Andhra Pradesh",42.0,57892259.0,42048269.0,42009025.0,72.6319368536
"Arunachal Pradesh",2.0,734541.0,500642.0,500583.0,68.1571212499
"Assam",14.0,17470329.0,12147016.0,12138945.0,69.5294061148
"Bihar",40.0,54505246.0,24235476.0,24230877.0,44.4644832903
"Chattisgarh",11.0,15476577.0,8555661.0,8553561.0,55.2813519424
"Goa",2.0,1020794.0,564255.0,564071.0,55.2760890052
"Gujarat",26.0,36484281.0,17476088.0,17472323.0,47.9003217852
"Haryana",10.0,12087710.0,8157676.0,8154018.0,67.4873569932
"Himachal Pradesh",4.0,4606674.0,2690850.0,2689567.0,58.4119909505
"Jammu & Kashmir",6.0,6572896.0,2607880.0,2605966.0,39.6762705511
"Jharkhand",14.0,17934095.0,9142173.0,9135434.0,50.9764947716
"Karnataka",28.0,41790939.0,24575813.0,24567178.0,58.8065585222
"Kerala",20.0,21859536.0,16036873.0,16030249.0,73.363281819
"Madhya Pradesh",29.0,38085179.0,19486218.0,19482195.0,51.1648323879
"Maharashtra",48.0,72954058.0,36995037.0,36978848.0,50.7100468626
"Manipur",2.0,1736251.0,1339399.0,1336489.0,77.1431665122
"Meghalaya",2.0,1277739.0,822566.0,822518.0,64.3766841272
"Mizoram",1.0,629374.0,325991.0,325558.0,51.796070381
"Nagaland",1.0,1321878.0,1189601.0,1189460.0,89.9932520248
"Orissa",21.0,27194864.0,17767143.0,17757104.0,65.3327150303
"Punjab",13.0,16958380.0,11832306.0,11827727.0,69.7726197903
"Rajasthan",25.0,37060011.0,17935280.0,17924439.0,48.3952365799
"Sikkim",1.0,300584.0,251776.0,251253.0,83.7622761025
"Tamil Nadu",39.0,41620460.0,30397137.0,30383034.0,73.0341207185
"Tripura",2.0,2082265.0,1758501.0,1756517.0,84.4513546547
"Uttar Pradesh",80.0,116006374.0,55430198.0,55402134.0,47.7820279082
"Uttarakhand",5.0,5887724.0,3140699.0,3134926.0,53.3431764125
"West Bengal",42.0,52493168.0,42731483.0,42721172.0,81.4038943125
"Andaman & Nicobar Islands",1.0,265108.0,170103.0,170103.0,64.1636616021
"Chandigarh",1.0,524444.0,343557.0,343556.0,65.5088055159
"Dadra & Nagar Haveli",1.0,150704.0,110363.0,110363.0,73.2316328697
"Daman & Diu",1.0,95382.0,68024.0,68023.0,71.3174393491
"Delhi",7.0,11096854.0,5754256.0,5752950.0,51.8548410207
"Lakshadweep",1.0,45983.0,39498.0,39498.0,85.8969619207
"Puduchery",1.0,762440.0,608503.0,607942.0,79.8099522585
