-----
{
 "description": "This table gives the statistics on electricity-installed capacity, generation and consumption (utilities only).", 
 "file_name": "ELECTRICITY-INSTALLED_CAPACITY_GENERATION_AND_CONSUMPTION.xls", 
 "title": "Electricity-Installed Capacity / Generation And Consumption (Utilities Only) ", 
 "url": "http://data.gov.in/sites/default/files/ELECTRICITY-INSTALLED_CAPACITY_GENERATION_AND_CONSUMPTION.xls"
}
-----
" Year/State/ Union Territory","                      Installed Capacity (1) Hydro","                      Installed Capacity (1) Steam","                      Installed Capacity (1)  Diesel and Wind","                      Installed Capacity (1) Gas","                      Installed Capacity (1) Nuclear","                      Installed Capacity (1) Total","  Electricity gener  ated (gross) Hydro","  Electricity gener  ated (gross) Steam","  Electricty generated(gross)-Concld. Diesel and Wind","  Electricty generated(gross)-Concld. Gas","  Electricty generated(gross)-Concld. Nuclear","  Electricty generated(gross)-Concld. Total","Consumption in power station auxiliaries","Electricity generated  (net)","Consumption","Utilities/
Non Utilities","Non-Utilities","Total@"
" Andhra Pradesh",3573.0,3343.0,705.0,1603.0,"NA",9224.0,7755.0,25678.0,2303.0,6703.0,"NA",42439.0,2638.0,39801.0,54241.1,928.2,"NA",928.2
" Arunachal Pradesh","NA","NA",61.0,"NA","NA",61.0,"NA","NA",175.0,"NA","NA",175.0,2.0,173.0,271.5,447.5,"NA",447.5
" Assam",100.0,60.0,48.0,264.0,"NA",472.0,416.0,"NA",91.0,1351.0,"NA",1858.0,72.0,1786.0,2797.6,199.2,"NA",199.2
" Bihar","NA",540.0,50.0,"NA","NA",590.0,"NA",329.0,170.0,"NA","NA",499.0,10.0,489.0,4984.06,107.1,"NA",107.1
" Chhatisgarh",120.0,2780.0,174.0,"NA","NA",3074.0,262.0,19579.0,723.0,"NA","NA",20564.0,1157.0,19407.0,12021.45,1417.6,"NA",1417.6
" Goa","NA","NA",30.0,48.0,"NA",78.0,"NA","NA",83.0,335.0,"NA",418.0,9.0,409.0,2616.98,2259.9,"NA",2259.9
" Gujarat",772.0,4755.0,1415.0,2331.0,"NA",9273.0,921.0,32010.0,2009.0,11894.0,"NA",46834.0,3292.0,43542.0,45967.89,1457.3,"NA",1457.3
" Haryana",884.0,2143.0,73.0,"NA","NA",3100.0,3471.0,13822.0,237.0,"NA","NA",17530.0,1384.0,16146.0,19291.41,1278.9,"NA",1278.9
" Himachal Pradesh",780.0,"NA",185.0,"NA","NA",965.0,3440.0,"NA",625.0,"NA","NA",4065.0,8.0,4057.0,5460.51,1015.8,"NA",1015.8
" Jammu & Kashmir",780.0,"NA",121.0,175.0,"NA",1076.0,1836.0,"NA",394.0,"NA","NA",2230.0,18.0,2212.0,4030.85,894.4,"NA",894.4
" Jharkhand",130.0,1620.0,4.0,4.0,"NA",1758.0,238.0,5421.0,14.0,"NA","NA",5673.0,501.0,5172.0,12582.9,695.6,"NA",695.6
" Karnataka",3531.0,2230.0,2115.0,220.0,"NA",8096.0,12798.0,13971.0,5345.0,770.0,"NA",36884.0,1419.0,35465.0,36039.59,854.4,"NA",854.4
" Kerala",1757.0,"NA",375.0,174.0,"NA",2306.0,5613.0,"NA",1117.0,846.0,"NA",7576.0,84.0,7492.0,12188.89,444.0,"NA",444.0
" Madhya Pradesh",1704.0,2808.0,263.0,"NA","NA",4775.0,3939.0,15285.0,320.0,"NA","NA",19544.0,1478.0,18066.0,21678.05,583.8,"NA",583.8
" Maharashtra",3333.0,8700.0,2159.0,1092.0,"NA",15284.0,5264.0,55325.0,3880.0,5435.0,"NA",69854.0,4887.0,64967.0,72804.42,969.4,"NA",969.4
" Manipur","NA","NA",51.0,"NA","NA",51.0,"NA","NA",19.0,"NA","NA",19.0,"NA",19.0,197.12,241.7,"NA",241.7
" Meghalaya",156.0,"NA",35.0,"NA","NA",191.0,511.0,"NA",105.0,"NA","NA",616.0,1.0,615.0,945.5,655.4,"NA",655.4
" Mizoram","NA","NA",69.0,"NA","NA",69.0,"NA","NA",61.0,"NA","NA",61.0,"NA",61.0,165.5,378.3,"NA",378.3
" Nagaland","NA","NA",31.0,"NA","NA",31.0,"NA","NA",97.0,"NA","NA",97.0,6.0,91.0,192.97,226.0,"NA",226.0
" Orissa",2068.0,420.0,32.0,"NA","NA",2520.0,5843.0,3191.0,109.0,"NA","NA",9143.0,349.0,8794.0,11732.52,775.2,"NA",775.2
" Punjab",2320.0,2630.0,161.0,"NA","NA",5111.0,9082.0,18066.0,563.0,"NA","NA",27711.0,1724.0,25987.0,29224.63,1553.0,"NA",1553.0
" Rajasthan",989.0,2545.0,726.0,444.0,"NA",4704.0,2935.0,19662.0,1171.0,2638.0,"NA",27396.0,2098.0,25298.0,26641.57,747.1,"NA",747.1
" Sikkim","NA","NA",46.0,"NA","NA",46.0,"NA","NA",139.0,"NA","NA",139.0,"NA",139.0,277.31,806.3,"NA",806.3
" Tamil Nadu",2094.0,3220.0,4791.0,1026.0,"NA",11131.0,5201.0,22801.0,10012.0,5858.0,"NA",43872.0,2426.0,41446.0,53553.49,1134.5,"NA",1134.5
" Tripura","NA","NA",21.0,128.0,"NA",149.0,"NA","NA",54.0,608.0,"NA",662.0,10.0,652.0,450.84,203.8,"NA",203.8
" Uttarakhand",1652.0,"NA",110.0,"NA","NA",1762.0,6457.0,"NA",371.0,"NA","NA",6828.0,23.0,6805.0,4736.11,920.7,"NA",920.7
" Uttar Pradesh",524.0,4120.0,403.0,"NA","NA",5047.0,1128.0,22383.0,1679.0,"NA","NA",25290.0,2488.0,22802.0,39636.82,371.9,"NA",371.9
" West Bengal",1022.0,5656.0,112.0,100.0,"NA",6890.0,742.0,28339.0,334.0,"NA","NA",29415.0,3093.0,26322.0,27779.3,442.5,"NA",442.5
" A. & N. Islands","NA","NA",65.0,"NA","NA",65.0,"NA","NA",219.0,"NA","NA",130.0,7.0,123.0,160.48,474.7,"NA",474.7
" Chandigarh","NA","NA","NA","NA","NA",0.0,"NA","NA","NA","NA","NA","NA","NA","                                  NA",1143.31,1247.5,"NA",1247.5
" Dadar & Nagar Haveli","NA","NA","NA","NA","NA",0.0,"NA","NA","NA","NA","NA","NA","NA","                                  NA",3070.0,11094.5,"NA",11094.5
" Delhi","NA",320.0,"NA",600.0,"NA",920.0,"NA",1514.0,"NA",3682.0,"NA",5476.0,322.0,5154.0,1325.35,1374.2,"NA",1374.2
" Daman & Diu","NA","NA","NA","NA","NA",0.0,"NA","NA","NA","NA","NA","NA","NA","                                  NA",17465.43,6508.0,"NA",6508.0
" Lakshadweep","NA","NA",11.0,"NA","NA",11.0,"NA","NA",32.0,"NA","NA",23.0,"                                  NA",23.0,23.5,453.0,"NA",453.0
" Pondicherry","NA","NA","NA",33.0,"NA",33.0,"NA","NA","NA",258.0,"NA",258.0,15.0,243.0,1864.98,1988.4,"NA",1988.4
" D.V.C.",144.0,3100.0,"NA",90.0,"NA",3334.0,432.0,15321.0,"NA","NA","NA",10845.0,"NA",10845.0,"NA","NA","NA","NA"
" Central Govt. Projects",8448.0,26660.0,14442.0,6549.0,4120.0,56099.0,31815.0,199198.0,"NA",31219.0,14927.0,220474.0,"NA",220474.0,"NA","NA","NA","NA"
