" Maritime/State",2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
"Andhra Pradesh",107.0,107.0,109.0,62.0,66.0,57.0,57.0,69.0,269.0,269.0,269.0
"Tamil Nadu",110.0,110.0,110.0,73.0,89.0,68.0,68.0,62.0,60.0,60.0,51.0
"Pondicherry",92.0,92.0,79.0,79.0,75.0,75.0,42.0,33.0,59.0,59.0,66.0
"Karnataka",71.0,71.0,99.0,76.0,105.0,109.0,103.0,55.0,146.0,145.0,145.0
"Kerala",354.0,354.0,316.0,257.0,121.0,121.0,185.0,191.0,175.0,175.0,195.0
"Maharashtra",173.0,173.0,173.0,165.0,154.0,154.0,154.0,153.0,130.0,84.0,84.0
"Gujarat",2441.0,2441.0,2662.0,2048.0,1816.0,1265.0,1743.0,1718.0,1650.0,1590.0,981.0
"Goa",166.0,166.0,166.0,139.0,139.0,134.0,133.0,146.0,140.0,140.0,141.0
"A & N Islands",474.0,474.0,477.0,470.0,468.0,452.0,447.0,452.0,454.0,454.0,448.0
"Lakshadweep ",217.0,217.0,217.0,217.0,217.0,"NA","NA","NA","NA","NA","NA"
"Daman & Diu",22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
"Orissa *",194.0,"NA","NA","NA","NA","NA","NA",118.0,118.0,118.0,118.0
"Total",4615.0,4227.0,4430.0,3608.0,3272.0,2457.0,2954.0,3019.0,3223.0,3116.0,2520.0
