-----
{
 "description": "Data provides details on estimated number of postcards, letters, newspapers, parcels and packets handled from 2000-01 to 2010-11.", 
 "file_name": "ESTIMATED_NUMBER_OF_TOTAL_MAIL_MERGED_TRAFFIC_HANDLED.xls", 
 "title": "Estimated Number of Postcards / Letters / Newspapers / Parcels And Packets Handled From 2000-01 To 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/ESTIMATED_NUMBER_OF_TOTAL_MAIL_MERGED_TRAFFIC_HANDLED.xls"
}
-----
"Particular","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11"
"Postcards",34412.0,25086.0,20286.0,21980.0,18984.0,16401.0,15829.85,14943.0,15454.0,15641.28,14684.58
"Letters",86878.24,70017.39,58627.74,53902.73,43672.5,38339.99,38768.74,36655.84,37397.81,35748.1,35987.28
"Letters- Speed Posts",377.78,528.06,634.07,826.86,959.78,1085.93,1286.0,1772.59,2114.18,2408.33,2745.31
"Letters-  Registered ",1983.46,1735.2,1677.87,1650.76,1668.44,1629.35,1714.78,1553.67,1520.88,1511.17,1599.51
"Letters- Insured",69.48,69.23,71.26,81.13,79.52,76.89,76.6,73.55,72.82,73.74,9.0
"Letters- Value Payable ",59.52,57.3,46.54,38.98,34.76,26.82,27.77,29.03,28.93,32.36,29.68
"Letters- Unregistered *",84388.0,67627.6,56198.0,51305.0,40930.0,35521.0,35663.59,33227.0,33661.0,31722.5,31643.78
"Newspapers",9070.0,6223.0,5249.0,4633.0,4661.0,4969.0,4866.11,4989.0,5100.0,4869.45,5076.1
"Parcels",3735.31,2820.54,1597.13,1183.79,1156.91,1060.75,1057.34,1117.01,1097.9,1172.89,104079.0
"Parcels- Express Posts",23.82,42.78,57.62,67.27,65.81,55.74,56.0,63.94,71.86,66.62,81.76
"Parcels-Registered ",274.33,244.9,233.71,220.09,233.63,236.03,227.68,226.69,229.27,232.14,100.93
"Parcels-Insured",32.26,30.0,28.34,30.74,27.38,24.95,26.51,25.75,25.85,25.58,9.82
"Parcels-Value Payable",32.9,35.56,34.46,30.69,27.09,25.03,26.66,22.63,21.92,21.78,14.11
"Parcels-Unregistered",3372.0,2467.3,1243.0,835.0,803.0,719.0,720.49,778.0,749.0,826.77,834.17
"Packets",8339.0,6731.5,5874.02,5546.54,6153.94,7377.5,7591.39,8043.12,8546.07,8466.63,9393.19
"Packets-Registered ","NA","NA",42.58,52.78,39.07,37.91,41.94,40.6,59.23,41.71,34.47
"Packets-Value Payable","NA","NA",89.44,30.76,31.87,28.59,31.13,26.52,23.84,19.72,21.2
"Packets-Unregistered",8339.0,6731.5,5742.0,5463.0,6083.0,7311.0,7518.32,7976.0,8463.0,8405.2,9337.52
