"State/UT/Year","Geographic Area (Km2) -2007","Geographic Area (Km2) -2011","Trees per hactare of CNFA- 2007","Trees per hactare of CNFA -2011","Tree Cover Area (Km2) -2007","Tree Cover Area (Km2) -2011","Tree Cover percentage of Geog. Area -2007","Tree Cover Percentage of Geog. Area -2011","Mangrove Cover Area 
 Area (Km2)- 2007","Mangrove Cover Area 
 Area (Km2) -2011","Mangrove Cover Area Percentage of Geog. Area -2007","Mangrove Cover Area 
Percentage of Geog. Area 2011"
"Andhra Pradesh",275069.0,275069.0,"NA","NA",7191.0,7152.0,2.61,2.6,353.0,352.0,0.128331436839,0.127967891693
"Arunachal Pradesh",83743.0,83743.0,"NA","NA",592.0,549.0,0.71,0.71,"NA","NA","NA","NA"
"Assam",78438.0,78438.0,"NA","NA",1590.0,1564.0,2.03,2.03,"NA","NA","NA","NA"
"Bihar",94163.0,94163.0,"NA","NA",2495.0,2369.0,2.65,2.52,"NA","NA","NA","NA"
"Chhattisgarh",135191.0,135191.0,"NA","NA",4027.0,3866.0,2.98,2.86,"NA","NA","NA","NA"
"Goa",3702.0,3702.0,"NA","NA",286.0,286.0,7.73,7.73,17.0,22.0,0.459211237169,0.594273365748
"Gujarat",196022.0,196022.0,"NA","NA",8390.0,7837.0,4.28,4.0,1046.0,1058.0,0.533613573987,0.53973533583
"Haryana",44212.0,44212.0,"NA","NA",1409.0,1395.0,3.19,3.15,"NA","NA","NA","NA"
"Himachal Pradesh",55673.0,55673.0,"NA","NA",638.0,623.0,1.15,1.12,"NA","NA","NA","NA"
"Jammu & Kashmir",222236.0,222236.0,"NA","NA",6764.0,6550.0,3.04,2.95,"NA","NA","NA","NA"
"Jharkhand",79714.0,79714.0,"NA","NA",3032.0,2914.0,3.8,3.66,"NA","NA","NA","NA"
"Karnataka",191791.0,191791.0,"NA","NA",5683.0,5733.0,2.96,2.99,3.0,3.0,0.00156420269981,0.00156420269981
"Kerala",38863.0,38863.0,"NA","NA",2801.0,2755.0,7.21,7.09,5.0,6.0,0.0128657077426,0.0154388492911
"Madhya Pradesh",308245.0,308245.0,"NA","NA",6871.0,7090.0,2.23,2.3,"NA","NA","NA","NA"
"Maharashtra",307713.0,307713.0,"NA","NA",9466.0,9079.0,3.08,2.95,186.0,186.0,0.0604459350109,0.0604459350109
"Manipur",22327.0,22327.0,"NA","NA",197.0,193.0,0.88,0.86,"NA","NA","NA","NA"
"Meghalaya",22429.0,22429.0,"NA","NA",542.0,578.0,2.42,2.58,"NA","NA","NA","NA"
"Mizoram",21081.0,21081.0,"NA","NA",172.0,190.0,0.82,0.9,"NA","NA","NA","NA"
"Nagaland",16579.0,16579.0,"NA","NA",300.0,322.0,1.81,1.94,"NA","NA","NA","NA"
"Orissa",155707.0,155707.0,"NA","NA",4435.0,4301.0,2.85,2.76,221.0,222.0,0.141933246418,0.142575478302
"Punjab",50362.0,50362.0,"NA","NA",1699.0,1699.0,3.37,3.37,"NA","NA","NA","NA"
"Rajasthan",342239.0,342239.0,"NA","NA",8274.0,8272.0,2.42,2.42,"NA","NA","NA","NA"
"Sikkim",7096.0,7096.0,"NA","NA",20.0,25.0,0.28,0.35,"NA","NA","NA","NA"
"Tamil Nadu",130058.0,130058.0,"NA","NA",4968.0,4718.0,3.82,3.63,39.0,39.0,0.0299866213535,0.0299866213535
"Tripura",10486.0,10486.0,"NA","NA",171.0,184.0,1.63,1.75,"NA","NA","NA","NA"
"Uttar Pradesh",240928.0,240928.0,"NA","NA",7381.0,7382.0,3.06,3.06,"NA","NA","NA","NA"
"Uttarakhand",53483.0,53483.0,"NA","NA",665.0,642.0,1.24,1.2,"NA","NA","NA","NA"
"West Bengal",88752.0,88752.0,"NA","NA",2458.0,2335.0,2.77,2.63,2152.0,2155.0,2.4247340905,2.42811429602
"A. & N. Islands ",8249.0,8249.0,"NA","NA",44.0,39.0,0.53,0.47,615.0,617.0,7.45544914535,7.47969450843
"Chandigarh",114.0,114.0,"NA","NA",11.0,10.0,9.65,8.93,"NA","NA","NA","NA"
"Dadra & Nagar Haveli",491.0,491.0,"NA","NA",27.0,29.0,5.5,5.91,"NA","NA","NA","NA"
"Daman & Diu ",112.0,112.0,"NA","NA",9.0,9.0,8.04,7.65,1.0,1.56,0.892857142857,1.39285714286
"Delhi",1483.0,1483.0,"NA","NA",123.0,120.0,8.29,8.07,"NA","NA","NA","NA"
"Lakshadweep",32.0,32.0,"NA","NA",4.0,5.0,12.5,14.23,"NA","NA","NA","NA"
"Puducherry",480.0,480.0,"NA","NA",34.0,31.0,7.08,6.44,1.0,1.0,0.208333333333,0.208333333333
