-----
{
 "description": "This table gives figures of Employment in Railways for the period 2000-01 to 2010-11 for the different railway zones in India.", 
 "file_name": "Employment_in_Railways.xls", 
 "title": "Employment In Railways ", 
 "url": "http://data.gov.in/sites/default/files/Employment_in_Railways.xls"
}
-----
"  Year","Central Zone (Number)","Eastern Zone(Number)","East Central Zone* (Number)","East Cost Zone* (Number)","Northern Zone (Number)","North Central Zone* (Number)","North Eastern Zone (Number)","North East Frontier Zone (Number)","North Western Zone* (Number)","Southern Zone (Number)","South Central Zone (Number)","South Eastern Zone (Number)","South East Central Zone* (Number)","South Western Zone* (Number)","Western Zone (Number)","West Central Zone* (Number)","Production Units (Number)","Railway Board & Other  Offices  Railway ","Grand Total"
" 2000-01",213199.0,208237.0,"NA","NA",242747.0,"NA",97570.0,79390.0,"NA",133587.0,121820.0,197525.0,"NA","NA",182916.0,"NA",51241.0,21153.0,1549385.0
" 2001-02",208024.0,204376.0,"NA","NA",236973.0,"NA",95233.0,76508.0,"NA",130579.0,119410.0,195725.0,"NA","NA",178210.0,"NA",49885.0,19893.0,1514816.0
" 2002-03",204707.0,195932.0,"NA","NA",231923.0,"NA",91957.0,75159.0,"NA",126992.0,116627.0,194055.0,"NA","NA",171971.0,"NA",48074.0,18487.0,1475884.0
" 2003-04",126813.0,133613.0,92165.0,43985.0,164304.0,72592.0,64158.0,74085.0,59690.0,106844.0,95919.0,98390.0,40336.0,33373.0,112842.0,61178.0,46521.0,18620.0,1445428.0
" 2004-05",124757.0,131513.0,84180.0,44450.0,161906.0,79039.0,63769.0,72685.0,57669.0,106258.0,95009.0,95830.0,42722.0,33654.0,110447.0,60401.0,45596.0,14504.0,1424389.0
" 2005-06",122783.0,129900.0,8252.0,44920.0,160332.0,79061.0,61539.0,73740.0,58482.0,104865.0,93968.0,92867.0,43245.0,34043.0,109338.0,58907.0,45079.0,15113.0,1412434.0
" 2006-07",121734.0,129102.0,83812.0,45510.0,158378.0,72936.0,60919.0,71734.0,58034.0,105177.0,93606.0,91886.0,42735.0,34217.0,108389.0,58740.0,45754.0,14947.0,1397610.0
" 2007-08",119396.0,130322.0,83122.0,46115.0,157021.0,72561.0,59823.0,69835.0,57891.0,104680.0,91509.0,90453.0,43655.0,34399.0,113636.0,58133.0,45624.0,16243.0,1394418.0
" 2008-09",119574.0,126747.0,81408.0,43430.0,160215.0,72302.0,60229.0,69929.0,58844.0,102472.0,91316.0,88835.0,42829.0,34339.0,112840.0,57855.0,45844.0,17115.0,1323164.0
" 2009-10*",115034.0,121477.0,77669.0,41294.0,155527.0,69061.0,57099.0,66176.0,56644.0,99329.0,87786.0,85938.0,41454.0,33502.0,108233.0,57737.0,45671.0,17902.0,1335622.0
"2010-11",111462.0,118595.0,74123.0,40350.0,152956.0,66943.0,55785.0,65675.0,55137.0,"",89628.0,83450.0,40899.0,32807.0,105907.0,56750.0,44779.0,17704.0,1302732.0
