-----
{
 "description": "The table presents data on R&D expenditure by industry groups for public sector from 2002-03 to 2003-04. The data is collected and compiled as a part of National Survey on R&D resources by DST, New Delhi, Government of India.", 
 "file_name": "Expenditure_On_RnD_By_Industry_Groups_For_Public_Sector_2002-03_to_2003-04.xls", 
 "title": "Expenditure On Research And Development By Industry Groups For Public Sector From 2002-03 To 2003-04 ", 
 "url": "http://data.gov.in/sites/default/files/Expenditure_On_RnD_By_Industry_Groups_For_Public_Sector_2002-03_to_2003-04.xls"
}
-----
"Sl. No.","Industry Group","No. of R&D Units","R&D Expenditure (Rs. Crores) 2002-03","R&D Expenditure (Rs. Crores) 2003-04","R&D Expenditure as % of S.T.O. 2002-03","R&D Expenditure as % of S.T.O. 2003-04"
1.0,"Metallurgical Industries",11.0,7268.71,9025.64,0.21,0.21
2.0,"Fuels",14.0,31054.35,28508.1,0.21,0.19
3.0,"Boilers & Steam Generating Plants",0.0,0.0,0.0,0.0,0.0
4.0,"Prime Movers",0.0,0.0,0.0,0.0,0.0
5.0,"Electricals and Electronics Equipment",12.0,4670.2,6725.89,0.13,0.19
6.0,"Telecommunications",2.0,4791.51,5179.67,2.19,3.78
7.0,"Transportation",4.0,2899.03,4360.92,0.31,0.39
8.0,"Industrial Machinery",2.0,11482.21,9945.64,1.37,1.07
9.0,"Machine Tools",2.0,304.18,294.6,1.24,1.38
10.0,"Agricultural Machinery",2.0,941.55,1165.71,1.13,1.36
11.0,"Earth Moving Machinery",2.0,1759.44,1503.12,44.27,26.02
12.0,"Misc. Mechanical Engineering Industries",0.0,0.0,0.0,0.0,0.0
13.0,"Commercial Office, Household Equipments",0.0,0.0,0.0,0.0,0.0
14.0,"Medical and Surgical Appliances",1.0,33.84,38.03,0.69,0.76
15.0,"Industrial Instruments",3.0,104.9,153.06,0.45,1.21
16.0,"Scientific Instruments",1.0,34.85,35.0,0.26,0.23
17.0,"Math. Surveying & Drawing Instruments",0.0,0.0,0.0,0.0,0.0
18.0,"Fertilizers",4.0,1154.73,1039.44,0.1,0.1
19.0,"Chemicals (Other Than Fertilizers)",15.0,2371.02,2563.37,0.12,0.1
20.0,"Photographic Raw Film and Paper",1.0,97.69,85.65,3.62,3.08
21.0,"Dyestuffs",0.0,0.0,0.0,0.0,0.0
22.0,"Drugs and Pharmaceuticals",5.0,159.12,113.35,0.42,0.36
23.0,"Textiles (Dyed, Printed, Processed)",2.0,62.12,60.95,0.28,0.26
24.0,"Papers and Pulps",4.0,394.1,308.94,0.32,0.23
25.0,"Sugar",1.0,25.73,41.26,47.65,98.24
26.0,"Fermentation Industries",0.0,0.0,0.0,0.0,0.0
27.0,"Food Processing Industries",1.0,12.02,9.0,0.31,0.32
28.0,"Vegetables Oil & Vanaspati",0.0,0.0,0.0,0.0,0.0
29.0,"Soaps, Cosmetics and Toilet Preparations",1.0,9.54,15.89,0.09,0.17
30.0,"Rubber Goods",0.0,0.0,0.0,0.0,0.0
31.0,"Leather, Leather Goods & Pickers",0.0,0.0,0.0,0.0,0.0
32.0,"Glue & Gelatine",0.0,0.0,0.0,0.0,0.0
33.0,"Glass",0.0,0.0,0.0,0.0,0.0
34.0,"Ceramics",2.0,25.84,23.97,0.36,0.21
35.0,"Cement & Gypsum",0.0,0.0,0.0,0.0,0.0
36.0,"Timber Products",0.0,0.0,0.0,0.0,0.0
37.0,"Defence Industries",9.0,35033.05,34453.72,8.33,7.14
38.0,"Information Technology",1.0,795.0,1154.0,12.93,15.11
39.0,"Biotechnology",1.0,30.0,42.0,0.0,0.0
40.0,"Consultancy Services",6.0,2036.48,1956.21,0.23,0.19
41.0,"Miscellaneous Industries",3.0,255.38,300.16,0.36,0.39
"Total","Total",112.0,107806.59,109103.29,0.38,0.35
