-----
{
 "description": "This table consists of product wise and year wise export of major petrochemicals products, both in quantity and value, during 2006-07 to 2011-12 in India.", 
 "file_name": "Export_of_Major_Petrochemicals_ProductWise_or_GroupWise_2006-07_to_2011-12.xls", 
 "title": "Export of Major Petrochemicals - Product wise / Group wise from 2006-07 to 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/Export_of_Major_Petrochemicals_ProductWise_or_GroupWise_2006-07_to_2011-12.xls"
}
-----
"GROUP","PRODUCT","2006-2007 QTY","2006-2007 VAL","2007-2008 QTY","2007-2008 VAL","2008-2009 QTY","2008-2009 VAL","2009-2010 QTY","2009-2010 VAL","2010-2011 QTY","2010-2011 VAL","2011-2012 QTY","2011-2012 VAL"
"SYNTHETIC FIBRES","ACRYLIC FIBRE",9199.0,10483.0,5566.0,6463.0,6439.0,9027.0,10579.0,12600.0,24522.0,44634.0,26383.0,37398.0
"SYNTHETIC FIBRES","NYLON FILAMENT YARN",1929.0,3719.0,2803.0,4721.0,2596.0,4711.0,2077.0,4718.0,2015.0,4840.0,1882.0,5361.0
"SYNTHETIC FIBRES","NYLON INDUSTRIAL YARN/TYRE CORD",4825.0,7394.0,5736.0,8480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SYNTHETIC FIBRES","POLYESTER FILAMENT YARN",179030.0,134502.0,231608.0,160061.0,91947.0,89853.0,134620.0,113490.0,257101.0,233232.0,301412.0,321693.0
"SYNTHETIC FIBRES","POLYESTER STAPLE FIBRE",124156.0,68391.0,145825.0,79363.0,136370.0,78080.0,160828.0,89940.0,152487.0,105285.0,176000.0,154451.0
"SYNTHETIC FIBRES","POLYPROPYLENE FILAMENT YARN",1203.0,1103.0,1079.0,1095.0,571.0,688.0,767.0,1009.0,1259.0,1476.0,1235.0,1582.0
"SYNTHETIC FIBRES","POLYPROPYLENE STAPLE FIBRE",532.0,514.0,633.0,498.0,893.0,849.0,504.0,413.0,639.0,648.0,565.0,790.0
"FIBRE INTERMEDIATES","ACRYLONITRILE",1.0,6.0,76.0,450.0,2877.0,1184.0,1.0,3.0,1.0,2.0,5598.0,6048.0
"FIBRE INTERMEDIATES","CAPROLACTUM",13822.0,13317.0,2787.0,2930.0,7773.0,5986.0,12404.0,11892.0,13777.0,21658.0,13448.0,20052.0
"FIBRE INTERMEDIATES","DIMETHYL TEREPHTHALATE",737.0,348.0,299.0,129.0,0.0,0.0,1.0,1.0,5.0,15.0,3.0,11.0
