-----
{
 "description": "This table shows State-wise (2010-11 to 2011), All India (2008-09 to 2011-12) data on the funds released by government and expenditure on wages, materials and administration.", 
 "file_name": "FINANCIAL_OUTCOMES_UNDER_NREGA.xls", 
 "title": "Financial Outcomes Under Mahatma Gandhi National Rural Employment Guarantee Act (NREGA) ", 
 "url": "http://data.gov.in/sites/default/files/FINANCIAL_OUTCOMES_UNDER_NREGA.xls"
}
-----
"State/UT","Central Release 
(` In lakhs) 2010-11 (P)","Central Release 
(` In lakhs) 2011-12 (P)","Total Funds Available including O.B 
(` In lakhs) 2010-11 (P)","Total Funds Available including O.B 
(` In lakhs) 2011-12 (P)","Expenditure on 
(` In lakhs)Total  2010-11 (P)","Expenditure on 
(` In lakhs)Total  2011-12 (P)","Expenditure on 
(` In lakhs)Wages  2010-11 (P)","Expenditure on 
(` In lakhs)Wages  2011-12 (P)","Expenditure on 
(` In lakhs)Material  2010-11 (P)","Expenditure on 
(` In lakhs)Material  2011-12 (P)","Expenditure on 
(` In lakhs)Administration 2010-11 (P)","Expenditure on 
(` In lakhs)Administration 2011-12 (P)","% Age of Expenditure Against Total Available Fund  2010-11 (P)","% Age of Expenditure Against Total Available Fund  2011-12 (P)","% Age of Expenditure on Wages  2010-11 (P)","% Age of Expenditure on Wages  2011-12 (P)","% Age of Expenditure on Material  2010-11 (P)","% Age of Expenditure on Material  2011-12 (P)","% Age of Expenditure on Administration 2010-11 (P)","% Age of Expenditure on Administration 2011-12 (P)"
"Andhra Pradesh",741807.0,147757.89,910709.7,578150.77,543938.6,418014.43,335056.2,281808.07,166121.5,86458.16,42760.9,49748.21,59.7,72.3,66.9,76.52,33.1,23.48,7.9,11.9
"Arunachal Pradesh",3528.5,6078.58,4237.5,6462.89,1064.1,96.87,642.1,48.27,366.9,0.0,55.0,48.6,25.1,1.5,63.6,100.0,36.4,0.0,5.2,50.17
"Assam",60928.7,42685.8,126918.4,86910.85,91761.7,74781.61,50239.8,45953.04,37256.3,24622.45,4265.7,4206.12,72.3,86.04,57.4,65.11,42.6,34.89,4.6,5.62
"Bihar",210365.5,130073.42,303543.3,191333.98,226112.9,167286.18,138909.5,92710.73,80012.4,66258.33,7191.1,8317.12,74.5,87.43,63.5,58.32,36.5,41.68,3.2,4.97
"Chhattisgarh",168505.0,163855.88,224953.5,243907.97,161218.5,207875.47,114622.4,148239.89,39989.3,51035.29,6606.7,8600.3,71.7,85.23,74.1,74.39,25.9,25.61,4.1,4.14
"Goa",507.8,259.64,1600.8,812.15,947.6,706.44,464.1,493.46,241.8,155.78,241.7,57.2,59.2,86.98,65.7,76.01,18.5,23.99,25.5,8.1
"Gujarat",89486.1,32429.03,127898.8,91351.04,78821.5,65974.64,47885.6,34913.56,27067.0,25292.46,3869.0,5768.62,61.6,72.22,63.9,57.99,36.1,42.01,4.9,8.74
"Haryana",13100.1,27512.23,22764.8,33324.25,21436.1,31388.07,14217.2,19378.8,6527.5,11022.63,691.5,986.64,94.2,94.19,68.5,63.74,31.5,36.26,3.2,3.14
"Himachal Pradesh",63625.0,31138.16,82019.3,67240.34,49935.3,50949.66,27616.6,32455.3,19861.5,15924.67,2457.2,2569.69,60.9,75.77,58.2,67.08,41.8,32.92,4.9,5.04
"Jammu & Kashmir",31359.9,78130.96,43081.5,87702.74,35161.6,51593.57,22199.6,24847.42,11926.1,24565.55,1036.0,2180.6,81.6,58.83,65.1,50.29,34.9,49.71,2.9,4.23
"Jharkhand",96286.9,123733.08,163925.2,175904.1,128346.0,117092.87,85711.1,73359.22,36774.3,37481.88,5860.6,6251.79,78.3,66.57,70.0,66.18,30.0,33.82,4.6,5.34
"Karnataka",157305.0,66256.92,289792.0,197084.38,256693.3,187619.32,159185.1,108504.56,91297.0,71898.72,6211.2,7216.03,88.6,95.2,63.6,60.15,36.4,39.85,2.4,3.85
