-----
{
 "description": "The report is prepared on the basis of information collected from reporting State Road Transport Undertakings (SRTUs) for the financial year 2005-06. This table contains the financial performances of reporting SRTUs in India in term of total revenue, total cost and various components of costs of...", 
 "file_name": "Financial_Performance_of_SRTUs_for_the_Year_2005-06.xls", 
 "title": "Financial Performance of SRTUs for the year 2005-06 ", 
 "url": "http://data.gov.in/sites/default/files/Financial_Performance_of_SRTUs_for_the_Year_2005-06.xls"
}
-----
"S.No.","Name of SRTU ","Total Revenue ","Total Cost ","Staff Costs","Fuel & Lubricant Costs"," Tyres & Tubes ","Spares ","Interest ","Depreciation ","Taxes ","Others "
1.0,"Ahmedabad MTS",5745.11,9323.97,5371.67,2798.18,95.95,379.9,338.44,0.0,57.87,281.96
2.0,"Andhra Pradesh SRTC",339666.4,342067.29,135451.42,127586.98,8751.23,12469.94,8459.75,13540.61,24692.26,11115.1
3.0,"B.E.S.T. Undertaking",84826.22,108714.79,58404.51,25433.26,1027.61,3620.0,2011.55,4907.78,4902.18,8407.9
4.0,"Bangalore Metropolitan TC",70340.14,58851.8,20538.35,20220.31,884.43,1270.64,233.01,4431.49,3439.4,7834.17
5.0,"Bihar SRTC",6256.21,10425.14,2417.28,3148.26,225.48,316.81,3004.85,560.0,373.7,378.76
6.0,"Calcutta STC",7262.8,21063.74,11632.76,4758.43,221.44,910.6,2405.0,678.74,0.0,456.77
7.0,"Delhi TC",46446.18,126727.26,44144.93,17141.58,1397.3,3177.33,45386.16,6662.45,3220.02,5597.49
8.0,"Gujarat SRTC",143016.84,154241.1,56150.56,55637.12,3913.74,4237.84,5792.79,2790.04,17817.48,7901.53
9.0,"Haryana ST",68080.38,80081.96,24256.24,25012.1,1432.92,1376.32,2405.8,3060.61,18773.5,3764.47
10.0,"Himachal RTC",24795.95,33307.44,11691.7,11669.08,1332.05,1302.61,891.29,1370.53,3429.62,1620.56
11.0,"Kadamba TCL",5609.73,6801.3,2499.9,2431.98,182.96,329.93,280.64,343.52,127.27,605.1
12.0,"Maharashtra SRTC",329597.0,333682.0,113827.0,122882.0,7429.0,5787.0,5870.0,16568.0,46475.0,14844.0
13.0,"Meghalaya STC",557.8,953.42,660.63,150.86,19.22,25.78,0.0,16.25,5.4,75.28
14.0,"Metro.TC (Chennai) Ltd.",47229.35,55745.45,30120.35,18044.71,975.25,1669.33,983.73,846.34,818.73,2287.01
15.0,"Mizoram ST",153.01,1074.67,826.04,142.79,47.06,58.78,0.0,0.0,0.0,0.0
16.0,"Nagaland ST",773.94,1641.18,1052.26,390.58,87.31,100.0,0.0,0.0,1.15,9.88
17.0,"North Bengal STC",4549.65,11851.77,6210.83,3181.02,159.22,191.63,1098.0,580.0,0.0,431.07
18.0,"North Eastern Karnataka RTC",38710.98,40913.81,10480.74,11627.1,976.13,550.75,432.68,1466.02,2731.69,12648.7
19.0,"North West Karnataka RTC",69989.14,73008.77,23567.51,25195.34,2065.14,1268.83,1002.29,3834.46,4252.41,11822.79
20.0,"Orissa SRTC",3780.4,3687.48,573.55,2007.91,160.13,138.55,128.92,"**",216.62,166.68
21.0,"Pepsu RTC",20949.64,22199.86,7364.37,6564.36,401.91,518.46,725.22,447.06,3820.44,2358.04
22.0,"Pimpri Chinchwad MT",2805.83,3942.27,2125.12,1324.85,25.17,68.36,0.0,0.0,62.87,335.9
23.0,"Rajasthan SRTC",87675.51,90425.78,29428.15,33498.78,1951.78,1113.59,1364.49,4388.38,8391.7,10288.91
24.0,"South Bengal STC",7358.12,9373.26,3008.26,3066.75,173.62,384.08,1358.87,326.2,6.69,1048.79
25.0,"State Exp.TC TN Ltd.",25238.55,29723.8,12193.25,11721.13,603.24,670.48,1639.94,503.14,755.66,1636.96
26.0,"Thane MT",1376.27,1411.21,631.8,519.78,13.96,69.59,1.91,9.21,102.31,62.65
27.0,"TN STC(Coimbatore Dvn)Ltd.",57243.45,63544.3,27520.93,24046.6,1565.43,1316.94,899.03,2149.51,2651.78,3394.08
28.0,"TN STC(Kumbakonam)Ltd.",66448.61,71244.2,29511.93,27792.51,2052.72,1624.87,1088.08,2327.11,3220.94,3626.04
29.0,"TN STC(Madurai)Ltd.",78597.89,87805.51,38669.99,32992.95,2138.31,1930.86,2976.89,1807.15,3494.63,3794.73
30.0,"TN STC(Salem)Ltd.",39337.46,42627.16,17078.59,16371.85,1022.55,876.69,625.76,1723.63,2015.65,2912.44
31.0,"TN STC(Villupuram)Ltd.",66727.22,69868.41,27929.5,27466.12,1862.98,1658.85,921.6,2453.26,3150.01,4426.09
32.0,"Tripura RTC",400.0,1269.0,859.0,200.0,34.0,45.0,0.0,48.0,8.0,75.0
33.0,"Uttar Pradesh SRTC",101867.94,100491.2,33755.88,38949.97,2553.56,3163.06,1705.89,8963.25,758.44,10641.15
"Total","All India",1853413.72,2068090.3,789955.0,703975.24,45782.8,52623.4,94032.58,86802.74,159773.42,134850.0
