-----
{
 "description": "The report is prepared on the basis of information collected from reporting State Road Transport Undertakings (SRTUs) for the financial year 2011-12. This table contains the financial performances of reporting SRTUs in India in term of total revenue, total cost and various components of costs of...", 
 "file_name": "Financial_Performance_of_SRTUs_for_the_Year_2011-12.xls", 
 "title": "Financial Performance of SRTUs for the year 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/Financial_Performance_of_SRTUs_for_the_Year_2011-12.xls"
}
-----
"S.No.","Name of State Road Transport Undertaking (SRTU)","Total Revenue          ","Total Cost                     ","Staff Costs  ","Fuel & Lubricant Costs  (Rs. Lakhs)","Cost of Tyres & Tubes ","Cost of Spares","Interest ","Depreciation  ","Taxes","Other Cost"
1.0,"Ahmedabad M T Corpn. ",11961.75,26054.4,14406.51,4277.25,183.29,467.99,562.01,0.0,158.51,5998.84
2.0,"Andhra Pradesh SRTC#",570381.47,623251.75,247376.11,201856.56,14714.34,26178.9,27184.51,30621.27,36572.21,38747.85
3.0,"Assam State Transport Corpn.##",89.96,106.02,53.95,26.04,4.23,"NA",12.53,"NA",0.65,8.62
4.0,"B.E.S.T. Undertaking",131544.36,168346.55,88108.97,34260.13,2514.16,4907.54,15052.0,10250.67,2779.75,10473.33
5.0,"Bangalore Metropolitan TC",148381.63,145875.63,55134.16,54740.91,3407.11,3878.13,2498.83,10890.72,7689.45,7636.32
6.0,"Bihar SRTC",2315.11,4097.62,1858.16,1484.52,201.41,101.8,"NA","NA",91.42,360.31
7.0,"Calcutta STC",6163.03,23388.96,17201.33,4273.9,359.06,305.59,"NA",800.0,0.0,449.08
8.0,"Chandigarh TU",11820.75,16200.23,6991.97,4551.97,325.93,649.03,78.39,801.92,1118.38,1682.64
9.0,"Delhi TC",128080.57,382133.43,116096.29,46238.08,1107.52,3166.15,177081.7,18442.92,434.01,19566.76
10.0,"Gujarat SRTC",219704.64,259935.57,104009.78,85427.22,6500.03,3750.06,636.65,15436.32,31952.82,12222.69
11.0,"Haryana ST",96223.0,117817.0,53747.0,498.0,2422.0,2610.0,2888.0,3548.0,17331.0,34773.0
12.0,"Himachal RTC",48170.87,56235.98,27797.12,18651.3,"NA",5252.56,1222.17,1884.83,1428.0,"NA"
13.0,"J&K SRTC",5925.09,8119.24,3829.03,2469.69,198.95,179.9,0.0,492.74,710.43,238.5
14.0,"Kadamba TC Ltd.",9348.19,11205.36,6202.02,2776.11,246.62,159.5,617.65,448.99,165.37,589.1
15.0,"Karnataka SRTC",231768.48,229827.07,67252.63,90705.94,9572.37,8389.36,1932.96,19580.59,11682.74,20710.48
16.0,"Kerala SRTC",155572.0,190295.0,88479.0,63197.0,3880.0,2956.0,14080.0,6675.0,8356.0,2672.0
17.0,"Kolhapur MTU",3725.71,3657.49,1646.07,1351.52,85.92,72.18,0.0,76.18,54.76,370.86
18.0,"Maharashtra SRTC",560025.0,553628.0,202807.0,181381.0,15646.0,31376.0,2450.0,35192.0,84776.0,"NA"
19.0,"Meghalaya STC",1113.01,1147.93,755.03,175.33,15.0,16.74,0.0,48.99,45.92,90.92
20.0,"Metro.TC (Chennai) Ltd.",104353.63,127545.89,62724.48,35147.64,3315.34,2786.97,6874.78,10574.84,989.72,5132.12
21.0,"Mizoram ST",213.61,1629.71,1476.6,97.39,24.76,30.96,"NA","NA","NA","NA"
22.0,"Navi Mumbai  MT",8795.1,10328.16,3739.77,3313.49,108.94,840.99,158.87,1043.59,247.36,875.15
23.0,"North Bengal STC",6472.32,18062.74,10576.77,4616.6,50.94,160.37,1302.0,580.0,0.0,776.06
24.0,"North Eastern Karnataka RTC",96984.89,98858.94,31277.52,40433.35,4940.05,2477.52,1844.49,7604.47,4719.62,5561.92
25.0,"North Western Karnataka RTC",115906.85,118250.36,40783.36,45606.49,4436.56,4087.99,2934.91,7822.12,4899.63,7679.3
26.0,"Pepsu RTC",29330.24,30376.39,9643.25,10707.49,501.98,263.52,588.15,771.52,3234.53,4665.95
27.0,"Rajasthan SRTC",140786.39,150548.98,59146.48,50560.38,4854.24,2119.42,5921.75,3582.55,9882.8,14481.36
28.0,"South Bengal STC",12178.42,15452.22,6964.48,3979.79,240.16,542.7,1985.7,951.92,327.71,459.76
29.0,"State Exp.TC TN Ltd.",36912.57,53603.16,21369.52,16907.63,1393.33,1070.76,5078.24,1944.42,733.08,5106.18
30.0,"Thane MTU",6974.09,8411.2,4596.34,2119.12,154.72,132.88,"NA","NA",365.6,1042.54
31.0,"TN STC (Coimbatore)Ltd.",92030.81,123075.92,56317.99,40021.1,3937.67,1591.76,5979.67,5558.49,3309.97,6359.27
32.0,"TN STC (Kumbakonam)Ltd.",112116.41,138379.58,61334.11,48353.58,4989.85,2058.31,5351.52,6139.43,4097.27,6055.51
33.0,"TN STC (Madurai)Ltd.",80641.03,98422.04,44314.83,31894.96,2890.34,1260.1,3160.58,5893.73,2239.7,6767.8
34.0,"TN STC (Salem)Ltd.",62137.47,82104.99,36085.12,29612.04,2528.07,1068.06,3760.5,1997.68,2338.52,4715.0
35.0,"TN STC (Villupuram) Ltd.",114823.37,135713.48,58494.16,47583.34,4591.38,2940.34,3908.49,4948.24,3949.36,9298.17
36.0,"Tripura RTC",1710.0,2840.0,1340.0,182.0,48.0,56.0,1060.0,64.0,"NA",90.0
37.0,"Uttar Pradesh SRTC",228191.27,227706.2,72154.0,73631.0,5779.0,5513.0,4130.0,13719.0,23402.0,29378.2
"Total","All India",3592873.09,4262633.19,1686090.91,1283109.86,106169.27,123419.08,300337.05,228387.14,270084.29,265035.59
