-----
{
 "description": "This Table give All India (2000-01 to 2009-10) and State-wise (2008-09 to 2009-10) data on gross area under irrigation by crops such as Rice, Jowar, Bajra, Maize, Ragi, Wheat, Barley, Cereals, Millets, Pulses, Food Grains, Sugarcane, Fruits, Vegetables, Cotton, Tobacco, Fodder Crops, etc.", 
 "file_name": "GROSS_AREA_UNDER_IRRIGATION_BY_CROPS.xls", 
 "title": "Gross Area Under Irrigation by Crops ", 
 "url": "http://data.gov.in/sites/default/files/GROSS_AREA_UNDER_IRRIGATION_BY_CROPS.xls"
}
-----
" Year/State/ Union Territory","Rice ('000 hectare)","Jowar ('000 hectare)","Bajra ('000 hectare)","Maize ('000 hectare)","Ragi ('000 hectare)"," Wheat ('000 hectare)","Barley ('000 hectare)","Other Cereals and Millets ('000 hectare)","Total Cereals and Millets  ('000 hectare)","Total Pulses ('000 hectare)","Total Food grains ('000 hectare)","Sugarcane ('000 hectare)","Condiments and Spices ('000 hectare)","Fruits/Vegetables incl Root crops ('000 hectare)","Other Food-Crops ('000 hectare)","Total Food-Crops ('000 hectare)","Total Oil Seeds ('000 hectare)","Cotton ('000 hectare)","Tobacco ('000 hectare)","FodderCrops   ('000 hectare)","Other Non-Food Crops ('000 hectare)","Total Non-Food Crops ('000 hectare)","Total irrigated Area ('000 hectare)"
" 2000-01",24337.0,826.0,783.0,1483.0,141.0,22798.0,529.0,18.0,50914.0,2695.0,53609.0,4297.0,1544.0,4700.0,34.0,64183.0,5515.0,2766.0,162.0,2401.0,1159.0,12003.0,76187.0
" 2001-02",24419.0,726.0,643.0,1373.0,145.0,23311.0,441.0,14.0,51072.0,3097.0,54169.0,4431.0,1973.0,5019.0,39.0,65630.0,6017.0,3072.0,172.0,2385.0,1144.0,12790.0,78420.0
" 2002-03",21180.0,729.0,763.0,1354.0,148.0,22441.0,453.0,17.0,47085.0,2991.0,50076.0,4490.0,1674.0,5154.0,28.0,61614.0,5433.0,2553.0,185.0,2349.0,1154.0,11673.0,73094.0
" 2003-04 ",22360.0,713.0,690.0,1403.0,128.0,24150.0,441.0,11.0,49896.0,3339.0,53235.0,4150.0,1995.0,5566.0,16.0,64962.0,6547.0,2599.0,224.0,2551.0,1156.0,13076.0,78038.0
" 2004-05 ",23542.0,793.0,769.0,1566.0,116.0,24157.0,402.0,11.0,51355.0,3354.0,54709.0,3977.0,1851.0,5694.0,12.0,66244.0,8051.0,3151.0,211.0,2322.0,1097.0,14831.0,81076.0
" 2005-06 ",24955.0,736.0,890.0,1730.0,110.0,24165.0,429.0,27.0,53042.0,3444.0,56486.0,4331.0,1709.0,6056.0,31.0,68613.0,8667.0,3246.0,205.0,2363.0,1188.0,15667.0,84280.0
" 2006-07 ",25258.0,703.0,915.0,1730.0,82.0,25735.0,465.0,33.0,54921.0,3629.0,58550.0,4861.0,1860.0,5920.0,30.0,71221.0,8267.0,3410.0,189.0,2427.0,1242.0,15535.0,86756.0
" 2007-08 ",25199.0,688.0,987.0,1950.0,83.0,26101.0,476.0,43.0,55526.0,3925.0,59450.0,4844.0,2180.0,6226.0,29.0,72730.0,7810.0,3487.0,196.0,2544.0,1215.0,15250.0,87980.0
" 2008-09",26597.0,692.0,821.0,2015.0,98.0,25681.0,540.0,35.0,56480.0,3892.0,60372.0,4571.0,2101.0,6328.0,46.0,73418.0,8069.0,3313.0,207.0,2578.0,1283.0,15499.0,88867.0
" 2009-10",24545.0,680.0,777.0,1966.0,92.0,26209.0,453.0,37.0,54759.0,3882.0,58641.0,4297.0,2203.0,6416.0,25.0,71582.0,7396.0,3542.0,218.0,2309.0,1377.0,14841.0,86423.0
