-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on juveniles delinquency under Indian Penal Code (IPC).", 
 "file_name": "JUVENILES_DELINQUENCY_IPC_CASES.xls", 
 "title": "All India And State-wise Juveniles Delinquency Under IPC Cases ", 
 "url": "http://data.gov.in/sites/default/files/JUVENILES_DELINQUENCY_IPC_CASES.xls"
}
-----
"State/U.T","Year","   Murder","Culpable homicide not amounting to murder","    Rape","Kidnapping and abduction","  Dacoity","   Robbery","  Burglary","Theft"," Riots","Criminal breach of trust","Cheating","Counter feiting","Other IPC crimes","Total Cognizable Crimes"
"Total 2009",2009.0,844.0,25.0,798.0,396.0,150.0,481.0,2431.0,5253.0,1422.0,17.0,108.0,11.0,11990.0,23926.0
"Andhra Pradesh",2009.0,23.0,0.0,53.0,24.0,3.0,10.0,162.0,436.0,34.0,0.0,17.0,1.0,445.0,1208.0
"Arunachal Pradesh",2009.0,0.0,0.0,2.0,0.0,0.0,6.0,16.0,4.0,3.0,0.0,0.0,0.0,81.0,112.0
"Assam",2009.0,14.0,0.0,39.0,26.0,7.0,10.0,76.0,271.0,37.0,0.0,1.0,0.0,65.0,546.0
"Bihar",2009.0,61.0,4.0,33.0,42.0,7.0,22.0,45.0,151.0,189.0,1.0,10.0,0.0,370.0,935.0
"Chhattisgarh",2009.0,60.0,0.0,92.0,17.0,10.0,52.0,465.0,289.0,111.0,0.0,3.0,0.0,1761.0,2860.0
"Goa",2009.0,5.0,0.0,3.0,1.0,0.0,1.0,16.0,20.0,0.0,0.0,0.0,0.0,14.0,60.0
"Gujarat",2009.0,36.0,0.0,22.0,31.0,6.0,13.0,125.0,348.0,86.0,0.0,6.0,3.0,752.0,1428.0
"Haryana",2009.0,28.0,0.0,26.0,27.0,2.0,10.0,97.0,180.0,64.0,11.0,10.0,0.0,504.0,959.0
"Himachal Pradesh",2009.0,7.0,0.0,7.0,0.0,1.0,1.0,17.0,19.0,13.0,0.0,0.0,0.0,62.0,127.0
"Jammu & Kashmir",2009.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0
"Jharkhand",2009.0,56.0,1.0,50.0,17.0,14.0,21.0,11.0,114.0,66.0,0.0,2.0,0.0,334.0,686.0
"Karnataka",2009.0,24.0,0.0,6.0,2.0,7.0,5.0,29.0,53.0,11.0,0.0,2.0,1.0,87.0,227.0
"Kerala",2009.0,5.0,0.0,2.0,4.0,3.0,7.0,52.0,114.0,100.0,0.0,0.0,1.0,153.0,441.0
"Madhya Pradesh",2009.0,117.0,4.0,184.0,53.0,9.0,69.0,262.0,381.0,173.0,1.0,6.0,1.0,3275.0,4535.0
"Maharashtra",2009.0,142.0,4.0,76.0,35.0,61.0,148.0,516.0,1396.0,426.0,2.0,30.0,0.0,1786.0,4622.0
"Manipur",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2009.0,9.0,0.0,5.0,0.0,3.0,1.0,16.0,32.0,0.0,0.0,0.0,0.0,16.0,82.0
