-----
{
 "description": "State Wide Area Network (SWAN) for providing connectivity up to Block Head Quarters is operational in 30 States. Active PoPs can be obtained from this dataset.", 
 "file_name": "List_of_SWAN_PoP.csv", 
 "title": "State Wide Area Network (SWAN) Poin of Presence (PoP) ", 
 "url": "http://data.gov.in/sites/default/files/List_of_SWAN_PoP.csv"
}
-----
Sl. No.,State,Approved SHQ,Operational SHQ,Approved DHQ,Operational DHQ,Approved BHQ,Operational BHQ
1,Tamil Nadu,1,1,30,30,677,676
2,Haryana,1,1,22,22,126,124
3,Himachal Pradesh,1,1,12,12,119,117
4,Tripura,1,1,3,3,58,58
5,NCT of Delhi,1,1,9,9,11,11
6,Chandigarh,1,1,0,0,7,7
7,Punjab,1,1,20,20,175,173
8,Gujarat,1,1,25,25,225,225
9,Jharkhand,1,1,22,22,247,239
10,Uttar Pradesh,1,1,70,70,814,814
11,West Bengal,1,1,18,18,350,333
12,Kerala,1,1,16,16,152,152
13,Sikkim,1,1,4,4,38,38
14,Maharashtra,1,1,35,35,324,308
15,Orissa ,1,1,30,30,284,279
16,Karnataka,1,1,27,27,148,148
17,Puducherry ,1,1,3,3,8,8
18,Chhattisgarh,1,1,17,17,133,133
19,Lakshadweep,1,1,0,0,9,9
20,Bihar,1,1,37,37,495,457
21,Assam,1,1,26,26,277,214
22,Madhya Pradesh,1,1,49,49,310,260
23,Uttarakhand ,1,1,13,13,121,116
24,Andhra Pradesh,1,1,23,23,1088,1083
25,Manipur,1,1,7,7,34,13
26,Arunachal Pradesh,1,1,16,15,160,35
27,Meghalaya,1,1,7,7,47,47
28,Rajasthan,1,1,31,2,208,0
29,Jammu & Kashmir,1,0,21,0,152,0
30,Mizoram,1,1,7,7,34,14
31,Nagaland,1,1,10,5,37,15
32,Dadra & Nagar Haveli,1,0,0,0,2,0
33,Andaman & Nicobar,1,0,3,0,7,0
34,Goa,1,1,2,2,11,11
35,Daman & Diu,1,0,0,0,2,0
