-----
{
 "description": "Data provides meteorological sub-division wise annual rainfall figures from 2002 to 2011.", 
 "file_name": "METEOROLOGICAL_SUB_DIVISION_WISE_ANNUAL_RAINFALL.xls", 
 "title": "Meteorological Sub-division Wise Annual Rainfall From 2002 To 2011 ", 
 "url": "http://data.gov.in/sites/default/files/METEOROLOGICAL_SUB_DIVISION_WISE_ANNUAL_RAINFALL.xls"
}
-----
"Sub-division","2002 (in millimetre)","2003 (in millimetre)","2004 (in millimetre)","2005 (in millimetre)","2006 (in millimetre)","2007 (in millimetre)","2008 (in millimetre)  ","2009 (in millimetre)","2010 (in millimetre)","Normal Rainfall 2010 (in millimetre)","Percentage change w.r.t Normal Rainfall in 2010","2011 (in millimetre)","Normal Rainfall 2011 (in millimetre)","Percentage change w.r.t Normal Rainfall in 2011"
"Andaman and Nicobar Islands",2310.7,2446.9,2508.1,2762.6,2447.9,2656.7,3335.2,2614.5,3147.2,2974.4,5.80957504034,3833.5,2926.3,31.0016061238
"Arunachal Pradesh",2559.6,2761.2,2891.7,2542.4,2108.0,2401.3,2470.4,2163.3,2397.7,2783.3,-13.8540581324,1923.4,2933.7,-34.437740737
"Assam and Meghalaya",2530.4,2835.1,2890.9,2314.8,1777.4,2414.6,2271.2,1863.0,2498.7,2898.2,-13.7844179146,1758.3,2624.9,-33.014591032
"Nagaland,Mizoram,Manipur and Tripura",1960.8,2029.0,1999.3,1612.4,1561.6,2146.0,1481.7,1446.5,2027.2,2139.5,-5.24888992755,1655.0,2278.0,-27.3485513608
"Sub-Himalayan,West Bengal & Sikkim ",2820.1,3288.5,2768.3,2670.8,2304.5,2641.3,2618.8,2275.1,2849.3,2600.9,9.55054019762,2360.0,2708.9,-12.879766695
"Gangetic West Bengal",1597.5,1457.8,1488.1,1585.4,1587.3,1953.2,1580.6,1322.5,1084.4,1492.9,-27.3628508272,1671.7,1527.2,9.46176008381
"Orissa",1166.6,1750.6,1337.6,1549.7,1810.0,1664.9,1600.4,1397.8,1332.3,1478.6,-9.89449479237,1300.2,1460.5,-10.9756932557
"Jharkhand",1315.5,1299.0,1153.5,859.4,1356.0,1441.5,1200.6,1061.1,803.7,1306.6,-38.4892086331,1274.8,1296.3,-1.65856668981
"Bihar ",1193.3,1454.8,1077.0,913.7,1000.5,1466.2,1306.7,993.7,941.9,1213.6,-22.3879367172,1217.3,1205.6,0.970471134705
"Uttar Pradesh East",796.0,1177.1,902.4,828.3,771.5,863.2,1121.9,711.1,758.5,1036.2,-26.7998455897,874.9,1018.6,-14.1075986648
