-----
{
 "description": "This table gives State-wise position of National Parks and Wildlife Sanctuaries in India.", 
 "file_name": "NUMBER_AND_AREA_OF_NATIONALPARKS_AND_SANCTUARIES_IN_INDIA.xls", 
 "title": "Number And Area Of National Parks And Wildlife Sanctuaries Of India ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_AND_AREA_OF_NATIONALPARKS_AND_SANCTUARIES_IN_INDIA.xls"
}
-----
"States/UTs","National Parks Number","National Parks Area (Sq. Kms)","Wildlife Sanctuaries Number","Wildlife Sanctuaries Area (Sq. Kms)"
"Andhra Pradesh",5.0,373.24,22.0,12972.43
"Arunachal Pradesh",2.0,2290.82,11.0,9897.19
"Assam",5.0,1977.79,18.0,3909.79
"Bihar",1.0,335.65,13.0,3284.82
"Chhatisgarh",3.0,2929.5,11.0,6338.63
"Goa",1.0,107.0,6.0,754.96
"Gujarat",4.0,480.11,22.0,16902.83
"Haryana",3.0,48.25,7.0,303.92
"Himachal Pradesh",2.0,1430.0,32.0,7562.55
"Jammu & Kashmir",4.0,3930.25,15.0,14242.5
"Jharkhand",1.0,231.67,11.0,2094.39
"Karnataka",5.0,2472.18,21.0,6360.32
"Kerala",6.0,558.16,15.0,2417.23
"Madhya Pradesh",9.0,3656.36,25.0,10814.76
"Maharashtra",6.0,1273.6,35.0,15426.29
"Manipur",2.0,40.0,5.0,224.4
"Meghalaya",2.0,267.48,3.0,301.68
"Mizoram",2.0,150.0,7.0,990.75
"Nagaland",1.0,202.02,3.0,222.36
"Orissa",2.0,990.7,18.0,7959.85
"Punjab","NA",0.0,12.0,316.73
"Rajasthan",5.0,4122.33,23.0,9569.36
"Sikkim",1.0,1784.0,7.0,2177.1
"Tamil Nadu",5.0,307.84,21.0,2847.66
"Tripura",2.0,0.0,4.0,603.64
"Uttar Pradesh",1.0,490.0,23.0,5712.47
"Uttarakhand",6.0,4725.0,6.0,7138.76
"West Bengal",5.0,1693.25,15.0,2896.53
"A. & N. Islands ",9.0,1156.91,96.0,1546.3
"Chandigarh","NA",0.0,2.0,26.13
"Dadra & Nagar Haveli","NA",0.0,1.0,92.16
"Daman & Diu ","NA",0.0,1.0,2.18
"Delhi","NA",0.0,2.0,27.2
"Lakshadweep","NA",0.0,1.0,0.01
"Puducherry","NA",0.0,0.0,0.0
"Total",100.0,38024.11,514.0,155980.15
