-----
{
 "description": "This table give all India figures on Livestock and Poultry for 2003 and 2007 including Cattle, Buffaloes, Sheep, Goats, Pigs, Horses, Ponies, Mules, Donkeys, Camels, Yaks, Mithuns, etc.", 
 "file_name": "NUMBER_OF_LIVESTOCK_AND_POULTRY.xls", 
 "title": "Number of Livestock And Poultry ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_LIVESTOCK_AND_POULTRY.xls"
}
-----
" Year/State/U.T.","Cattle ('000 number)","Buffaloes ('000 number)","Sheep ('000 number)","Goats ('000 number)","Pigs ('000 number)","Horses and Ponies ('000 number)","Mules ('000 number)","Donkeys ('000 number)","Camels ('000 number)","Yaks ('000 number)","Mithuns ('000 number)","Total Live-Stock ('000 number)","Total Poultry ('000 number)"
2003.0,185181.0,97922.0,61469.0,124358.0,13519.0,751.0,176.0,650.0,632.0,65.0,278.0,485002.0,489012.0
"2007 $ ",199075.034,105343.396,71557.787,140537.377,11133.942,610.629,136.884,437.83,517.079,83.091,264.279,529699.123,648829.795
" Andhra Pradesh",11223.044,13271.714,25539.384,9626.022,438.653,25.972,"NA",49.801,"NA","NA","NA",60174.711,123980.586
" Arunachal Pradesh",503.12,3.208,19.88,292.121,355.583,5.537,"NA","NA","NA",14.251,218.931,1412.654,1348.439
" Assam",10041.269,499.912,353.799,4319.773,2000.429,11.36,"NA","NA","NA","NA","NA",17226.613,29060.249
" Bihar",12559.039,6690.418,218.235,10167.009,632.06,50.904,"NA",23.944,"NA","NA","NA",30341.824,11419.852
" Chhattisgarh",9491.197,1604.421,140.153,2767.918,413.06,0.714,"NA","NA","NA","NA","NA",14417.611,14246.012
" Goa",70.896,37.194,"NA",10.966,57.524,"NA","NA","NA","NA","NA","NA",176.715,504.544
" Gujarat",7975.724,8773.569,2001.564,4640.137,21.785,14.003,"NA",50.176,38.454,"NA","NA",23515.434,13351.93
" Haryana",1552.361,5953.228,601.379,538.32,133.521,25.834,10.6,4.838,38.608,"NA","NA",8858.689,28785.497
" Himachal Pradesh",2270.0,761.584,901.229,1240.808,2.493,13.151,18.985,7.376,"NA",1.705,"NA",5218.0,809.561
" Jammu & Kashmir",3443.115,1050.34,4127.149,2068.273,0.904,166.917,42.387,24.105,1.583,61.91,"NA",10986.699,6683.2
" Jharkhand",8781.067,1505.544,483.336,6591.592,732.479,5.353,"NA",0.808,"NA","NA","NA",18100.201,11230.958
" Karnataka",10502.52,4326.98,9558.434,6152.968,280.69,11.102,"NA",26.084,"NA","NA","NA",30859.12,42067.822
" Kerala",1740.117,58.145,0.965,1729.127,59.017,"NA","NA","NA","NA","NA","NA",3587.452,15685.51
" Madhya Pradesh",21915.438,9129.152,389.863,9013.687,192.941,27.191,3.0,20.199,4.456,"NA","NA",40695.544,7384.318
" Maharashtra",16183.527,6072.617,2909.36,10391.168,326.743,37.95,"NA",32.07,"NA","NA","NA",35953.61,64756.035
" Manipur",341.956,62.167,8.696,50.577,313.882,1.218,"NA","NA","NA","NA",10.024,788.52,2403.332
" Meghalaya",887.243,22.627,21.041,365.483,524.357,1.858,"NA","NA","NA","NA","NA",1822.609,3092.896
" Mizoram",34.929,5.832,0.974,15.71,267.361,1.39,"NA","NA","NA","NA",1.939,328.135,1239.191
" Nagaland",469.818,35.022,3.649,178.072,697.791,0.839,"NA","NA","NA","NA",33.385,1418.576,3155.947
" Orissa ",12309.973,1189.731,1818.309,7127.038,611.61,"NA","NA","NA","NA","NA","NA",23057.414,20600.339
" Punjab",1776.938,5061.554,208.133,290.031,25.664,32.591,6.082,4.935,2.183,"NA","NA",7408.111,10685.393
" Rajasthan",12119.512,11091.974,11189.855,21502.996,208.556,25.438,0.886,102.13,421.836,"NA","NA",56663.183,4945.62
" Sikkim ",134.873,"NA",2.536,91.995,35.25,"NA","NA","NA","NA",5.225,"NA",270.125,157.445
" Tamil Nadu",11188.709,2009.002,7990.587,9274.584,284.324,6.604,"NA",4.775,"NA","NA","NA",30758.592,128108.198
" Tripura",954.386,14.257,3.685,633.052,263.694,"NA","NA","NA","NA","NA","NA",1869.077,3700.949
" Uttar Pradesh",18883.308,23812.227,1187.548,14792.858,1349.787,122.389,30.86,84.327,8.959,"NA","NA",60272.263,8754.458
" Uttarakhand",2235.116,1219.518,290.411,1335.306,19.822,15.441,24.084,1.262,"NA","NA","NA",5141.011,2601.852
" West Bengal",19188.269,763.766,1577.193,15069.286,814.602,6.222,"NA","NA","NA","NA","NA",37419.468,86209.662
" A. & N. Islands",49.364,10.091,"NA",66.721,47.73,"NA","NA","NA","NA","NA","NA",173.909,978.565
" Chandigarh",6.505,19.568,"NA",0.655,"NA","NA","NA","NA","NA","NA","NA",27.596,128.683
" D. & N. Haveli",56.689,4.416,"NA",25.111,"NA","NA","NA","NA","NA","NA","NA",86.616,169.703
" Daman & Diu",3.299,1.038,"NA",2.566,"NA","NA","NA","NA","NA","NA","NA",7.083,25.731
" Delhi",91.945,278.304,5.949,20.836,19.989,0.651,"NA","NA","NA","NA","NA",418.103,2.2
" Lakshadweep",6.505,"NA","NA",75.583,"NA","NA","NA","NA","NA","NA","NA",82.088,167.118
" Puducherry",83.263,3.276,4.491,69.028,0.641,"NA","NA","NA","NA","NA","NA",161.767,387.0
