-----
{
 "description": "This data provide State-wise (2009-10 and 2010-11) and All India (2000-01 to 2010-11) details on the number of reporting mines in India such as Fuels, Metallic Minerals, Metallic and Non-Metallic Minerals.", 
 "file_name": "NUMBER_OF_REPORTING_MINES_IN_INDIA.xls", 
 "title": "Number of Reporting Mines In India ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_REPORTING_MINES_IN_INDIA.xls"
}
-----
"State/ Union Territory","All Minerals Total","Fuels Total","Fuels Coal","Fuels Lignite","Metallic Minerals Total","Metallic Minerals Bauxite","Metallic Minerals Chromite","Metallic Minerals CopperConc.","Metallic Minerals Gold","Metallic Minerals IronOre","Metallic Minerals  Lead   Conc.","Metallic Minerals ManganeseOre","Metallic Minerals Others","Non-Metallic Minerals Total","Non-Metallic Minerals Apatite","Non-Metallic Minerals Asbestos","Non-Metallic Minerals Barytes","Non-Metallic Minerals Diamond","Non-Metallic Minerals Dolomite","Non-Metallic Minerals Felspar","Non-Metallic Minerals FireClay","Non-Metallic Minerals Gypsum","Non-Metallic Minerals Kaolin","Non-Metallic Minerals Kyanite","Non-Metallic Minerals LimeStone","Non-Metallic Minerals Magnesite","Non-Metallic Minerals Mica(Crude)","Non-Metallic Minerals Phosphorite","Non-Metallic Minerals Pyrites","Non-Metallic Minerals Saltrock","Non-Metallic Minerals Silli manite","Non-Metallic Minerals Steatite","Non-Metallic Minerals Vermiculite","Non-Metallic Minerals Others"
" Andhra Pradesh",456.0,49.0,49.0,"NA",70.0,"NA","NA","NA","NA",35.0,"NA",36.0,"NA",337.0,1.0,3.0,9.0,"NA",15.0,16.0,7.0,"NA",10.0,"NA",84.0,"NA",29.0,"NA","NA","NA","NA",30.0,4.0,129.0
" Arunachal Pradesh",1.0,1.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Assam",11.0,8.0,7.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.0,"NA","NA","NA","NA","NA","NA","NA","NA",1.0
" Bihar",6.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",9.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.0,"NA","NA","NA","NA","NA","NA",1.0,"NA",3.0
" Chhattisgarh",152.0,61.0,60.0,"NA",30.0,15.0,"NA","NA","NA",10.0,"NA","NA",6.0,62.0,"NA","NA","NA","NA",23.0,"NA","NA","NA","NA","NA",33.0,"NA","NA","NA","NA","NA","NA",3.0,"NA",1.0
" Goa",75.0,"NA","NA","NA",75.0,1.0,"NA","NA","NA",71.0,"NA",4.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Gujarat ",446.0,7.0,"NA",7.0,110.0,109.0,"NA","NA","NA","NA","NA",1.0,"NA",306.0,"NA","NA","NA","NA",12.0,"NA",5.0,2.0,28.0,"NA",112.0,"NA","NA","NA","NA","NA","NA",1.0,"NA",158.0
" Haryana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Himachal Pradesh",26.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",24.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",24.0,"NA","NA","NA","NA",1.0,"NA","NA","NA","NA"
" Jammu & Kashmir",11.0,7.0,7.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.0,"NA","NA","NA","NA","NA","NA","NA",2.0,"NA","NA",2.0,"NA","NA","NA","NA","NA","NA",0.0,"NA","NA"
