"Year","Reporting area for land utilisation statistics"," Forests  "," Not available for cultivation"," Permanent pastures & other grazing lands","Land under misc. tree crops & groves"," Culturable waste","Fallow lands other than current fallows","  Current fallows"," Net area sown "," Total cropped area"," Area sown more than once"
" 2000-01 ",305195.0,69843.0,41235.0,10662.0,3445.0,13631.0,10267.0,14777.0,141336.0,185340.0,44005.0
" 2001-02 ",305127.0,69720.0,41329.0,10528.0,3453.0,13520.0,10534.0,15344.0,140700.0,188286.0,47586.0
" 2002-03 ",305357.0,69821.0,41637.0,10450.0,3443.0,13651.0,11967.0,22337.0,132051.0,174108.0,42057.0
" 2003-04 ",305566.0,69968.0,41982.0,10484.0,3383.0,13241.0,11313.0,14487.0,140708.0,189669.0,48961.0
" 2004-05 ",305587.0,69960.0,42228.0,10452.0,3364.0,13272.0,10878.0,14790.0,140642.0,191119.0,50476.0
" 2005-06 ",305445.0,69994.0,42323.0,10444.0,3391.0,13225.0,10696.0,14211.0,141162.0,192756.0,51594.0
" 2006-07 ",305650.0,70002.0,42726.0,10414.0,3364.0,13271.0,10516.0,15509.0,139848.0,192408.0,52560.0
" 2007-08 ",305610.0,70020.0,42701.0,10198.0,3413.0,13059.0,10329.0,14512.0,141377.0,195138.0,53761.0
" 2008-09 ",305586.0,70034.0,42862.0,10177.0,3356.0,12752.0,10286.0,14191.0,141929.0,195357.0,53428.0
" 2009-10 ",305611.0,70042.0,42954.0,10149.0,3351.0,12857.0,10484.0,15753.0,140022.0,192197.0,52175.0
