-----
{
 "description": "This table give State-wise (2009-10 to 2010-11) and All India (2000-01 to 2010-11) data on production of milk (Cow Milk, Buffalo Milk, Goat Milk).", 
 "file_name": "PRODUCTION_OF_MILK.xls", 
 "title": "Production of Milk ", 
 "url": "http://data.gov.in/sites/default/files/PRODUCTION_OF_MILK.xls"
}
-----
" Year/State/ Union Territory","Cow Milk 2009-10 ('000 tonne)","Cow Milk 2010-11 ('000 tonne)","  Buffalo Milk 2009-10 ('000 tonne)","  Buffalo Milk 2010-11 ('000 tonne)"," Goat Milk 2009-10 ('000 tonne)"," Goat Milk 2010-11 ('000 tonne)","Total $ 2009-10 ('000 tonne)","Total $ 2010-11 ('000 tonne)","",""," ","",""," "
" Andhra Pradesh",2828.0,3102.0,7601.0,8101.0,0.1,0.5,10429.1,11202.5,"","","","","",""
" Arunachal Pradesh",26.0,28.0,"NA","NA","NA","NA",26.0,28.0,"","","","","",""
" Assam",636.0,666.0,98.0,101.0,22.0,23.0,756.0,790.0,"","","","","",""
" Bihar",3097.0,3561.0,2807.0,2798.0,219.0,158.0,6124.0,6517.0,"","","","","",""
" Chhattisgarh",592.0,644.0,319.0,343.0,46.0,43.0,956.0,1029.0,"","","","","",""
" Goa",36.0,37.0,23.0,23.0,"NA",0.0,59.0,60.0,"","","","","",""
" Gujarat",3327.0,3572.0,5285.0,5514.0,231.0,236.0,8844.0,9321.0,"","","","","",""
" Haryana",925.0,966.0,5020.0,5239.0,61.0,63.0,6006.0,6267.0,"","","","","",""
" Himachal Pradesh",513.0,669.0,300.0,384.0,23.0,49.0,836.0,1102.0,"","","","","",""
" Jammu & Kashmir","NA",1205.0,"NA",311.0,"NA",94.0,1604.0,1609.0,"","","","","",""
" Jharkhand",766.0,842.0,621.0,647.0,76.0,65.0,1463.0,1555.0,"","","","","",""
" Karnataka",3263.0,3475.0,1506.0,1583.0,53.0,56.0,4822.0,5114.0,"","","","","",""
" Kerala",2367.0,2505.0,44.0,21.0,126.0,119.0,2537.0,2645.0,"","","","","",""
" Madhya Pradesh",2992.0,3152.0,3758.0,3935.0,417.0,427.0,7167.0,7514.0,"","","","","",""
" Maharashtra",4042.0,4297.0,3355.0,3473.0,282.0,273.0,7679.0,8044.0,"","","","","",""
" Manipur",64.0,64.0,14.0,14.0,"NA","NA",78.0,78.0,"","","","","",""
" Meghalaya",76.0,77.0,2.0,2.0,"NA","NA",78.0,79.0,"","","","","",""
" Mizoram",10.0,11.0,1.0,1.0,"NA","NA",11.0,11.0,"","","","","",""
" Nagaland",73.0,71.0,4.0,4.0,1.0,1.0,78.0,76.0,"","","","","",""
" Orissa ",1425.0,1438.0,223.0,229.0,3.0,3.0,1651.0,1671.0,"","","","","",""
" Punjab",3022.0,3067.0,6323.0,6301.0,44.0,55.0,9389.0,9423.0,"","","","","",""
" Rajasthan",2701.0,5032.0,5840.0,6611.0,1007.0,1590.0,9548.0,13234.0,"","","","","",""
" Sikkim #",46.0,43.0,0.1,0.1,"NA","NA",46.1,43.1,"","","","","",""
" Tamil Nadu",5017.0,6021.0,761.0,810.0,"NA","NA",5778.0,6831.0,"","","","","",""
" Tripura",96.0,100.0,2.0,2.0,3.0,3.0,100.0,104.0,"","","","","",""
" Uttar Pradesh",5142.0,5342.0,13902.0,14496.0,1159.0,1193.0,20203.0,21031.0,"","","","","",""
" Uttarakhand",609.0,615.0,768.0,769.0,"NA","NA",1377.0,1383.0,"","","","","",""
" West Bengal",3951.0,4109.0,215.0,222.0,135.0,140.0,4300.0,4471.0,"","","","","",""
" A. & N. Islands",17.0,18.0,5.0,5.0,2.0,2.0,24.0,25.0,"","","","","",""
" Chandigarh",14.0,14.0,32.0,32.0,"NA","NA",46.0,45.0,"","","","","",""
" D. & N. Haveli",9.0,9.0,2.0,2.0,"NA","NA",10.0,11.0,"","","","","",""
" Daman & Diu",1.0,1.0,1.0,1.0,"NA","NA",1.0,1.0,"","","","","",""
" Delhi",99.0,102.0,366.0,377.0,"NA","NA",466.0,480.0,"","","","","",""
" Lakshadweep",1.0,1.0,"NA","NA",1.0,1.0,2.0,2.0,"","","","","",""
" Puducherry",44.0,45.0,2.0,2.0,"NA","NA",46.0,47.0,"","","","","",""
