-----
{
 "description": "The data provide All India (2000-01 to 2010-11) and State-wise (2009-10 and 2010-11) figures for Mining Production of minerals and ores by selected items such as a). Fuels - Coal, Lignite, Natural Gas, Petroleum, Crude; b). Metallic Minerals - Bauxite, Chromite, Copper Concentrate, Gold, Iron Ore,...", 
 "file_name": "PRODUCTION_OF_MINERALS_AND_ORES_BY_SELECTED_ITEMS.xls", 
 "title": "Production of Minerals and Ores By Selected Items ", 
 "url": "http://data.gov.in/sites/default/files/PRODUCTION_OF_MINERALS_AND_ORES_BY_SELECTED_ITEMS.xls"
}
-----
"State/ Union Territory","All minerals Value ('000)**","  Fuels Total Value ('000) ***","  Fuels Coal  Quantity (th.tonne)","  Fuels Coal  Value ('000)","  Fuels Lignite Quantity (th.tonne)","Fuels Lignite Value ('000)","  Fuels Natural gas Quantity ","  Fuels Natural gas Value ('000)","Fuels Petroleum (crude) Quantity (th.tonne)","  Fuels Petroleum (crude) Value ('000)","Metallic Minerals Total Value ('000)*","Metallic Minerals Bauxite Quantity (th.tonne)","Metallic Minerals Bauxite Value ('000)","Metallic Minerals Chromite Quantity (tonne)","Metallic Minerals Chromite Value ('000)","Metallic Minerals Copper Conc. Quantity (th.tonne)","Metallic Minerals Copper Conc. Value ('000)","Metallic Minerals Gold Quantity (Kilogram)","Metallic Minerals Gold Value ('000)","Metallic Minerals Iron ore Quantity  (th.tonne)","Metallic Minerals Iron ore Value ('000)","Metallic Minerals Lead concentrate Quantity (tonne)","Metallic Minerals Lead concentrate Value ('000)","Metallic Minerals Manganese ore Quantity (th.tonne)","Metallic Minerals Manganese ore Value ('000)","Metallic Minerals Zinc concetrates Quantity   (Tonne)","Metallic Minerals Zinc concetrates Value ('000)","Non Metallic Minerals Total Value ('000)","Non Metallic Minerals Apatite Quantity    (Tonne)","Non Metallic Minerals Apatite Value ('000)","Non Metallic Minerals Asbestos Quantity (Tonne)","Non Metallic Minerals Asbestos Value ('000)","Non Metallic Minerals Barytes Quantity (Tonne)","Non Metallic Minerals Barytes Value ('000)","Non Metallic Minerals Diamond Quantity (carat)","Non Metallic Minerals Diamond Value ('000)","Non Metallic Minerals Dolomite Quantity (th.tonne)","Non Metallic Minerals Dolomite Value ('000)","Non Metallic Minerals Felspar Quantity   (Tonne)","Non Metallic Minerals Felspar Value ('000)","Non Metallic Minerals Fire-clay Quantity   (Tonne)","Non Metallic Minerals Fire-clay Value ('000)","Non Metallic Minerals Gypsum Quantity (th.tonne)","Non Metallic Minerals Gypsum Value ('000)","Non Metallic Minerals Kaolin(total) Quantity (Tonne)","Non Metallic Minerals Kaolin(total) Value ('000)","Non Metallic Minerals Kyanite Quantity (tonne)","Non Metallic Minerals Kyanite Value ('000)","Non Metallic Minerals Lime-stone Quantity (th.tonne)","Non Metallic Minerals Lime-stone Value ('000)","Non Metallic Minerals Magnesite Quantity (tonne)","Non Metallic Minerals Magnesite Value ('000)","Non Metallic Minerals Mica (crude) Quantity (tonne)","Non Metallic Minerals Mica (crude) Value ('000)","Non Metallic Minerals Phosphorite Quantity (tonne)","Non Metallic Minerals Phosphorite Value ('000)","Non Metallic Minerals Pyrites Quantity (tonne)","Non Metallic Minerals Pyrites Value ('000)","Non Metallic Minerals Salt (Rock) Quantity (tonne)","Non Metallic Minerals Salt (Rock) Value ('000)","Non Metallic Minerals  Sillimanite Quantity (tonne)","Non Metallic Minerals  Sillimanite Value ('000)","Non Metallic Minerals Steatite Quantity (tonne)","Non Metallic Minerals Steatite Value ('000)","Non Metallic Minerals Varmiculite Quantity (tonne)","Non Metallic Minerals Varmiculite Value ('000)","Minor* minerals Value ('000)"
" Andhra Pradesh",96675609.0,78393483.0,50429.0,67373100.0,"NA","NA",1479.0,5535077.0,304.0,5485306.0,8434219.0,"NA","NA","NA","NA","NA","NA","NA","NA",6246.0,8101303.0,"NA","NA",261.0,332916.0,"NA","NA",9847907.0,3882.0,9212.0,243.0,12268.0,2146460.0,2599224.0,"NA","NA",1577.0,317824.0,214406.0,51429.0,24540.0,5516.0,"NA","NA",108395.0,9937.0,"NA","NA",49560.0,6419110.0,"NA","NA",1057.0,39817.0,"NA","NA","NA","NA","NA","NA","NA","NA",77064.0,24389.0,10060.0,4095.0,75500935.0
" Arunachal Pradesh",3407732.0,3407732.0,251.0,894300.0,"NA","NA",40.0,149698.0,131.0,2363734.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1523.0
" Assam",99669685.0,99576148.0,1113.0,3965200.0,"NA","NA",2704.0,10119573.0,4738.0,85491375.0,93537.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",93537.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",396.0,93537.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",270986.0
" Bihar",224565.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",224565.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",567.0,203330.0,"NA","NA"," NA"," NA","NA","NA","NA","NA","NA","NA","NA","NA",2235.0,380.0,"NA","NA",1173623.0
" Chhattisgarh",97733901.0,50308300.0,109953.0,50308300.0,"NA","NA","NA","NA","NA","NA",44858054.0,1687.0,607911.0,"NA","NA","NA","NA","NA","NA",26211.0,44557248.0,"NA","NA","NA","NA","NA","NA",2567547.0,"NA","NA","NA","NA","NA","NA","NA","NA",1287.0,335580.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15160.0,2231873.0,"NA","NA","NA","NA","`","NA","NA","NA","NA","NA","NA","NA",128.0,32.0,"NA","NA",2611866.0
" Goa",55850471.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",55850471.0,31.0,3105.0,"NA","NA","NA","NA","NA","NA",38136.0,55846319.0,"NA","NA",1.0,1047.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","`","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",57250.0
" Gujarat ",128011097.0,123701097.0,"NA","NA",10526.0,7013700.0,2444.0,9146538.0,5960.0,107540859.0,694694.0,2687.0,667424.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",55.0,27270.0,"NA","NA",3615306.0,"NA","NA","NA","NA","NA","NA","NA","NA",346.0,50554.0,"NA","NA",92868.0,9829.0,0.0,15.0,1306539.0,207944.0,"NA","NA",23322.0,2864989.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2291.0,232.0,"NA","NA",7256688.0
" Haryana",1487198.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1487198.0
" Himachal Pradesh",854140.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",854140.0,"NA","NA","NA","NA",107.0,161.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8411.0,824371.0,"NA","NA","NA","NA","NA","NA","NA","NA",1836.0,4908.0,"NA","NA","NA","NA","NA","NA",251322.0
" Jammu & Kashmir",88336.0,18600.0,23.0,18600.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",69736.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",33.0,9959.0,"NA","NA","NA","NA",278.0,59777.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",250339.0
" Jharkhand",153856755.0,140529500.0,105917.0,140529500.0,"NA","NA","NA","NA","NA","NA",12379879.0,1671.0,673016.0,"NA","NA",13.0,402092.0,14.0,21251.0,22547.0,11242048.0,"NA","NA",40.0,41472.0,"NA","NA",947376.0,"NA","NA","NA","NA","NA","NA","NA","NA",422.0,379817.0,10778.0,1904.0,16145.0,1912.0,"NA","NA",106828.0,102218.0,4420.0,4862.0,1924.0,384303.0,"NA","NA"," NA"," NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",401448.0
" Karnataka",54861813.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",52896767.0,123.0,32748.0,6483.0,30856.0,"NA","NA",2070.0,3404563.0,43163.0,48811665.0,"NA","NA",301.0,611165.0,"NA","NA",1965046.0,"NA","NA","NA","NA","NA","NA","NA","NA",385.0,55044.0,3100.0,651.0,5523.0,2949.0,"NA","NA",19543.0,12015.0,"NA","NA",17959.0,1718707.0,6437.0,13591.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",179970.0
" Kerala",520461.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",520461.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",698915.0,214303.0,"NA","NA",533.0,169645.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7933.0,84370.0,"NA","NA","NA","NA",8942838.0
" Madhya Pradesh",95854027.0,84933100.0,74074.0,84933100.0,"NA","NA","NA","NA","NA","NA",6746091.0,1057.0,365097.0,"NA","NA",65.0,1926362.0,"NA","NA",1058.0,359750.0,"NA","NA",607.0,4094882.0,"NA","NA",4174836.0,"NA","NA","NA","NA","NA","NA",16891.0,116279.0,277.0,36190.0,"NA","NA",34704.0,3193.0,"NA","NA",17350.0,1209.0,"NA","NA",28967.0,3795849.0,"NA","NA","NA","NA",212168.0,122007.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",17025875.0
" Maharashtra",57625026.0,50887500.0,41005.0,50887500.0,"NA","NA","NA","NA","NA","NA",5469473.0,1985.0,628556.0,66.0,489.0,"NA","NA","NA","NA",283.0,221777.0,"NA","NA",614.0,4618651.0,"NA","NA",1268053.0,"NA","NA","NA","NA","NA","NA","NA","NA",77.0,15566.0,"NA","NA",6744.0,641.0,"NA","NA","NA","NA",1075.0,950.0,9433.0,1069248.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8640.0,6438.0,"NA","NA","NA","NA",3173095.0
" Manipur",2866.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2866.0
" Meghalaya",21302775.0,20545600.0,5767.0,20545600.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",757175.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3249.0,757175.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",72075.0
" Mizoram",1711.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1711.0
" Nagaland",1774.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1774.0
" Odisha",170779940.0,58751300.0,106409.0,58751300.0,"NA","NA","NA","NA","NA","NA",110303976.0,4880.0,1909188.0,3419031.0,10422275.0,"NA","NA","NA","NA",80896.0,95807348.0,"NA","NA",605.0,2165165.0,"NA","NA",1724664.0,"NA","NA","NA","NA","NA","NA","NA","NA",1316.0,450677.0,"NA","NA",51312.0,16015.0,"NA","NA",4558.0,2165.0,"NA","NA",2937.0,843098.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",14117.0,164182.0," NA"," NA","NA","NA",856767.0
" Punjab",607612.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",607612.0
" Rajasthan",41511159.0,9439409.0,"NA","NA",1207.0,479400.0,239.0,894445.0,447.0,8065564.0,19703484.0,"NA","NA","NA","NA",47.0,1481008.0,"NA","NA",13.0,2594.0,133921.0,1765874.0,8.0,12665.0,1279880.0,13058419.0,12368266.0,"NA","NA","NA","NA",5985.0,2457.0,"NA","NA",225.0,30966.0,265212.0,43083.0,247473.0,40580.0,3337.0,994657.0,436773.0,83958.0,"NA","NA",47180.0,6971469.0,"NA","NA",4.0,123.0,1393321.0,2981088.0,"NA","NA","NA","NA","NA","NA",622389.0,400708.0,"NA","NA",45861749.0
