-----
{
 "description": "This data is based upon 56th Annual Report on the Working and Administration of the Companies Act, 1956 for year ended 31st March, 2012. Report has been published by The Ministry of Corporate Affairs, Government of India.", 
 "file_name": "Paid-up_Capital_of_Companies_Ltd_by_Shares_As_On_31st_March_12_State_Wise_1.xls", 
 "title": "Paid-up Capital of Companies Limited By Shares As On 31st March 2012 - State-wise Distribution ", 
 "url": "http://data.gov.in/sites/default/files/Paid-up_Capital_of_Companies_Ltd_by_Shares_As_On_31st_March_12_State_Wise_1.xls"
}
-----
"STATES/UT","Public Limited - No. of Companies","Public Limited - Paid up Capital*","Private Limited - No. of Companies","Private Limited - Paid up Capital*","Total No. of Companies","Total Paid up Capital*"
"ANDHRA PRADESH",3472.0,79677.72,33174.0,38583.55,36646.0,118261.27
"ARUNACHAL PRADESH",15.0,60.74,113.0,77.69,128.0,138.43
"ASSAM",482.0,3906.76,3624.0,2246.97,4106.0,6153.73
"BIHAR",394.0,888.34,5706.0,1226.54,6100.0,2114.88
"CHHATISGARH",366.0,13576.49,3877.0,2498.62,4243.0,16075.11
"GOA",154.0,1540.99,3421.0,1959.33,3575.0,3500.32
"GUJARAT",3530.0,97342.51,33457.0,27344.82,36987.0,124687.33
"HARYANA",776.0,36993.96,9093.0,16587.13,9869.0,53581.09
"HIMACHAL PRADESH",195.0,9309.4,1763.0,2251.87,1958.0,11561.27
"JAMMU & KASHMIR",81.0,286.4,1132.0,329.59,1213.0,615.99
"JHARKHAND",183.0,6732.9,3471.0,3257.12,3654.0,9990.02
"KARNATAKA",1764.0,59001.72,30918.0,38207.74,32682.0,97209.46
"KERALA",1086.0,7399.53,14044.0,7475.89,15130.0,14875.42
"MADHYA PRADESH",1158.0,24327.49,12008.0,6008.13,13166.0,30335.62
"MAHARASHTRA",10163.0,216272.45,126398.0,141738.44,136561.0,358010.89
"MANIPUR",8.0,162.87,59.0,36.01,67.0,198.88
"MEGHALAYA",105.0,3858.67,360.0,442.11,465.0,4300.78
"MIZORAM",4.0,26.76,12.0,30.03,16.0,56.79
"NAGALAND",12.0,77.16,86.0,27.28,98.0,104.44
"ORISSA",747.0,10770.67,6897.0,3337.51,7644.0,14108.18
"PUNJAB",1513.0,16495.6,9802.0,4289.02,11315.0,20784.62
"RAJASTHAN",1306.0,21730.09,22709.0,5170.3,24015.0,26900.39
"TAMIL NADU",4424.0,92738.77,40720.0,58145.12,45144.0,150883.89
"TRIPURA",19.0,737.31,85.0,103.21,104.0,840.52
"UTTAR PRADESH",2107.0,49183.98,22255.0,7281.5,24362.0,56465.48
"UTTRAKHAND",158.0,5061.4,1774.0,865.46,1932.0,5926.86
"WEST BENGAL",7664.0,63489.57,97171.0,43531.96,104835.0,107021.53
"DELHI",10670.0,183084.05,131357.0,142365.4,142027.0,325449.45
"A & N ISLAND",2.0,4.59,99.0,23.65,101.0,28.24
"CHANDIGARH",644.0,3255.47,4701.0,1684.02,5345.0,4939.49
"DAMAN & DIU",41.0,390.31,109.0,551.65,150.0,941.96
"D & N HAVELI",53.0,2263.7,194.0,172.72,247.0,2436.42
"LAKSHDWEEP",0.0,0.0,9.0,6.58,9.0,6.58
"PUDUCHERRY",56.0,272.46,906.0,1850.77,962.0,2123.23
"TOTAL",53352.0,1010920.83,621504.0,559707.73,674856.0,1570628.56
