-----
{
 "description": "This data is based upon 56th Annual Report on the Working and Administration of the Companies Act, 1956 for year ended 31st March, 2012. Report has been published by The Ministry of Corporate Affairs, Government of India.", 
 "file_name": "Paid-up_Capital_of_Govt_Companies_Ltd_by_Shares_As_On_31st_March_12-Ind_Activity_Wise.xls", 
 "title": "Paid-up Capital of Government Companies Limited by Shares As On 31st March 2012 - Distribution By Industrial Activity ", 
 "url": "http://data.gov.in/sites/default/files/Paid-up_Capital_of_Govt_Companies_Ltd_by_Shares_As_On_31st_March_12-Ind_Activity_Wise.xls"
}
-----
"Sl. No.","Industrial Classification","Public Limited - No. of Companies ","Public Limited - Paid up Capital*","Private Limited - No. of Companies","Private Limited - Paid up Capital*","Total No. of Companies","Total Paid up Capital*"
1.0,"Agriculture, Foresty and Fishing ",54.0,346.62,25.0,165.27,79.0,511.89
2.0,"Mining & Quarrying",42.0,9316.38,26.0,3096.95,68.0,12413.33
3.0,"Manufacturing",216.0,65702.1,66.0,1605.84,282.0,67307.94
4.0,"Electricity, Gas & Water Companies",146.0,145982.93,12.0,1520.31,158.0,147503.24
5.0,"Construction.",63.0,39741.32,21.0,191.4,84.0,39932.72
6.0,"Trade, Hotels and Restaurants",64.0,758.69,25.0,97.82,89.0,856.51
7.0,"Transport, Storage and Communications",60.0,16312.2,11.0,317.08,71.0,16629.28
8.0,"Finance, Insurance, Real Estate & Business Services",118.0,22248.7,33.0,610.45,151.0,22859.15
9.0,"Community, Personal & Social Services",81.0,22070.05,32.0,482.98,113.0,22553.03
10.0,"Unclassified",56.0,34040.4,19.0,1731.92,75.0,35772.32
"TOTAL","TOTAL",900.0,356519.39,270.0,9820.02,1170.0,366339.41
