-----
{
 "description": "The report is prepared on the basis of information collected from reporting State Road Transport Undertakings (SRTUs) for the financial year 2011-12.This table contains the physical parameters of reported SRTUs in India in term of Average Fleet Held and Average Fleet Operated, Average Age of...", 
 "file_name": "Physical_Performance_of_SRTUs_for_the_Year_2011-12.xls", 
 "title": "Physical Performance of SRTUs for the year 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/Physical_Performance_of_SRTUs_for_the_Year_2011-12.xls"
}
-----
"Abbreviations Used ","Full names of Reporting SRTUs"
"Ahmedabad MTS","Ahmedabad Municipal Transport Service"
"Andhra Pradesh SRTC","Andhra Pradesh State Road Transport Corporation"
"Assam SRTC","Assam State Road Transport Corporation"
"B.E.S.T. Undertaking","The Brihan Mumbai Electric Supply & Transport Undertaking"
"Bangalore Metropolitan TC","Bangalore Metropolitan Transport Corporation"
"Bihar SRTC","Bihar  State Road Transport Corporation"
"Calcutta STC","Calcutta State Transport Corporation"
"Chandigarh TU","Chandigarh Transport Undertaking"
"Delhi TC","Delhi Transport Corporation"
"Gujarat SRTC","Gujarat  State Road Transport Corporation"
"Haryana ST","Haryana State Transport "
"Himachal RTC","Himachal Road Transport Corporation"
"J & K SRTC","Jammu and Kashmir State Road Transport Corporation"
"Kadamba TC Ltd.                                 ","Kadamba Transport Corporation Ltd."
"Karnataka SRTC","Karnataka  State Road Transport Corporation"
"Kerala SRTC","Kerala State Road Transport Corporation"
"Kolhapur MTU","Kolhapur Municipal Transport Undertaking"
"Madhya Pradesh SRTC","Madhya Pradesh  State Road Transport Corporation"
"Maharashtra SRTC","Maharashtra  State Road Transport Corporation"
"Manipur SRTC","Manipur State Road Transport Corporation"
"Meghalaya STC","Meghalaya State Transport Corporation"
"Metro.TC (Chennai) Ltd.","Metro. Transport Corporation (Chennai) Limited."
"Mizoram ST","Mizoram State Transport "
"Navi Mumbai  MT","Navi Mumbai  Municipal Transport "
"North Bengal STC","North Bengal State Transport Corporation"
"North Eastern Karnataka RTC","North Eastern Karnataka Road Transport Corporation"
"North Western Karnataka RTC","North Western Karnataka Road Transport Corporation"
"Pepsu RTC","Pepsu  Road Transport Corporation"
"Pimpri Chinchwad MT","Pimpri Chinchwad Municipal Transport"
"PUNBUS, Chandigarh","Punjab State Bus Stand Management Company, Chandigarh "
"Punjab Roadways","Punjab Roadways"
"Pune Mahamandal","Pune Mahamandal Parivahan Mahamandal Ltd."
"Rajasthan SRTC","Rajasthan  State Road Transport Corporation"
"Sholapur MTU","Sholapur Municipal Transport Undertakings"
"South Bengal STC","South Bengal State Transport Corporation"
"State Exp.TC TN Ltd.","State Express Transport Corporation Tamil Nadu Limited"
"Thane MTU","Thane Municipal Transport Undertaking"
"TN STC (Coimbatore)Ltd.","Tamil Nadu State Transport Corporation (Coimbatore) Limited"
"TN STC (Kumbakonam)Ltd.","Tamil Nadu State Transport Corporation (Kumbakonam) Limited "
"TN STC (Madurai)Ltd.","Tamil Nadu State Transport Corporation (Madurai) Limited"
"TN STC (Salem)Ltd.","Tamil Nadu State Transport Corporation (Salem) Limited"
"TN STC (Villupuram) Ltd.","Tamil Nadu State Transport Corporation (Villupuram) Limited"
"Tripura RTC","Tripura Road Transport Corporation"
"Uttar Pradesh SRTC","Uttar Pradesh State Road Transport Corporation"
