-----
{
 "description": "This table gives All India and State-wise number of Post Graduate Institutes and Admission Capacity under Ayush Systems .", 
 "file_name": "Post_Graduate_Institutes_And_Admission_Capacity_Under_Ayush_Systems_As_On_1stApril.xls", 
 "title": "Post Graduate Institutes And Admission Capacity under Ayush Systems As On 1st April ", 
 "url": "http://data.gov.in/sites/default/files/Post_Graduate_Institutes_And_Admission_Capacity_Under_Ayush_Systems_As_On_1stApril.xls"
}
-----
"Year","States/UTs  ","Ayurveda - Number","Ayurveda - Capacity","Unani - Number","Unani - Capacity","Siddha - Number","Siddha - Capacity","Homoeopathy - Number","Homoeopathy - Capacity","Total - Number","Total - Capacity"
2000.0,2000.0,48.0,538.0,3.0,52.0,2.0,83.0,15.0,165.0,68.0,838.0
2001.0,2001.0,53.0,651.0,5.0,54.0,2.0,76.0,17.0,210.0,77.0,991.0
2002.0,2002.0,56.0,801.0,6.0,72.0,2.0,90.0,24.0,543.0,88.0,1506.0
2003.0,2003.0,59.0,900.0,8.0,76.0,2.0,90.0,27.0,822.0,96.0,1888.0
2004.0,2004.0,59.0,900.0,8.0,76.0,2.0,90.0,27.0,822.0,96.0,1888.0
2005.0,2005.0,57.0,905.0,8.0,73.0,3.0,110.0,31.0,1040.0,99.0,2128.0
2006.0,2006.0,61.0,977.0,9.0,85.0,3.0,110.0,33.0,1070.0,106.0,2242.0
2007.0,2007.0,62.0,991.0,7.0,67.0,3.0,110.0,33.0,1084.0,105.0,2252.0
2008.0,2008.0,64.0,1052.0,7.0,79.0,3.0,110.0,36.0,1161.0,110.0,2402.0
2009.0,2009.0,63.0,1050.0,6.0,67.0,3.0,126.0,33.0,1079.0,105.0,2322.0
2010.0,2010.0,64.0,1110.0,6.0,75.0,3.0,126.0,33.0,1073.0,106.0,2384.0
2010.0,"Andhra Pradesh",2.0,43.0,1.0,13.0,"NA","NA",1.0,18.0,4.0,74.0
2010.0,"Assam",1.0,12.0,"NA","NA","NA","NA","NA","NA",1.0,12.0
2010.0,"Bihar",1.0,8.0,"NA","NA","NA","NA",1.0,87.0,2.0,95.0
2010.0,"Chhattisgarh",1.0,17.0,"NA","NA","NA","NA","NA","NA",1.0,17.0
2010.0,"Gujarat",2.0,61.0,"NA","NA","NA","NA",3.0,90.0,5.0,151.0
2010.0,"Himachal Pradesh",1.0,24.0,"NA","NA","NA","NA","NA","NA",1.0,24.0
2010.0,"Jammu and Kashmir",1.0,15.0,"NA","NA","NA","NA","NA","NA",1.0,15.0
2010.0,"Karnataka",16.0,255.0,1.0,30.0,"NA","NA",5.0,110.0,22.0,395.0
2010.0,"Kerala",4.0,82.0,"NA","NA","NA","NA",2.0,36.0,6.0,118.0
2010.0,"Madhya Pradesh",3.0,18.0,"NA","NA","NA","NA",1.0,6.0,4.0,24.0
2010.0,"Maharashtra",23.0,389.0,1.0,12.0,"NA","NA",11.0,434.0,35.0,835.0
2010.0,"Orissa",1.0,15.0,"NA","NA","NA","NA",1.0,15.0,2.0,30.0
2010.0,"Punjab",1.0,8.0,"NA","NA","NA","NA",1.0,45.0,2.0,53.0
2010.0,"Rajasthan",2.0,84.0,"NA","NA","NA","NA",1.0,36.0,3.0,120.0
2010.0,"Tamil Nadu","","","NA","NA",3.0,126.0,1.0,30.0,4.0,156.0
2010.0,"Uttar Pradesh",2.0,59.0,2.0,12.0,"NA","NA",2.0,132.0,6.0,203.0
2010.0,"Uttarakhand",1.0,14.0,"NA","NA","NA","NA","NA","NA",1.0,14.0
2010.0,"West Bengal",1.0,"NA","NA","NA","NA","NA",2.0,30.0,3.0,30.0
2010.0,"Delhi",1.0,6.0,1.0,8.0,"NA","NA",1.0,4.0,3.0,18.0
