-----
{
 "description": "This table presents data on State-wise (2009 onwards), All India (2001 onwards) actual forest cover, recorded forest area and legal status. The legal status has been categorized as \"Reserved\", \"protected\" and \"Unclassed\". Reserved forest is one which is permanently dedicated either to the...", 
 "file_name": "STATEWISE_RECORDED_FOREST_AREA_OF_THE_COUNTRY_1.xls", 
 "title": "State-Wise Recorded Forest Area Of The Country ", 
 "url": "http://data.gov.in/sites/default/files/STATEWISE_RECORDED_FOREST_AREA_OF_THE_COUNTRY_1.xls"
}
-----
"Year/State/   Union Territory","Total Forest Area 2009","Total Forest Area 2011","Reserved Forest 2009","Reserved Forest 2011","Protected Forest 2009","Protected Forest 2011","Unclassified Forest 2009","Unclassified Forest 2011"
"Andhra Pradesh",63814.0,63814.0,61210.0,50479.0,1967.0,12365.0,637.0,970.0
"Arunachal Pradesh",51540.0,51540.0,10546.0,10546.0,9528.0,9528.0,31466.0,31466.0
"Assam",26832.0,26832.0,17864.0,17864.0,"NA",0.0,8968.0,8968.0
"Bihar",6473.0,6473.0,693.0,693.0,5779.0,5779.0,1.0,1.0
"Chhattisgarh",59772.0,59772.0,25782.0,25782.0,24036.0,24036.0,9954.0,9954.0
"Delhi",85.0,85.0,78.0,78.0,7.0,7.0,"NA",0.0
"Goa ",1224.0,1224.0,253.0,253.0,845.0,845.0,126.0,126.0
"Gujarat",18927.0,18927.0,14122.0,14122.0,479.0,479.0,4326.0,4326.0
"Haryana",1559.0,1559.0,249.0,249.0,1158.0,1158.0,152.0,152.0
"Himachal Pradesh",37033.0,37033.0,1898.0,1898.0,33060.0,33130.0,2075.0,2005.0
"Jammu & Kashmir",20230.0,20230.0,17643.0,17643.0,2551.0,2551.0,36.0,36.0
"Jharkhand",23605.0,23605.0,4387.0,4387.0,19185.0,19185.0,33.0,33.0
"Karnataka",38284.0,38284.0,28690.0,28690.0,3931.0,3931.0,5663.0,5663.0
"Kerala",11265.0,11265.0,11123.0,11123.0,142.0,142.0,"NA",0.0
"Madhya Pradesh",94689.0,94689.0,61886.0,61886.0,31098.0,31098.0,1705.0,1705.0
"Maharashtra",61939.0,61939.0,49226.0,49226.0,8195.0,8195.0,4518.0,4518.0
"Manipur",17418.0,17418.0,1467.0,1467.0,4171.0,4171.0,11780.0,11780.0
"Meghalaya ",9496.0,9496.0,1113.0,1113.0,12.0,12.0,8371.0,8371.0
"Mizoram",16717.0,16717.0,7909.0,7909.0,3568.0,3568.0,5240.0,5240.0
"Nagaland",9222.0,9222.0,86.0,86.0,508.0,508.0,8628.0,8628.0
"Orissa",58136.0,58136.0,26329.0,26329.0,15525.0,15525.0,16282.0,16282.0
"Punjab",3058.0,3084.0,44.0,44.0,1153.0,1137.0,1861.0,1903.0
"Rajasthan",32639.0,32639.0,12454.0,12454.0,17416.0,17416.0,2769.0,2769.0
"Sikkim",5841.0,5841.0,5452.0,5452.0,389.0,389.0,"NA",0.0
"Tamil Nadu",22877.0,22877.0,19388.0,19388.0,2183.0,2183.0,1306.0,1306.0
"Tripura",6294.0,6294.0,4175.0,4175.0,2.0,2.0,2117.0,2117.0
"Uttar Pradesh",16583.0,16583.0,11660.0,11660.0,1420.0,1420.0,3503.0,3503.0
"Uttarakhand",34651.0,34651.0,24638.0,24643.0,9882.0,9885.0,131.0,123.0
"West Bengal",11879.0,11879.0,7054.0,7054.0,3772.0,3772.0,1053.0,1053.0
"A.& N. Islands",7171.0,7171.0,2929.0,5613.0,4242.0,1558.0,"NA",0.0
"Chandigarh",34.0,34.0,31.0,31.0,"NA",0.0,3.0,3.0
"D.& N. Haveli",204.0,204.0,199.0,199.0,5.0,5.0,"NA",0.0
"Daman & Diu ",8.0,8.0,"NA",0.24,8.0,0.0,"NA",8.03
"Lakshadweep ","NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0
"Puducherry",13.0,13.0,4.0,0.0,2.0,2.0,7.0,11.0
