-----
{
 "description": "This data provides state-wise number of minority concentrated districts and minority concentrated blocks all over India as on 31st March 2013.", 
 "file_name": "STATE_WISE_NO_OF_MINORITY_DISTRICTS_AND_BLOCKS.xls", 
 "title": "State-wise Number of Minority Concentrated Districts And Minority Concentrated Blocks As On 31st March 2013 ", 
 "url": "http://data.gov.in/sites/default/files/STATE_WISE_NO_OF_MINORITY_DISTRICTS_AND_BLOCKS.xls"
}
-----
"S.No.","State Name","District Name","Block Name"
1.0,"ANDHRA PRADESH","CHITTOOR(10)","KALIKIRI  (32)"
2.0,"ANDHRA PRADESH","GUNTUR(07)","PHIRANGIPURAM(24)"
3.0,"ANDHRA PRADESH","KURNOOL(13)","ATMAKUR (11)"
4.0,"ANDHRA PRADESH","KURNOOL(13)","CHAGALAMARRI (39)"
5.0,"ANDHRA PRADESH","KURNOOL(13)","NANDIKOTKUR (08)"
6.0,"ANDHRA PRADESH","KURNOOL(13)","SIRVEL (36)"
7.0,"ANDHRA PRADESH","MEDAK(17)","KOHEER  (31)"
8.0,"ANDHRA PRADESH","MEDAK(17)","NYALKAL (28)"
9.0,"ANDHRA PRADESH","MEDAK(17)","ZAHEERABAD (30)"
10.0,"ANDHRA PRADESH","NELLORE(09)","UDAYAGIRI  (10)"
11.0,"ANDHRA PRADESH","NIZAMABAD(18)","RENJAL(01)"
12.0,"ANDHRA PRADESH","NIZAMABAD(18)","YEDPALLY    (13)"
13.0,"ARUNACHAL PRADESH","CHANGLANG","BORDUMUSA"
14.0,"ARUNACHAL PRADESH","CHANGLANG","KHIMIYANG"
15.0,"ARUNACHAL PRADESH","CHANGLANG","NAMPONG"
16.0,"ARUNACHAL PRADESH","EAST KAMENG","PAKKE KESSANG"
17.0,"ARUNACHAL PRADESH","EAST KAMENG","SEPPA"
18.0,"ARUNACHAL PRADESH","EAST SIANG","RAMLE-BANGO"
19.0,"ARUNACHAL PRADESH","KURUNG KUMEY","CHAMBANG CD BLOCK"
20.0,"ARUNACHAL PRADESH","KURUNG KUMEY","PALIN"
21.0,"ARUNACHAL PRADESH","LOHIT","NAMSAI-CHONGKHAM"
22.0,"ARUNACHAL PRADESH","PAPUM PARE (ITANAGAR)","KIMIN-DOIMUKH"
23.0,"ARUNACHAL PRADESH","PAPUM PARE (ITANAGAR)","SAGALEE"
24.0,"ARUNACHAL PRADESH","TAWANG","LUMLA-ZEMITHANG"
25.0,"ARUNACHAL PRADESH","TAWANG","MUKTO"
26.0,"ARUNACHAL PRADESH","TAWANG","TAWANG"
27.0,"ARUNACHAL PRADESH","UPPER SIANG","TUTING"
28.0,"ARUNACHAL PRADESH","WEST KAMENG","DIRANG"
29.0,"ARUNACHAL PRADESH","WEST KAMENG","KALAKTANG"
30.0,"ARUNACHAL PRADESH","WEST KAMENG","NAFRA"
31.0,"ARUNACHAL PRADESH","WEST SIANG","BASAR"
32.0,"ARUNACHAL PRADESH","WEST SIANG","GENSI"
33.0,"ARUNACHAL PRADESH","WEST SIANG","KAYING-PAYUM"
34.0,"ARUNACHAL PRADESH","WEST SIANG","MECHUKHA"
35.0,"ASSAM","BARPETA","BARPETA"
36.0,"ASSAM","BARPETA","BHAWANIPUR"
37.0,"ASSAM","BARPETA","CHAK-CHAKA"
38.0,"ASSAM","BARPETA","CHENGA"
39.0,"ASSAM","BARPETA","GOBARDHANA"
40.0,"ASSAM","BARPETA","GUMAFULBARI"
41.0,"ASSAM","BARPETA","MANDIA"
42.0,"ASSAM","BARPETA","PAKABETBARI"
43.0,"ASSAM","BARPETA","RUPSI PT."
44.0,"ASSAM","BARPETA","SARUKHETRI"
45.0,"ASSAM","BONGAIGAON","BAITAMARI"
46.0,"ASSAM","BONGAIGAON","MANIKPUR"
47.0,"ASSAM","BONGAIGAON","SIDLI-CHIRANG PT."
48.0,"ASSAM","BONGAIGAON","SRIJANGRAM"
49.0,"ASSAM","BONGAIGAON","TAPATARI"
50.0,"ASSAM","CACHAR","BAR-KHOLAA"
51.0,"ASSAM","CACHAR","BASKANDI"
52.0,"ASSAM","CACHAR","BINNAKANI PT."
53.0,"ASSAM","CACHAR","KALAIN"
54.0,"ASSAM","CACHAR","KATIGORAH"
55.0,"ASSAM","CACHAR","LAKHIPUR"
56.0,"ASSAM","CACHAR","NARSHINGPUR"
57.0,"ASSAM","CACHAR","PALANGHAT"
58.0,"ASSAM","CACHAR","SAL-CHAPRA"
59.0,"ASSAM","CACHAR","SILCHAR"
