-----
{
 "description": "This table consists of State-wise number of Retail outlets, LDO/SKO dealers and LPG distributors as 01.04.2012 in India.", 
 "file_name": "State-wise_Number_of_Retail_Outlets_LDO_or_SKO_As_on_1stApril_2012.xls", 
 "title": "State-wise Number of Retail Outlets, LDO/SKO, Dealers and LPG Distributors as on April 2012 ", 
 "url": "http://data.gov.in/sites/default/files/State-wise_Number_of_Retail_Outlets_LDO_or_SKO_As_on_1stApril_2012.xls"
}
-----
"State / UT","Retail Outlets","LDO/SKO Dealers","LPG Distributors"
"Andhra Pradesh",3794.0,603.0,1184.0
"Arunachal Pradesh",49.0,33.0,32.0
"Assam",589.0,361.0,284.0
"Bihar",1871.0,373.0,516.0
"Chhattisgarh",731.0,109.0,192.0
"Delhi",408.0,116.0,316.0
"Goa",105.0,21.0,53.0
"Gujarat",2064.0,495.0,570.0
"Haryana",1884.0,148.0,303.0
"Himachal Pradesh",351.0,26.0,133.0
"Jammu & Kashmir",422.0,47.0,165.0
"Jharkhand",857.0,86.0,213.0
"Karnataka",2893.0,325.0,570.0
"Kerala",1763.0,242.0,422.0
"Madhya Pradesh",2147.0,279.0,658.0
"Maharashtra",3837.0,776.0,1241.0
"Manipur",58.0,36.0,39.0
"Meghalaya",134.0,35.0,36.0
"Mizoram",26.0,19.0,33.0
"Nagaland",52.0,19.0,33.0
"Orissa",1152.0,179.0,262.0
"Punjab",2934.0,244.0,469.0
"Rajasthan",2720.0,253.0,635.0
"Sikkim",34.0,12.0,8.0
"Tamil Nadu",3694.0,465.0,817.0
"Tripura",45.0,40.0,35.0
"Uttar Pradesh",4937.0,695.0,1453.0
"Uttarakhand",439.0,72.0,181.0
"West Bengal",1925.0,469.0,580.0
"Andaman & Nicobar",9.0,1.0,5.0
"Chandigarh",41.0,12.0,27.0
"Dadra & Nagar Haveli",16.0,2.0,2.0
"Daman & Diu",21.0,5.0,2.0
"Lakshadweep",0.0,0.0,1.0
"Pondicherry",136.0,8.0,19.0
"Grand Total",42138.0,6606.0,11489.0
