"S.No.","State  or UT","Ayurveda - Male","Ayurveda-Female","Unani -Male","Unani -Female","Siddha -Male","Siddha -Female"," Naturopathy -Male"," Naturopathy -Female","Homoeopathy -Male","Homoeopathy -Female"
1.0," Andhra Pradesh ",9836.0,1559.0,3103.0,1672.0,0.0,0.0,185.0,168.0,3450.0,1986.0
2.0," Arunachal Pradesh  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,70.0
3.0," Assam  ",497.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,"NA","NA"
4.0," Bihar ",31706.0,1019.0,4152.0,261.0,0.0,0.0,0.0,0.0,29121.0,854.0
5.0," Chhattisgarh  ",1544.0,644.0,70.0,33.0,0.0,0.0,24.0,49.0,690.0,497.0
6.0," Delhi  ",2308.0,1163.0,1600.0,413.0,0.0,0.0,0.0,0.0,1616.0,2433.0
7.0," Goa  ",168.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,374.0
8.0," Gujarat  ",23493.0,5749.0,421.0,15.0,0.0,0.0,0.0,0.0,8851.0,4734.0
9.0," Haryana  ",17189.0,3602.0,2144.0,75.0,0.0,0.0,0.0,0.0,4746.0,571.0
10.0," Himachal Pradesh  ",2730.0,749.0,4.0,0.0,0.0,0.0,0.0,0.0,1007.0,226.0
11.0," Jammu and Kashmir  ",1919.0,523.0,1808.0,489.0,0.0,0.0,0.0,0.0,194.0,71.0
12.0," Jharkhand",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0," Karnataka  ",16248.0,10571.0,716.0,710.0,0.0,4.0,169.0,206.0,4119.0,3422.0
14.0," Kerala  ",12967.0,5791.0,79.0,10.0,1369.0,196.0,54.0,55.0,4621.0,6021.0
15.0," Madhya Pradesh  ",39127.0,4651.0,920.0,305.0,0.0,0.0,7.0,7.0,10595.0,2965.0
16.0," Maharashtra  ","NA","NA","NA","NA",0.0,0.0,0.0,0.0,30994.0,22165.0
17.0,"Manipur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0," Meghalaya ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,108.0
19.0,"Mizoram",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,"Nagaland",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.0,329.0
21.0," Orissa  ","NA","NA","NA","NA",0.0,0.0,0.0,0.0,3009.0,826.0
22.0," Punjab  ",3383.0,2221.0,155.0,2.0,0.0,0.0,0.0,0.0,2498.0,1621.0
23.0," Rajasthan  ","NA","NA","NA","NA",0.0,0.0,0.0,0.0,"NA","NA"
24.0," Sikkim",4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
25.0," Tamil Nadu  ",1700.0,2407.0,584.0,516.0,3745.0,2298.0,225.0,359.0,15969.0,3419.0
26.0," Tripura  ",75.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,22.0
27.0," Uttar Pradesh  ",38658.0,2204.0,10622.0,1549.0,0.0,0.0,0.0,0.0,27680.0,3313.0
28.0," Uttarakhand  ",1182.0,516.0,65.0,12.0,0.0,0.0,0.0,0.0,202.0,102.0
29.0," West Bengal  ","NA","NA","NA","NA",0.0,0.0,0.0,0.0,8950.0,443.0
30.0,"A and N Islands",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0," Chandigarh ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,96.0
32.0,"D and N Haveli",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,"Daman and Diu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,"Lakshdweep",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,"Puducherry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
