"STATES / UT","Small Hydro Power - 31.03.2010 (MW)","Small Hydro Power - 31.03.2011 (MW)","Wind Power - 31.03.2010 (MW)","Wind Power - 31.03.2011 (MW)","Biomass Power - 31.03.2010 (MW)","Biomass Power - 31.03.2011 (MW)","Waste to Energy - 31.03.2010 (MW)","Waste to Energy - 31.03.2011 (MW)","Solar Power - 31.03.2010 (MWp)","Solar Power- 31.03.2011 (MWp)","Total Capacity 31.03.2010 ","Total Capacity 31.03.2011"
"Andhra Pradesh",186.83,191.43,136.1,191.5,363.25,363.25,35.66,43.16,0.1,2.1,721.94,791.44
"Arunachal Pradesh",73.42,78.84,"NA","NA","NA","NA","NA","NA",0.025,0.025,73.445,78.865
"Assam",27.11,27.11,"NA","NA","NA","NA","NA","NA","NA","NA",27.11,27.11
"Bihar ",54.6,59.8,"NA","NA","NA",9.5,"NA","NA","NA","NA",54.6,69.3
"Chhatisgarh",19.05,19.05,"NA","NA",199.9,231.9,"NA","NA","NA","NA",218.95,250.95
"Goa",0.05,0.05,"NA","NA","NA","NA","NA","NA","NA","NA",0.05,0.05
"Gujarat",12.6,15.6,1863.63,2176.43,0.5,0.5,"NA","NA","NA",5.0,1876.73,2197.53
"Haryana",70.1,70.1,"NA","NA",7.8,35.8,"NA","NA","NA","NA",77.9,105.9
"Himachal Pradesh",330.315,393.465,"NA","NA","NA","NA","NA","NA","NA","NA",330.315,393.465
"Jammu & Kashmir",129.33,129.33,"NA","NA","NA","NA","NA","NA","NA","NA",129.33,129.33
"Jharkhand",4.05,4.05,"NA","NA","NA","NA","NA","NA","NA","NA",4.05,4.05
"Karnataka",640.45,783.35,1472.8,1726.85,336.18,365.18,1.0,1.0,6.0,6.0,2456.43,2882.38
"Kerala",133.87,136.87,27.75,35.0,"NA","NA","NA","NA",0.025,0.025,161.645,171.895
"Madhya Pradesh ",71.16,86.16,229.4,275.9,1.0,1.0,2.7,2.7,0.1,0.1,304.36,365.86
"Maharashtra",245.325,275.125,2077.75,2316.75,218.5,403.0,5.7,5.72,"NA",4.0,2547.275,3004.595
"Manipur",5.45,5.45,"NA","NA","NA","NA","NA","NA","NA","NA",5.45,5.45
"Meghalaya",31.03,31.03,"NA","NA","NA","NA","NA","NA","NA","NA",31.03,31.03
"Mizoram",36.47,36.47,"NA","NA","NA","NA","NA","NA","NA","NA",36.47,36.47
"Nagaland",28.67,28.67,"NA","NA","NA","NA","NA","NA","NA","NA",28.67,28.67
"Orissa",64.3,64.3,"NA","NA","NA","NA","NA","NA","NA","NA",64.3,64.3
"Punjab",132.55,154.5,"NA","NA",62.5,74.5,9.25,9.25,1.325,2.325,205.625,240.575
"Rajasthan",23.85,23.85,1088.3,1525.0,31.3,73.3,"NA","NA",0.15,5.15,1143.6,1627.3
"Sikkim",47.11,52.11,"NA","NA","NA","NA","NA","NA","NA","NA",47.11,52.11
"Tamil Nadu",90.05,96.55,4906.72,5904.12,395.7,488.2,5.65,5.65,0.05,5.05,5398.17,6499.57
"Tripura",16.01,16.01,"NA","NA","NA","NA","NA","NA","NA","NA",16.01,16.01
"Uttar Pradesh",25.1,25.1,"NA","NA",567.0,592.5,5.0,5.0,0.375,0.375,597.475,622.975
"Uttarakhand",132.92,134.62,"NA","NA","NA",10.0,"NA","NA",0.05,0.05,132.97,144.67
"West Bengal ",98.4,98.4,4.3,4.3,16.0,16.0,"NA","NA",1.15,1.15,119.85,119.85
"Andaman & Nicobar",5.25,5.25,"NA","NA","NA","NA","NA","NA",0.1,0.1,5.35,5.35
"Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,0.0
"Dadar & Nagar Haveli","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,0.0
"Daman & Diu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,0.0
"Delhi","NA","NA","NA","NA","NA","NA","NA","NA",0.05,2.142,0.05,2.142
"Lakshwadeep","NA","NA","NA","NA","NA","NA","NA","NA",0.75,0.75,0.75,0.75
"Pondicherry","NA","NA","NA","NA","NA","NA","NA","NA",0.025,0.79,0.025,0.79
"Total  (MW)",2735.42,3042.64,11806.75,14155.85,2199.63,2664.63,64.96,72.48,10.275,35.132,16817.035,19970.732
