-----
{
 "description": "This table gives All India and State-wise statistics of mental hospitals like number of hospitals, beds and patients.", 
 "file_name": "Statistics_of_Mental_Hospitals.xls", 
 "title": "Statistics on Mental Hospitals ", 
 "url": "http://data.gov.in/sites/default/files/Statistics_of_Mental_Hospitals.xls"
}
-----
"Year","State/U.T.","Number of mental hospitals","Number of beds available","Number of patients admitted during the year","Number of patients discharged during the year","Number of patients died during the year","",""
"2000","2000","47(24)",19341.0,34653.0,37771.0,5176.0,"",""
"2001","2001","47(19)",9486.0,46985.0,38736.0,282.0,"",""
"2002","2002","47(14)","6583(P)","31727(P)","26409(P)","192(P)","",""
"2003(P)","2003(P)","47(29)",10904.0,57821.0,49537.0,276.0,"",""
"2004(P)","2004(P)","47(25)",10329.0,313119.0,306370.0,199.0,"",""
"2005 *","2005 *","NULL","NULL","NULL","NULL","NULL","",""
"2006(P)","2006(P)",47.0,10779.0,"NULL","NULL","NULL","",""
"2006(P)","Andhra Pradesh",2.0,300.0,"NULL","NULL","NULL","",""
"2006(P)","Assam",1.0,336.0,"NULL","NULL","NULL","",""
"2006(P)","Goa",1.0,190.0,"NULL","NULL","NULL","",""
"2006(P)","Gujarat",7.0,367.0,"NULL","NULL","NULL","",""
"2006(P)","Jammu & Kashmir",2.0,100.0,"NULL","NULL","NULL","",""
"2006(P)","Jharkhand",3.0,1173.0,"NULL","NULL","NULL","",""
"2006(P)","Karnataka",2.0,375.0,"NULL","NULL","NULL","",""
"2006(P)","Kerala",3.0,868.0,"NULL","NULL","NULL","",""
"2006(P)","Madhya Pradesh",2.0,212.0,"NULL","NULL","NULL","",""
"2006(P)","Maharashtra",5.0,3197.0,"NULL","NULL","NULL","",""
"2006(P)","Meghalaya",1.0,"NULL","NULL","NULL","NULL","",""
"2006(P)","Nagaland",1.0,25.0,"NULL","NULL","NULL","",""
"2006(P)","Orissa",1.0,60.0,"NULL","NULL","NULL","",""
"2006(P)","Punjab",1.0,450.0,"NULL","NULL","NULL","",""
"2006(P)","Rajasthan",2.0,312.0,"NULL","NULL","NULL","",""
"2006(P)","Tamil Nadu",1.0,1800.0,"NULL","NULL","NULL","",""
"2006(P)","Uttar Pradesh",4.0,408.0,"NULL","NULL","NULL","",""
"2006(P)","West Bengal",7.0,386.0,"NULL","NULL","NULL","",""
"2006(P)","Delhi",1.0,220.0,"NULL","NULL","NULL"," ",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","","      "
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","","   "
