-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2008 to 2011) details on total and surfaced road length of Highways, urban roads and project roads as on 31st March.", 
 "file_name": "TOTAL_AND_SURFACED_ROAD_LENGTH_AS_ON_31st_MARCH_1.xls", 
 "title": "All India and State-wise Total And Surfaced Road Length As On 31st March 2011 ", 
 "url": "http://data.gov.in/sites/default/files/TOTAL_AND_SURFACED_ROAD_LENGTH_AS_ON_31st_MARCH_1.xls"
}
-----
"State/U.T","Highways - Total (2008)","Highways - Surfaced (2008)","Highways - Total (2009)","Highways - Surfaced (2009)","Highways - Total (2010)","Highways - Surfaced (2010)","Highways - Total (2011)","Highways - Surfaced (2011)","Urban Roads - Total (2008)","Urban Roads - Surfaced (2008)","Urban Roads - Total (2009)","Urban Roads - Surfaced (2009)","Urban Roads - Total (2010)","Urban Roads - Surfaced (2010)","Urban Roads - Total (2011)","Urban Roads - Surfaced (2011)","Project Roads - Total (2008)","Project Roads - Surfaced (2008)","Project Roads - Total (2009)","Project Roads - Surfaced (2009)","Project Roads - Total (2010)","Project Roads - Surfaced (2010)","Project Roads - Total (2011)","Project Roads - Surfaced (2011)","Total Road Length (2008)","Total Surfaced Road Length (2008)","Total Road Length (2009)","Total Surfaced Road Length (2009)","Total Road Length (2010)","Total Surfaced Road Length (2010)","Total Road Length (2011)","Total Surfaced Road Length (2011)"
"Andhra Pradesh  (23)",322556.0,174086.0,211006.0,135066.0,214382.0,138850.0,216705.0,141299.0,13799.0,10950.0,13811.0,10962.0,13820.0,10971.0,13843.0,10994.0,8657.0,4280.0,7463.0,3307.0,7476.0,3313.0,7453.0,3286.0,345012.0,189316.0,232280.0,149335.0,235678.0,153134.0,238001.0,155579.0
"Arunachal Pradesh",15362.0,9681.0,19243.0,13218.0,19981.0,13863.0,20414.0,14240.0,14.0,14.0,53.0,53.0,53.0,53.0,53.0,53.0,1118.0,60.0,1088.0,43.0,1088.0,43.0,1088.0,43.0,16494.0,9755.0,20384.0,13314.0,21122.0,13959.0,21555.0,14336.0
"Assam",216526.0,22180.0,222480.0,28134.0,224576.0,30230.0,226632.0,32287.0,5747.0,3621.0,6418.0,4458.0,6520.0,4578.0,6664.0,4693.0,8061.0,811.0,8087.0,813.0,8298.0,814.0,8493.0,836.0,230334.0,26612.0,236985.0,33405.0,239394.0,35622.0,241789.0,37816.0
"Bihar  (25)",107945.0,52925.0,111649.0,45637.0,115301.0,49289.0,117817.0,51804.0,9854.0,4492.0,9864.0,4506.0,9883.0,4514.0,9975.0,4596.0,2328.0,719.0,2850.0,798.0,2850.0,798.0,2850.0,798.0,120127.0,58136.0,124363.0,50941.0,128034.0,54601.0,130642.0,57198.0
"Chhattisgrah",52827.0,36004.0,65662.0,49909.0,68806.0,53354.0,70377.0,54924.0,6553.0,4963.0,6867.0,5200.0,7326.0,5545.0,8031.0,6075.0,15054.0,2561.0,15204.0,2734.0,15345.0,2870.0,15557.0,3079.0,74434.0,43528.0,87733.0,57843.0,91477.0,61769.0,93965.0,64078.0
"Goa",9256.0,6529.0,9507.0,6750.0,9672.0,6809.0,9933.0,6975.0,1193.0,1068.0,468.0,419.0,469.0,409.0,479.0,415.0,120.0,67.0,215.0,141.0,215.0,141.0,215.0,141.0,10569.0,7664.0,10190.0,7310.0,10356.0,7359.0,10627.0,7531.0
"Gujarat",118547.0,113285.0,123604.0,118493.0,125208.0,120248.0,125813.0,120853.0,19306.0,15002.0,21231.0,16304.0,21718.0,16796.0,21687.0,16765.0,8777.0,4034.0,8686.0,3945.0,8688.0,3947.0,8688.0,3947.0,146630.0,132321.0,153521.0,138742.0,155614.0,140991.0,156188.0,141565.0
"Haryana",24143.0,23870.0,27489.0,27301.0,28165.0,28010.0,31240.0,31092.0,5024.0,3721.0,7984.0,5484.0,8552.0,6183.0,9930.0,6497.0,559.0,112.0,559.0,112.0,559.0,112.0,559.0,112.0,29726.0,27703.0,36032.0,32897.0,37276.0,34305.0,41729.0,37701.0
"Himachal Pradesh",32020.0,19267.0,40045.0,27427.0,42271.0,29977.0,43497.0,31380.0,2168.0,1701.0,2158.0,1734.0,2199.0,1747.0,2213.0,1767.0,2110.0,100.0,2264.0,108.0,2264.0,108.0,2253.0,100.0,36298.0,21197.0,44467.0,29269.0,46734.0,31832.0,47963.0,33247.0
"Jammu & Kashmir (22)",9518.0,8187.0,11765.0,9513.0,12950.0,11069.0,14140.0,12223.0,1762.0,1752.0,1762.0,1752.0,1762.0,1752.0,1762.0,1752.0,11043.0,202.0,11054.0,203.0,11058.0,203.0,11078.0,203.0,22323.0,10141.0,24581.0,11468.0,25770.0,13024.0,26980.0,14178.0
