-----
{
 "description": "Basic Computer Course Training by National Institute of Electronics and Information Technology (NIELIT) formerly known as Department of Electronics and Accreditation of Computer Classes (DOEACC).NIELIT was engaged by Ministry of Panchayati Raj to impart basic IT literacy training to Panchayati Raj...", 
 "file_name": "Training_Status_Report_04__September_2012_1.xls", 
 "title": "Basic Computer Course Training NIELIT formerly known as DOEACC ", 
 "url": "http://data.gov.in/sites/default/files/Training_Status_Report_04__September_2012_1.xls"
}
-----
"State or Union Territory","No. of Candidate to be trained","Number of candidate trained","Appeared in BCC Exam"
"Tripura",500.0,262.0,55.0
"Chhattisgarh",900.0,0.0,0.0
"Goa",20.0,0.0,20.0
"Gujarat",1000.0,560.0,0.0
"Madhya Pradesh",2300.0,0.0,0.0
"Maharashtra",2800.0,1140.0,0.0
"D & N Haveli",22.0,24.0,24.0
"Daman and Diu",28.0,0.0,0.0
"Andhra Pradesh",2000.0,1918.0,82.0
"Karnataka",500.0,0.0,0.0
"Kerala",100.0,11.0,0.0
"Lakshadweep",20.0,0.0,0.0
"Haryana",600.0,0.0,0.0
"Himachal Pradesh",3400.0,118.0,54.0
"Punjab",1200.0,899.0,562.0
"Rajasthan",1600.0,0.0,0.0
"Chandigarh",24.0,10.0,10.0
"Tamil Nadu",1200.0,985.0,985.0
"Andaman and Nicobar Islands",20.0,0.0,0.0
"Puducherry",196.0,0.0,0.0
"Sikkim",20.0,0.0,0.0
"Bihar",800.0,0.0,0.0
"Odisha",600.0,183.0,0.0
"Uttar Pradesh",3000.0,0.0,0.0
"Manipur",20.0,15.0,5.0
"Arunachal Pradesh",200.0,17.0,0.0
"Jharkhand",400.0,380.0,0.0
"West Bengal",300.0,302.0,185.0
"Jammu and Kashmir",400.0,40.0,0.0
"Uttarakhand",800.0,129.0,40.0
"Assam",220.0,168.0,0.0
"Total",25190.0,7161.0,2022.0
