-----
{
 "description": "This table provides the information of all under graduate colleges existing in the country as well as in States/ UTs as on 1.4.2012. There were only 24 states/ UTs imparting medical education at under graduate level. It also includes the admission capacity of colleges from respective states and the...", 
 "file_name": "UG_Colleges_in_AYUSH.xls", 
 "title": "State-wise distribution of Under Graduate AYUSH colleges and their admission capacity ", 
 "url": "http://data.gov.in/sites/default/files/UG_Colleges_in_AYUSH.xls"
}
-----
"S. No. ","State or Union Territory","No. of Colleges - Govt","Admission Capacity - Govt","No. of Colleges - Others","Admission Capacity - Others","Per College Average 
admission capacity"
1.0," Andhra Pradesh ",4.0,214.0,2.0,100.0,52.3333333333
2.0," Arunachal Pradesh  ",0.0,0.0,1.0,50.0,50.0
3.0," Assam  ",3.0,140.0,0.0,0.0,46.6666666667
4.0," Bihar ",1.0,60.0,12.0,650.0,54.6153846154
5.0," Chhattisgarh  ",0.0,0.0,3.0,150.0,50.0
6.0," Delhi  ",2.0,150.0,0.0,0.0,75.0
7.0," Goa  ",0.0,0.0,1.0,50.0,50.0
8.0," Gujarat  ",0.0,0.0,16.0,1525.0,95.3125
9.0," Haryana  ",0.0,0.0,1.0,50.0,50.0
10.0," Himachal Pradesh  ",0.0,0.0,1.0,75.0,75.0
11.0," Jharkhand  ",0.0,0.0,3.0,150.0,50.0
12.0," Karnataka  ",1.0,40.0,10.0,750.0,71.8181818182
13.0," Kerala",2.0,100.0,3.0,150.0,50.0
14.0," Madhya Pradesh  ",1.0,70.0,19.0,1585.0,82.75
15.0," Maharashtra  ",0.0,0.0,48.0,3458.0,72.0416666667
16.0," Orissa  ",4.0,100.0,2.0,60.0,26.6666666667
17.0," Punjab  ",0.0,0.0,4.0,270.0,67.5
18.0," Rajasthan  ",0.0,0.0,7.0,515.0,73.5714285714
19.0," Tamil Nadu  ",1.0,50.0,9.0,600.0,65.0
20.0," Uttar Pradesh  ",7.0,298.0,3.0,150.0,44.8
21.0," Uttarakhand  ",0.0,0.0,1.0,50.0,50.0
22.0,"West Bengal",5.0,283.0,7.0,365.0,54.0
23.0,"Chandigarh",0.0,0.0,1.0,50.0,50.0
