-----
{
 "description": "This data provides the value of imports of merchandise into India by principal countries of consignment from 2000-01 to 2011-12.", 
 "file_name": "VALUE_OF_IMPORTS_OF_MERCHANDISE.xls", 
 "title": "Value Of Imports Of Merchandise Into India By Principal Countries Of Consignment From 2000-01 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/VALUE_OF_IMPORTS_OF_MERCHANDISE.xls"
}
-----
"Country","   2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Argentina",17394.9,20793.7,19558.4,24077.0,24244.8,33383.775,37808.383,36453.0,23459.0,31613.5,6620.2402,6216.4432
"Australia",48551.5,62290.3,64694.3,121735.9,171841.8,219061.482,309321.58,315521.0,504965.0,586619.9,491875.583,713038.6001
"Austria",3166.9,3711.3,7947.0,9267.1,11787.4,15231.025,20615.666,23574.0,32074.0,37269.6,37177.2178,51681.1076
"Bahrein Islands",9252.2,6391.2,5862.2,3424.3,5475.8,8392.572,21206.555,33388.2,63667.2,23845.5,29194.9763,41834.961
"Bangladesh ",3677.8,2819.4,3002.9,3567.1,2667.7,5624.009,10330.491,10347.0,14185.0,12052.8,20313.8636,27925.5831
"Belgium",131116.5,131772.7,179639.9,182698.6,206186.5,209198.324,187329.361,175457.0,260579.0,284657.8,391786.654,500027.879
"Brazil",6631.9,14697.4,15331.1,14406.7,35603.6,39538.684,45716.769,38181.0,54495.0,162599.8,160642.9864,206596.2779
"Cambodia",60.5,"NA","NA",12.7,10.8,34.361,71.494,116.0,120.0,240.6,363.7692,362.294
"Canada",18140.0,25249.7,27405.8,33355.7,34854.3,40725.802,68517.117,79402.0,112968.0,99541.1,92433.0555,140230.7435
"Chile ",2610.4,4520.7,8097.0,7202.2,15527.0,19236.844,86829.13,74194.0,66644.0,52472.3,70563.8267,99309.3713
"China People's Republic ",68627.0,97119.2,135121.5,186251.4,318923.1,481166.523,787295.029,1091161.0,1476056.0,1460486.1,1980790.7578,2759986.4347
"Congo.P .REP",387.4,85.7,157.3,242.4,987.3,1945.458,2703.617,4197.0,2185.0,25699.4,24801.5562,12818.6534
"Cuba",228.5,180.9,176.0,84.9,77.6,146.898,50.361,574.0,62.0,50.2,50.2847,194.5421
"Czech.Republic",1663.3,1842.3,4136.8,5139.1,7878.2,11527.909,15312.991,17989.3,21837.1,26589.0,30792.3798,34092.4069
"Denmark",6509.9,5752.3,6937.9,10366.7,12141.4,22842.471,15390.807,18689.0,21807.0,28287.7,21536.8792,29537.5616
"Egypt Arab Republic ",1772.2,4766.4,10965.0,4512.7,6858.5,9759.866,78847.381,79827.8,97650.6,80358.8,61578.5561,143829.3906
"Ethiopia ",175.2,877.2,510.6,346.3,461.0,377.097,513.659,548.2,512.7,881.4,1493.9941,1302.7275
"Finland",9474.6,7730.6,9630.5,12411.2,17469.9,25832.633,27592.479,37300.0,55777.0,47877.3,75276.9422,98530.9622
"France ",29274.9,40264.0,52953.2,50097.7,85104.7,182110.131,188044.067,251756.0,211652.0,198288.7,168665.7133,208483.5668
"Germany,Federal Republic",80385.7,96723.8,116367.7,134112.4,180415.6,266687.286,573152.099,397360.0,549224.0,488857.6,541360.1637,780952.9211
"Hong Kong",38928.2,34760.9,47068.7,68590.8,77737.4,97710.766,112294.084,108671.0,297325.0,223166.9,428251.1805,507179.772
"Hungary",687.9,1140.6,997.7,1255.6,1416.6,1399.9,2848.522,4560.0,8815.3,9197.8,15663.2323,20234.8972
"Indonesia",41583.9,49447.6,66827.6,97512.1,117619.0,133179.558,189466.704,194205.0,307513.0,410088.1,451362.9296,697591.265
"Iran ",9649.9,13536.0,12500.4,12261.0,18431.4,31100.487,345299.075,439459.0,558218.0,546355.7,497246.2811,654481.4122
"Iraq",315.3,2.0,1.3,6.3,50.3,90.811,250050.179,274947.0,342850.0,332726.8,409772.466,906515.1107
"Ireland",3289.2,4050.8,4741.9,6025.7,8229.0,7168.109,13060.374,10455.0,11021.0,12577.4,11809.3357,18912.4349
"Israel",19757.7,20400.1,29166.8,30776.2,44397.3,45654.375,48753.289,57463.4,94990.3,89276.6,102634.4809,124086.2573
