-----
{
 "description": "This table presents the wages and earnings of mining labour in coal and non-coal mines. The data for coal mines relate to average weekly earning of miners and loaders in december each year whereas those for other mines relate to average weekly earning of miners and loaders for the quarter ending in...", 
 "file_name": "WAGES_AND_EARNINGS_OF_MINING_LABOUR.xls", 
 "title": "Wages And Earnings Of Mining Labour ", 
 "url": "http://data.gov.in/sites/default/files/WAGES_AND_EARNINGS_OF_MINING_LABOUR.xls"
}
-----
"Year"," Assam - Under ground","Assam - Open Working","West bengal - Under ground","West bengal - Open Working","Jharkhand - Under ground","Jharkhand - Open Working"," Madhya Pradesh - Under ground"," Madhya Pradesh - Open Working","All Coalfields- Under ground","All Coalfields - Open Working","Mica - Andhra Pradesh","Mica - Bihar","Mica - Jharkhand","Manganese - Madhya Pradesh","Limestone - Madhya Pradesh","China Clay* - Jharkhand"
2000.0,"1424.00","NA","1690.00","NA","1652.00","1810.00","2116.00","NA",1897.0,1743.0,310.0,336.0,"435","392","888","338"
2001.0,1765.0," NA",1950.0," NA",2019.0,2409.0,2802.0," NA",2362.0,2275.0,419.0,349.0,"426",1016.0,1044.0,392.0
2002.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",430.0,349.0,"426",1013.0,954.0,395.0
2003.0,2312.0,"NA",2352.0,"NA",2463.0,2150.0,2770.0,"NA",2694.0,2280.0,375.0,"NA",363.0,372.0,698.0,434.0
2004.0,2320.0,"NA",2672.0,"NA",2467.0,2604.0,3179.0,"NA",2591.0,2811.0,418.0,"NA",363.0,400.0,808.0,436.0
2005.0,2372.0,"NA",2853.0,"NA",2361.0,2680.0,3623.0,3639.0,3078.0,3020.0,437.0,"NA",363.0,403.0,749.0,458.0
2006.0,2163.0,"NA",3109.0,"NA",2642.0,2856.0,3808.0,6101.0,3298.0,3549.0,542.0,"NA",427.0,409.0,858.0,451.0
2007.0,4147.0,"NA",4186.0,3000.0,3515.0,3138.0,4896.0,4009.0,4288.0,3206.0,570.0,"NA",427.0,411.0,1067.0,481.0
2008.0,2628.0,"NA",4345.0,3000.0,3763.0,4332.0,5228.0,4142.0,4401.0,4142.0,779.0,"NA",433.0,451.0,1379.0,510.0
2009.0,4186.0,"NA",5030.0,8610.0,4462.0,5426.0,6386.0,9111.0,4900.0,4813.0,891.0,760.0,389.0,378.0,1664.0,596.0
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","  ","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","",""," ","","","","",""
