State/UT/Agency,Achievements 2009-10# Total No. of live births reported,Achievements 2009-10# Number of Newborns breastfed within 1 hour,Achievements 2010-11# Total No. of live births reported,Achievements 2010-11# Number of Newborns breastfed within 1 hour
Arunachal Pradesh,"9,817","9,230","11,091","8,481"
Assam,"501,287","304,409","493,321","419,359"
Manipur,"31,932","25,860","33,760","27,844"
Meghalaya,"66,750","46,379","70,184","51,876"
Mizoram,"23,708","21,371","22,107","20,669"
Nagaland,"15,281","7,725","16,984","12,035"
Sikkim,"6,821","5,891","8,072","5,656"
Tripura,"45,205","39,072","47,879","40,582"
Bihar,"1,144,453","642,997","1,236,691","889,770"
Chhattisgarh,"580,908","307,038","579,130","346,719"
Himachal Pradesh,"104,924","75,047","102,226","80,704"
Jammu & Kashmir,"170,087","90,280","148,094","96,967"
Jharkhand,"525,171","346,311","579,980","483,202"
Madhya Pradesh,"1,593,565","1,243,838","1,584,870","1,413,289"
Orissa,"551,559","348,250","630,398","462,173"
Rajasthan,"1,336,273","1,033,573","1,383,257","992,988"
Uttar Pradesh,"4,171,563","2,633,496","4,221,962","2,823,057"
Uttarakhand,"133,233","88,117","128,321","104,623"
Andhra Pradesh,"1,560,902","1,233,175","1,511,673","1,244,838"
Goa,"19,328","16,371","20,085","16,723"
Gujarat,"1,058,869","964,397","1,181,961","1,029,726"
Haryana,"510,111","427,149","508,036","422,565"
Karnataka,"909,577","780,221","845,674","746,165"
Kerala,"491,207","403,454","378,829","327,332"
Maharashtra,"1,576,034","327,564","1,546,056","297,256"
Punjab,"382,100","313,346","391,337","340,439"
Tamil Nadu,"1,092,433","789,645","1,069,853","821,275"
West Bengal,"1,422,559","216,145","1,462,731","961,018"
A & N Islands,"5,918","4,551","2,984","1,758"
Chandigarh,"21,905","10,350","22,241","16,249"
Dadra & Nagar Haveli,"8,274","6,495","8,877","7,320"
Daman & Diu,NA,NA,"1,524","1,206"
Delhi,"172,606","90,857","179,082","104,452"
Lakshadweep,511,258,480,432
Puducherry,"41,397","34,085","42,276","36,414"
M/O Defence,NA,NA,NA,NA
M/O Railways,NA,NA,NA,NA
All India Total,"20,286,268","12,886,947","20,472,026","14,655,162"
