Sr No,Country - Continent - Sub-continent,Document - First 250 gms or part thereof- INR,Document- For every additional 250 gms or part thereof - INR,Merchandise - First 250 gms or part thereof - INR,Merchandise - For every additional 250 gms or part thereof - INR
1,Afganistan,460,30,460,30
2,Argentina,775,175,NA,NA
3,Australia,610,150,610,150
4,Austria,765,75,765,75
5,Bahrain,655,50,655,50
6,Bangladesh,460,30,460,30
7,Barbados,590,150,590,150
8,Belarus,665,75,665,75
9,Belgium,755,100,NA,NA
10,Bermuda,465,150,575,150
11,Bhutan,360,30,470,30
12,Botswana,910,100,910,100
13,Brunei Darussalam,390,50,500,50
14,Bulgaria - Rep,515,75,515,75
15,Cambodia,485,50,485,50
16,Canada,890,150,890,150
17,Cape Verde,795,150,NA,NA
18,Cayman Island,750,150,750,150
19,China - Peoples Rep,385,50,500,50
20,Cuba,615,175,615,175
21,Cyprus,730,75,730,75
22,Democratic Republic of Congo,910,100,NA,NA
23,Denmark,830,100,NA,NA
24,Egypt,730,75,730,75
25,El Salvador,755,175,NA,NA
26,Eritrea,505,75,505,75
27,Estonia,390,75,505,75
28,Ethiopia,730,75,730,75
29,Fiji,465,150,575,150
30,France,675,100,860,100
31,Georgia,650,50,650,50
32,Germany,705,100,855,100
33,Ghana,440,100,550,100
34,Greece,890,75,890,75
35,Guyana,795,150,NA,NA
36,Hong Kong,495,50,645,50
37,Hungary,890,75,890,75
38,Iceland,920,100,920,100
39,Indonesia,390,50,NA,NA
40,Iran,865,50,NA,NA
41,Iraq,570,50,NA,NA
42,Ireland,985,100,985,100
43,Israel,730,75,730,75
44,Italy,935,75,935,75
45,Japan,410,75,520,75
46,Jordan,730,75,730,75
47,Kenya,885,75,885,75
48,Korea - Republic of,395,75,510,75
49,Kuwait,640,50,NA,NA
50,Latvia,670,75,670,75
51,Luxembourg,830,100,NA,NA
52,Macao - China,380,50,495,50
53,Malawi,675,75,675,75
54,Malaysia,860,50,860,50
55,Maldives,365,50,NA,NA
56,Mauritius,735,75,735,75
57,Mexico,845,175,NA,NA
58,Mongolia,645,50,645,50
59,Morocco,770,100,770,100
60,Namibia,615,100,615,100
61,Nauru,560,150,560,150
62,Nepal,355,30,470,30
63,Netherlands,845,100,845,100
64,New Zealand,500,150,500,150
65,Niger,435,100,NA,NA
66,Nigeria,805,100,NA,NA
67,Norway,1215,100,1215,100
68,Oman,625,50,625,50
69,Pakistan,470,30,470,30
70,Panama - Rep,980,175,NA,NA
71,Papua New Guinea,430,100,NA,NA
72,Philippines,390,75,505,75
73,Poland,745,75,745,75
74,Portugal,695,100,695,100
75,Qatar,710,50,710,50
76,Rwanda,670,75,NA,NA
77,Romania,960,75,960,75
78,Russia,850,75,850,75
79,Saudi Arabia,495,50,NA,NA
80,Senegal,790,150,790,150
81,Singapore,380,50,495,50
82,Spain,705,100,705,100
83,Sri Lanka,365,30,NA,NA
84,Sudan,510,75,510,75
85,Sweden,970,75,NA,NA
86,Switzerland,900,100,900,100
87,Taiwan ,495,75,495,75
88,Tanzania,740,75,740,75
89,Thailand,370,50,480,50
90,Tunisia,675,100,NA,NA
91,Turkey,625,75,625,75
92,United Arab Emirates - UAE,635,50,635,50
93,Uganda,890,75,890,75
94,United Kingdom of Great Britain,865,100,865,100
95,Ukraine,885,75,885,75
96,United States of America,540,150,540,150
97,Vietnam,375,50,490,50
98,Yemen,500,50,NA,NA
