"Scheme/Programme","Type","Budget Estimates-Plan ( 2013-14)","Budget Estimates-N-Plan ( 2013-14)","Budget Estimates-Total ( 2013-14)","2006-07","2007-08"
"Electronic Governance ","e-Government ",700.0,0.0,700.0,"",""
"National Informatic Centre (NIC)","e-Government ",830.0,0.0,830.0,"",""
"National Knowledge Network (NKN)","e-Learning",360.0,0.0,360.0,"",""
"Manpower Development (including Skill Development in IT & IT for Masses)","e-Learning",150.0,0.0,150.0,"",""
"NIELIT (erstwhile DOEACC)","e-Learning",10.75,1.7,12.45,"",""
"Education & Research Network (ERNET)","e-Learning",0.01,0.0,0.01,"",""
"Technology Development for Indian Languages (TDIL)","e-Learning",35.0,0.0,35.0,"",""
"Facilitation of setting-up of Integrated Townships","e-Learning",0.1,0.0,0.1,"",""
"Cyber Security (including CERT-In, IT Act)","e-Security",54.37,0.0,54.37,"",""
"Controller of Certifying Authorities (CCA)","e-Security",6.0,0.0,6.0,"",""
"Promotion of Electronics/IT Hardware Manufacturing","e-Industry (Electronic Hardware)",100.0,0.0,100.0,"",""
"Standardisation Testing and Quality Certification (STQC)","e-Industry (Electronic Hardware)",120.0,7.0,127.0,"",""
"Software Technology Parks of India (STPI) and EHTP","e-Industry (IT-ITeS)",52.5,0.0,52.5,"",""
"","","","","","",""
"Centre for Development of Advanced Computing (C-DAC)","e-Innovation/R&D",205.0,3.0,208.0,"",""
"Technology Development Council Projects (Including ITRA)","e-Innovation/R&D",85.0,0.0,85.0,"",""
"Micro - Electronics and Nano-Technology Development Programme","e-Innovation/R&D",100.0,0.0,100.0,"",""
"Society for Applied Microwave Electronics Engineering & Research (SAMEER)","e-Innovation/R&D",50.0,3.0,53.0,"",""
"Convergence, Communication and Strategic Electronics","e-Innovation/R&D",30.0,0.0,30.0,"",""
"Media Lab Asia                                                         ","e-Innovation/R&D",26.27,0.0,26.27,"",""
"Component & Material Development Programme","e-Innovation/R&D",30.0,0.6,30.6,"",""
"R&D in Medical Electronics and Health Informatics","e-Innovation/R&D",10.0,0.0,10.0,"",""
"Others","","","","","",""
"Secretariat- Economic Services","Others",45.0,32.3,77.3,"",""
"Secretariat- Economic Services - Exhibition in Electronics","Others",0.0,0.8,0.8,"",""
"Secretariat- Economic Services - Foreign Trade","Others",0.0,3.1,3.1,"",""
"Secretariat- Economic Services - Other Scheme","Others",0.0,0.5,0.5,"",""
"Total","",3000.0,52.0,3052.0,23,23
