"Year","State/UTs","D.P. T. (2nd Booster) Immunisation for Children","T.T.
 (10 Years)","T.T.
 (16 Years)","Prophylaxis 
against Nutritional Anaemia among Mothers","Prophylaxis against Blindness due to Vit A Deficiency - 1st Dose","Prophylaxis against Blindness due to Vit A Deficiency - 2nd Dose to 5th Dose","Tetanus Immunisation
for Expectant Mothers","D.P.T. Immunisation
for children","POLIO","B.C.G.","Measles"
"2011-12(P)","GRAND TOTAL",9.71,14.33,13.4,20.1,21.7,14.6,23.4,22.42,21.46,23.78,22.29
"2011-12(P)","Andhra Pradesh",1.17,1.42,1.22,1.67,1.19,0.38,1.73,1.38,1.51,1.57,1.53
"2011-12(P)","Arunachal Pradesh","NA","NA","NA",0.01,"NA","NA",0.01,0.01,0.01,0.01,0.011731
"2011-12(P)","Assam",0.11,0.18,0.14,0.68,0.54,0.47,0.59,0.56,0.51,0.56,0.55
"2011-12(P)","Bihar",0.1,0.41,0.56,1.89,1.95,0.59,2.14,2.07,1.63,2.39,2.27
"2011-12(P)","Chhattisgarh",0.32,0.52,0.45,0.44,0.5,0.44,0.54,0.53,0.52,0.53,0.52
"2011-12(P)","Delhi",0.02,0.04,0.03,0.47,0.15,0.13,0.22,0.24,0.23,0.28,0.22
"2011-12(P)","Goa",0.02,0.02,0.02,0.03,0.024369,0.01,0.02,0.023768,0.023799,0.02,0.023355
"2011-12(P)","Gujarat",0.64,0.75,0.75,1.07,1.36,2.22,1.28,1.2,1.15,1.23,1.17
"2011-12(P)","Haryana",0.42,0.45,0.4,0.48,0.49,0.38,0.52,0.52,0.51,0.56,0.52
"2011-12(P)","Himachal Pradesh",0.09,0.1,0.12,0.06,0.1,0.12,0.11,0.11,0.11,0.12,0.11
"2011-12(P)","Jammu & Kashmir",0.1,0.17,0.12,0.27,0.16,0.16,0.18,0.21,0.21,0.21,0.2
"2011-12(P)","Jharkhand",0.06,0.265737,0.28,0.29,0.57,0.86,0.58,0.66,0.52,0.68,0.66
"2011-12(P)","Karnataka",0.67,0.78,0.66,1.41,0.85,0.6,1.26,1.13,1.12,1.18,1.06
"2011-12(P)","Kerala",0.35,0.35,0.35,0.31,0.28,0.27,0.45,0.48,0.5,0.5,0.47
"2011-12(P)","Madhya Pradesh",0.63,1.29,1.28,1.75,1.53,1.53,1.62,1.57,1.43,1.54,1.54
"2011-12(P)","Maharashtra",1.59,1.9,1.87,1.25,1.63,0.92,1.82,1.87,1.86,1.95,1.82
"2011-12(P)","Manipur",0.02,0.02,0.02,0.02,0.03,0.01,0.03,0.05,0.05,0.05,0.04
"2011-12(P)","Meghalaya",0.02,0.04,0.03,0.05,0.06,0.04,0.06,0.07,0.07,0.08,0.06
"2011-12(P)","Mizoram",0.02,0.017854,0.01,0.02,0.01,0.02,0.02,0.018963,0.018612,0.019962,0.02
"2011-12(P)","Nagaland",0.01,0.02,0.02,0.1,0.02,0.01,0.01,0.02,0.02,0.02,0.02
"2011-12(P)","Orissa",0.55,0.76,0.07,0.58,0.77,0.66,0.7,0.72,0.66,0.79,0.7
"2011-12(P)","Punjab",0.35,0.35,0.27,0.42,0.35,0.32,0.42,0.42,0.42,0.44,0.41
"2011-12(P)","Rajasthan",0.36,0.46,0.42,1.29,1.17,0.71,1.48,1.4,1.39,1.36,1.35
"2011-12(P)","Sikkim",0.01,0.01485,0.01,0.01,0.01,0.01,0.009657,0.010735,0.01,0.011133,0.01
"2011-12(P)","Tamil Nadu",0.47,0.86,0.84,1.76,2.89,1.49,1.09,0.98,1.02,1.0,0.1
"2011-12(P)","Tripura",0.02,0.03,0.03,0.06,0.02,0.02,0.046259,0.051336,0.050308,0.058276,0.05
"2011-12(P)","Uttar Pradesh",0.74,2.1,2.0,2.19,4.11,1.31,4.73,4.48,4.41,4.73,4.36
"2011-12(P)","Uttarakhand",0.07,0.14,0.12,0.1,0.08,0.07,0.18,0.18,0.18,0.19,0.17
"2011-12(P)","West Bengal",0.75,0.8,0.6,1.32,0.81,0.81,1.47,1.39,1.26,1.59,1.35
"2011-12(P)","A & N Islands",0.01,"NA","NA",0.01,"NA","NA","NA",0.006117,"NA",0.01,0.005557
"2011-12(P)","Chandigarh",0.014945,0.009536,"NA",0.01,0.02,0.01,0.018506,0.016383,0.016383,0.024067,0.016859
"2011-12(P)","D & N Haveli",0.005856,0.005923,0.01,0.01,0.01,"NA",0.008033,0.007277,0.007277,0.007928,0.007153
"2011-12(P)","Daman & Diu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2011-12(P)","Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2011-12(P)","Puducherry",0.0191,0.02,0.02,0.03,0.01,0.01,0.020274,0.016692,0.016692,0.043556,0.01
"2011-12(P)","Other Agencies : Ministry of Defence","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2011-12(P)","Other Agencies : Ministry of Railways",0.013402,0.01,0.01,0.16,0.01,0.01,0.014294,0.02,0.02,0.01,0.01
