"Year","Month","Cereal and Products","Pulses and Pulse Products","Oils and Fats","Meat - Fish etc","Milk and Milk Products","Spices and Condiments","Vegetables","Fruits","Sugar - Honey etc","Non Alcoholic Beverages","Prepared Meals","Pan - Supari etc","Food - beverages and tobacco ","Fuel and Lighting","Housing","Clothing and Bedding","Footwear","Clothing - bedding and footwear","Medical Care","Education","Recreation and Amusement","Transport and Communication","Personal Care Items","Household Requisites","Others","Miscellaneous","General index"
2011.0,"January",101.53,94.9,113.8,105.91,105.19,109.38,129.68,109.64,97.76,103.94,105.23,104.58,107.15,104.64,100.21,107.78,103.99,107.23,102.52,102.01,101.09,103.87,101.86,102.9,105.45,102.91,104.19
2011.0,"February",101.87,97.36,115.67,105.88,106.47,111.51,100.84,112.24,95.62,105.07,106.26,106.21,104.99,104.95,100.23,109.82,105.17,109.15,103.03,102.29,101.27,104.9,102.22,103.55,106.68,103.57,103.68
2011.0,"March",101.91,97.29,116.47,107.81,107.69,113.93,92.3,118.26,94.83,105.95,106.86,107.73,104.98,105.74,100.29,111.8,106.3,111.0,103.37,102.58,101.5,105.11,102.46,104.06,107.67,103.89,103.92
2011.0,"April",101.6,96.8,116.6,108.8,109.0,115.9,88.5,134.1,94.3,106.8,107.5,110.7,105.9,106.1,100.4,113.7,107.4,112.7,103.7,103.9,101.7,105.2,102.9,104.9,108.8,104.4,104.5
2011.0,"May",101.6,96.2,117.9,109.0,111.2,117.9,88.1,133.8,94.1,107.6,108.4,112.9,106.5,106.4,100.4,114.9,108.5,113.9,104.0,104.6,102.1,106.5,103.4,105.5,110.0,105.2,105.0
2011.0,"June",101.5,95.5,120.3,110.9,112.8,119.6,95.7,130.2,93.3,108.8,109.3,114.5,107.9,107.6,106.2,116.0,109.5,115.1,104.6,105.4,102.4,107.8,104.1,105.9,111.5,106.0,107.3
2011.0,"July",101.7,95.6,122.5,111.3,114.0,120.9,106.5,128.2,94.3,109.9,110.6,116.3,109.7,112.8,107.0,117.2,111.2,116.3,105.6,106.7,103.0,108.6,105.1,106.9,113.3,107.0,108.9
2011.0,"August",101.8,96.3,124.4,110.6,115.6,121.9,110.1,128.2,94.8,111.1,111.7,117.6,110.8,113.7,107.9,118.4,112.6,117.6,106.6,107.9,103.6,109.2,105.8,109.1,115.4,108.1,109.9
2011.0,"September",101.9,98.9,125.8,112.9,117.8,123.5,115.5,124.7,95.0,112.2,112.8,118.6,112.2,115.5,108.8,119.7,113.7,118.8,107.2,108.4,103.7,110.3,106.5,110.5,117.0,108.9,111.1
2011.0,"October",102.3,101.0,126.0,113.7,119.5,124.7,117.9,125.2,95.5,112.9,113.8,119.7,113.3,115.9,110.0,121.3,114.7,120.3,107.7,108.7,103.9,111.3,107.0,110.7,118.1,109.6,112.0
