"Sl. No.","Name of the State/Union Territory","1980-81","1985-86","1990-91","1995-96","1998-99","1999-00","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07"
"1.","Delhi",333.0,230.0,364.0,499.0,581.0,648.0,663.0,678.0,726.0,795.0,935.0,1018.0,1310.0
"2.","Maharashtra",296.0,291.0,283.0,381.0,695.0,607.0,545.0,650.0,681.0,921.0,1093.0,1233.0,1607.0
"3.","Tamil Nadu",112.0,81.0,109.0,125.0,148.0,155.0,174.0,220.0,290.0,330.0,397.0,433.0,2.0
"4.","West Bengal",110.0,110.0,96.0,192.0,196.0,137.0,143.0,161.0,116.0,154.0,131.0,214.0,244.0
"5.","Gujarat",72.0,53.0,44.0,75.0,58.0,178.0,147.0,120.0,161.0,189.0,179.0,203.0,337.0
"6.","Karnataka",38.0,53.0,69.0,57.0,125.0,122.0,112.0,147.0,118.0,180.0,216.0,428.0,596.0
"7.","Uttar Pradesh",37.0,38.0,39.0,35.0,55.0,67.0,90.0,80.0,103.0,126.0,72.0,193.0,205.0
"8.","Bihar",36.0,29.0,26.0,21.0,49.0,29.0,31.0,8.0,2.0,9.0,41.0,29.0,14.0
"9.","Kerala",35.0,35.0,60.0,72.0,91.0,62.0,77.0,70.0,85.0,88.0,79.0,96.0,128.0
"10.","Andhra Pradesh",34.0,14.0,35.0,53.0,130.0,106.0,100.0,120.0,196.0,222.0,254.0,408.0,385.0
"11.","Haryana",15.0,3.0,9.0,7.0,17.0,15.0,20.0,27.0,75.0,45.0,48.0,93.0,93.0
"12.","Punjab",17.0,9.0,9.0,16.0,20.0,9.0,15.0,14.0,46.0,27.0,27.0,29.0,74.0
"13.","Rajasthan",10.0,15.0,3.0,17.0,17.0,12.0,7.0,13.0,13.0,28.0,28.0,17.0,44.0
"14.","Madhya Pradesh",13.0,18.0,18.0,29.0,31.0,21.0,30.0,19.0,30.0,29.0,45.0,55.0,33.0
"15.","Others",20.0,20.0,16.0,27.0,34.0,38.0,25.0,44.0,51.0,75.0,85.0,72.0,242.0
"Total","Total",1178.0,999.0,1180.0,1606.0,2247.0,2206.0,2179.0,2371.0,2693.0,3218.0,3630.0,4521.0,5314.0
