"Year","Industry","Agriculture","Domestic","Commercial","Traction & Railways","Others","Total Electricity Consumed","% Annual growth electricity consumption"
"2000-01",107622.0,84729.0,75629.0,22545.0,8213.0,17862.0,316600.0,1.20156884807
"2001-02 ",107296.0,81673.0,79694.0,24139.0,8106.0,21551.0,322459.0,1.85060012634
"2002-03 ",114959.0,84486.0,83355.0,25437.0,8797.0,22564.0,339598.0,5.31509432207
"2003-04",124573.0,87089.0,89736.0,28201.0,9210.0,22128.0,360937.0,6.28360591052
"2004-05",137589.0,88555.0,95660.0,31381.0,9495.0,23454.0,386134.0,6.98099668363
"2005-06",151557.0,90292.0,100090.0,35965.0,9944.0,24039.0,411887.0,6.669446358
"2006-07",171293.0,99023.0,111002.0,40220.0,10800.0,23411.0,455749.0,10.6490372359
"2007-08",189424.0,104182.0,120918.0,46685.0,11108.0,29660.0,501977.0,10.1433025635
"2008-09",209474.127816,109609.778779,131719.813373,54189.1900796,11424.7837037,37577.0193499,553995.0,10.3626261761
"2009-10 (P)",236752.0,120209.0,146080.0,60600.0,12408.0,36595.0,612645.0,10.5867381475
"2010-11(P)",272589.0,131967.0,169326.0,67289.0,14003.0,39218.0,694392.0,13.34
