Sl.No., States/Union Territories,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
1,Andhra Pradesh,14.6,16.1,16.6,15.3,15.2,14.5,14.2,13.3,12.8,11.3,11.1,10.6,10.4,11,10.3,9.9,9.9,10.2,9.5,9.1,9.7,9.2,8.6,8.3,8.4,8.4,8.3,8.8,8.2,8.2,8.2,8.1,8,7,7.3,7.3,7.4,7.5,7.6,7.6,7.5
2,Assam,17.8,17.9,16.4,16.8,16.9,14.9,12.9,13.2,11.4,10.7,12.6,12.4,12.1,13.2,13.2,12.6,11.6,11.8,10.4,10.5,11.5,10.4,10.2,9.2,9.6,9.6,9.9,10,9.7,9.6,9.6,9.2,9.1,8.8,8.7,8.7,8.6,8.6,8.4,8.2,8
3,Bihar,14.2,18.3,14.7,15.9,13.3,12.1,12.1,13.3,13,15,13.9,14.1,13,14.5,15,13.8,13.1,12.6,12.1,10.6,9.8,10.9,10.6,10.4,10.5,10.2,10,9.4,8.9,8.8,8.2,7.9,7.9,8.1,8.1,7.7,7.5,7.3,7,6.8,6.7
4,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,10.4,9.6,9.6,8.8,8.7,8.5,7.7,8.1,8.1,8.1,8.1,8.1,8,7.9
5,Gujarat,16.4,14.9,15.8,13,15.4,15.3,14.8,12.7,13.1,12.2,12,11.7,11.6,10.8,10.8,10.5,9.8,11,9.7,8.9,8.5,9.2,8.2,8.7,7.6,7.6,7.6,7.9,7.9,7.5,7.8,7.7,7.6,6.9,7.1,7.3,7.2,6.9,6.9,6.7,6.7
6,Haryana,9.9,11.7,12.1,12.6,12.3,12.8,13.7,13.5,10.6,11.2,11.3,9.2,9,10.9,9.1,8.7,8.8,9.8,8.5,8.4,8.2,8.7,7.9,8.1,8.1,8.1,8,8.2,7.7,7.5,7.6,7.1,7.1,6.6,6.7,6.5,6.6,6.9,6.6,6.6,6.5
7,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,8.5,8.9,9,8.8,7.9,8,8,7.9,7.5,7.3,7.1,7,7,6.9
8,Karnataka,12.1,12.8,12.4,10.8,11.1,11.7,11.1,12,10.4,9.6,9.1,9.2,9.3,9.6,8.8,8.7,8.7,8.8,8.8,8.1,9,8.5,8,8.3,7.6,7.6,7.6,7.9,7.7,7.8,7.6,7.2,7.2,6.9,7.1,7.1,7.3,7.4,7.2,7.1,7.1
9,Kerala,9,9.2,8.5,7.8,8.4,8.1,7.3,7,6,7,6.6,6.6,6.7,6.4,6.5,6.1,6.1,6.4,6.1,6,6,6.3,6,6.1,6,6.2,6.2,6.4,6.4,6.4,6.6,6.4,6.3,6.1,6.4,6.7,6.8,6.6,6.8,7,7
10,Madhya Pradesh,15.6,18.7,16.9,15.8,18.5,16.5,17.9,15.1,15.1,15.2,16.6,14.9,14.5,14.2,14.2,13.6,13.3,14.3,12.9,12.6,13.8,12.9,12.6,11.6,11.2,11.1,11,11.2,10.4,10.3,10.1,9.8,9.8,9.2,9,8.9,8.7,8.6,8.5,8.3,8.2
