"State/Union Territory","Forest Degraded Area","Non-Forest Degraded Area Saline & Alkaline Lands","Non-Forest Degraded Area Wind Eroded Area","Non-Forest Degraded Area Water Eroded Area","Total"
" Total",35889.0,7165.0,12926.0,73600.0,93691.0
" Andhra Pradesh",3734.0,240.0,"NA",7442.0,7682.0
" Arunachal Pradesh","NA","NA","NA","NA","NA"
" Assam",795.0,"NA","NA",935.0,935.0
" Bihar",1562.0,4.0,"NA",3892.0,3896.0
" Goa","NA","NA","NA","NA","NA"
" Gujarat",683.0,1214.0,704.0,5235.0,7153.0
" Haryana",74.0,526.0,1599.0,276.0,2404.0
" Himachal Pradesh",534.0,"NA","NA",1424.0,1424.0
" Jammu & Kashmir",1034.0,"NA","NA",531.0,531.0
" Karnataka",2043.0,404.0,"NA",6718.0,7122.0
" Kerala",226.0,16.0,"NA",1037.0,1053.0
" Madhya Pradesh",7195.0,242.0,"NA",12705.0,12947.0
" Maharashtra",2841.0,534.0,"NA",11026.0,11560.0
" Manipur",1424.0,"NA","NA",14.0,14.0
" Meghalaya",1103.0,"NA","NA",815.0,815.0
" Mizoram","NA","NA","NA","NA","NA"
" Nagaland",878.0,"NA","NA",508.0,508.0
" Orissa",3227.0,404.0,"NA",2753.0,3157.0
" Punjab",79.0,688.0,"NA",463.0,1151.0
" Rajasthan",1933.0,728.0,10623.0,6659.0,18010.0
" Sikkim",150.0,"NA","NA",131.0,131.0
" Tamil Nadu",1009.0,4.0,"NA",3388.0,3392.0
" Tripura",865.0,"NA","NA",108.0,108.0
" Uttar Pradesh",1426.0,1295.0,"NA",5340.0,6635.0
" West Bengal ",359.0,850.0,"NA",1327.0,2177.0
"Union Territories:",2715.0,16.0,"NA",873.0,889.0
