"GROUP","PRODUCT","2006-2007 QTY.","2006-2007 VALUE","2007-2008 QTY.","2007-2008 VALUE","2008-2009 QTY.","2008-2009 VALUE","2009-10 QTY.","2009-10 VALUE","2010-11 QTY.","2010-11 VALUE","2011-12 QTY.","2011-12 VALUE"
"ALKALI CHEMICALS","SODA ASH",136991.0,10472.0,73193.0,7310.0,86204.0,10956.0,257219.0,20931.0,199765.0,18281.0,257622.0,31586.0
"ALKALI CHEMICALS","CAUSTIC SODA",29409.0,4131.0,32337.0,5483.0,56498.0,14356.0,76995.0,14342.0,143791.0,25699.0,82208.0,18977.0
"ALKALI CHEMICALS","LIQUID CHLORINE",12959.0,850.0,5736.0,440.0,5474.0,654.0,7602.0,1406.0,3412.0,573.0,4766.0,1090.0
"INORGANIC CHEMICALS","ALUMINIUM FLOURIDE",9146.0,4525.0,10013.0,5351.0,8417.0,7192.0,8127.0,4771.0,7068.0,3363.0,3362.0,2181.0
"INORGANIC CHEMICALS","CALCIUM CARBIDE",43.0,12.0,4.0,4.0,250.0,87.0,971.0,346.0,961.0,348.0,1267.0,592.0
"INORGANIC CHEMICALS","CARBON BLACK",68280.0,23394.0,88174.0,30870.0,79603.0,35851.0,359840.0,87287.0,365478.0,114404.0,277698.0,142242.0
"INORGANIC CHEMICALS","POTASSIUM CHLORATE",8420.0,971.0,10893.0,1296.0,2629.0,1186.0,1811.0,763.0,1307.0,393.0,844.0,487.0
"INORGANIC CHEMICALS","SODIUM CHLORATE",1194.0,123.0,480.0,66.0,159.0,34.0,375.0,35.0,7.0,22.0,127.0,51.0
"INORGANIC CHEMICALS","TITANIUM DIOXIDE",13311.0,10723.0,12798.0,9718.0,6835.0,6161.0,5942.0,5794.0,7491.0,8797.0,5009.0,7811.0
"INORGANIC CHEMICALS","RED PHOSPHORUS",360.0,599.0,581.0,576.0,347.0,923.0,405.0,804.0,317.0,799.0,383.0,1133.0
"ORGANIC CHEMICALS","ACETIC ACID",14819.0,6019.0,15040.0,5509.0,12589.0,5054.0,13022.0,4590.0,8368.0,2662.0,25887.0,8687.0
"ORGANIC CHEMICALS","ACETIC ANHYDRIDE",1294.0,679.0,857.0,425.0,4168.0,2314.0,1256.0,760.0,1902.0,880.0,2652.0,1373.0
"ORGANIC CHEMICALS","ACETONE",139.0,283.0,270.0,219.0,1950.0,1088.0,501.0,277.0,2805.0,1250.0,1200.0,958.0
"ORGANIC CHEMICALS","PHENOL",2596.0,2757.0,2078.0,2203.0,3195.0,3753.0,2720.0,3269.0,1293.0,2321.0,1146.0,2147.0
"ORGANIC CHEMICALS","METHANOL",1233.0,728.0,31743.0,13726.0,3264.0,846.0,45902.0,6426.0,43560.0,8787.0,120419.0,20481.0
"ORGANIC CHEMICALS","FORMALDEHYDE",2217.0,407.0,5710.0,672.0,3256.0,380.0,3995.0,542.0,4275.0,533.0,4474.0,722.0
"ORGANIC CHEMICALS","NITROBENZENE",104.0,80.0,35.0,39.0,126.0,144.0,144.0,99.0,110.0,83.0,128.0,126.0
"ORGANIC CHEMICALS","CITRIC ACID",377.0,188.0,210.0,109.0,338.0,235.0,1365.0,767.0,1795.0,1272.0,2745.0,1935.0
"ORGANIC CHEMICALS","MALEIC ANHYDRIDE",2952.0,1780.0,622.0,383.0,274.0,232.0,115.0,80.0,66.0,57.0,38.0,32.0
"ORGANIC CHEMICALS","PENTA-ERITHRITOL",2469.0,1921.0,1776.0,1615.0,1325.0,1540.0,1195.0,1631.0,1539.0,2026.0,1353.0,1966.0
"ORGANIC CHEMICALS","ANILINE",4404.0,2716.0,2296.0,1538.0,964.0,1191.0,249.0,291.0,1161.0,899.0,953.0,744.0
"ORGANIC CHEMICALS","CHLORO METHANES",629.0,465.0,42.0,65.0,46.0,51.0,116.0,75.0,36.0,53.0,126.0,121.0
"ORGANIC CHEMICALS","ISOBUTYLE",2414.0,1974.0,7314.0,5408.0,7516.0,6853.0,10801.0,9548.0,11459.0,9769.0,13920.0,14712.0
"ORGANIC CHEMICALS","ONCB",484.0,381.0,40.0,40.0,267.0,225.0,636.0,357.0,428.0,243.0,323.0,168.0
"ORGANIC CHEMICALS","PNCB",1754.0,1191.0,1806.0,790.0,1880.0,1270.0,1075.0,533.0,1413.0,677.0,1272.0,693.0
"ORGANIC CHEMICALS","MEK",178.0,165.0,207.0,217.0,304.0,466.0,111.0,139.0,56.0,184.0,428.0,501.0
"ORGANIC CHEMICALS","ACETALDEHYDE",95.0,115.0,128.0,251.0,244.0,149.0,19.0,20.0,84.0,352.0,241.0,908.0
"ORGANIC CHEMICALS","ETHANOLAMINES",30.0,29.0,610.0,486.0,1143.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0
"ORGANIC CHEMICALS","ETHYL ACETATE",14773.0,6777.0,33054.0,13712.0,30753.0,13955.0,47114.0,20398.0,96996.0,46806.0,126601.0,64994.0
"ORGANIC CHEMICALS","MENTHOL",7557.0,56116.0,10783.0,63970.0,6982.0,44793.0,11997.0,48341.0,8274.0,83459.0,9507.0,139774.0
"ORGANIC CHEMICALS","ORTHO NITRO TOLUENE",1089.0,452.0,1029.0,394.0,1446.0,560.0,576.0,219.0,621.0,241.0,327.0,143.0
"PESTICIDES & INSECTICIDES","D.D.T.",3891.0,4303.0,2532.0,2809.0,0.0,0.0,42.0,133.0,32.0,95.0,0.0,0.0
"PESTICIDES & INSECTICIDES","PARATHION (METHYL)",568.0,637.0,803.0,885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PESTICIDES & INSECTICIDES","DIMETHOATE",334.0,2370.0,468.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PESTICIDES & INSECTICIDES","D.D.V.P.",1276.0,1699.0,1254.0,1454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PESTICIDES & INSECTICIDES","QUINALPHOS",353.0,669.0,98.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PESTICIDES & INSECTICIDES","ENDOSULPHAN",3175.0,5849.0,4104.0,7421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
