"  Year","Crude Oil Qty.","Crude Oil Value","Petroleum Products Qty.","Petroleum Products Value","LNG Qty.","LNG Value","Total Qty.","Total Value","","","","","",""
"2004-05",95861.0,117003.0,8828.0,14887.0,2500.0,1696.0,107189.0,133586.0,"","","","","",""
"2005-06",99409.0,171702.0,13441.0,27971.0,5060.0,3366.0,117910.0,203039.0,"","","","","",""
"2006-07",111502.0,219029.0,17660.0,41160.0,6810.0,5650.0,135972.0,265839.0,"","","","","",""
"2007-08",121672.0,272698.8,22462.0,61000.0,8320.0,7197.0,152454.0,340895.8,"","","","","",""
"2008-09",132775.0,348304.0,18586.0,61156.0,8060.0,9548.0,159421.0,419008.0,"","","","","",""
"2009-10",159259.0,375277.0,14665.0,33800.0,8828.0,10297.0,182752.0,419374.0,"","","","","",""
"2010-11",163595.0,455276.0,16815.0,52106.0,8949.0,12719.0,189359.0,520101.0,"","","","","",""
"2011-12*",171729.0,672220.0,14997.0,54166.0,9703.0,20373.0,196429.0,746759.0,"","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","                           "
