"Year/State/Union Territory","Food grains (cereals) - Rice","Food grains (cereals) - Jowar","Food grains (cereals) - Bajra","Food grains (cereals) - Maize","Food grains (cereals) - Ragi","Food grains (cereals) - Small millets","Food grains (cereals) - Wheat","Food grains (cereals) - Barley","Total cereals","Food grains(pulses) - Gram","Food grains(pulses) - Tur","Other Pulses","Total Pulses","Total food grains","Oilseeds - Ground nut","Oilseeds - Sesamum","Oilseeds - Rapeseed and mustard","Oilseeds - Linseed","Oilseeds - Castor seed","Total oilseeds","Cotton #","Jute","Mesta","Tea","Coffee**","Natural Rubber P"," Banana","Sugar cane","Tobacco P"," Potato","Black Pepper","Chillies","Ginger","Coconut","Turmeric"
" 2010-11 P",95980.4,7003.2,10369.7,21726.4,2194.3,729.7,86874.0,1662.7,226539.4,8221.0,2861.0,7158.9,18240.9,244780.3,8265.1,893.2,8179.4,146.8,1349.5,32478.7,33000.0,10008.6,610.9,"NA",299.0,862.0,29780.0,342382.0,831.0,42339.0,52.06,1223.2,701.63,10840.0,992.49
" Andhra Pradesh",14418.0,308.0,101.0,3956.0,50.0,29.0,13.0,"NA",18875.0,720.0,265.0,455.0,1440.0,20315.0,1458.0,26.0,4.0,"NA",121.0,1996.0,5300.0,"NA",224.0,"NA","NA","NA",2775.0,14964.0,281.0,97.0,"NA",547.0,17.0,667.0,448.0
" Arunachal Pradesh",234.0,"NA","NA",65.0,"NA",20.0,6.0,"NA",325.0,"NA",0.5,8.5,9.0,334.0,"NA",0.7,23.8,"NA","NA",29.0,"NA","NA","NA","NA","NA","NA",13.0,29.0,".",32.0,"NA",6.0,53.0,"NA",3.0
" Assam#",4737.0,"NA","NA",14.1,"NA",3.1,53.0,"NA",4806.2,0.9,5.0,64.1,70.0,4877.2,"NA",7.2,139.0,3.8,0.5,154.0,"NA",625.0,25.0,"NA","NA","NA",724.0,1075.0,"NA",738.0,"NA",13.0,120.0,101.0,13.0
" Bihar",3102.0,3.0,5.0,1440.0,7.0,4.0,4098.0,25.0,8684.0,60.0,37.0,441.0,538.0,9222.0,"NA",1.8,90.0,20.6,"NA",136.0,"NA",1165.0,146.0,"NA","NA","NA",1517.0,12764.0,21.0,5784.0,7.0,3.0,0.84,"NA",3.0
"Chhattisgarh#",6159.0,9.0,"NA",186.0,2.2,34.0,127.0,2.4,6517.6,242.0,24.0,272.0,538.0,7054.6,42.0,7.0,21.0,10.0,"NA",217.0,"NA","NA",2.5,"NA","NA","NA",351.0,22.0,"NA",526.0,"NA",3.0,1.35,6.0,0.6
" Goa",115.0,"NA","NA","NA","NA",288.0,"NA","NA",403.0,"NA","NA",8.0,8.0,411.0,8.1,"NA","NA","NA","NA",8.1,"NA","NA","NA","NA","NA","NA",25.0,49.0,"NA","NA","NA","NA","NA",88.0,"NA"
" Gujarat",1497.0,139.0,1091.0,820.0,14.0,38.0,4020.0,"NA",7619.0,200.0,273.0,250.0,723.0,8342.0,3366.0,127.0,349.0,"NA",986.0,4896.0,10400.0,"NA","NA","NA","NA","NA",3978.0,13760.0,281.0,1882.0,"NA",48.0,70.0,108.0,28.0
" Haryana",3472.0,36.0,1185.0,19.0,"NA","NA",11630.0,129.0,16471.0,110.0,27.0,22.0,159.0,16630.0,2.0,1.0,942.0,"NA",0.5,964.0,1750.0,"NA","NA","NA","NA","NA","NA",6042.0,"NA",598.0,"NA",11.0,8.0,"NA",18.0
" Himachal Pradesh#",129.0,"NA","NA",671.0,2.2,3.0,547.0,28.0,1380.2,1.0,"NA",41.0,42.0,1421.2,1.0,1.0,5.0,"NA","NA",8.0,"NA","NA","NA","NA","NA","NA","NA",38.0,"NA",206.0,"NA",1.0,16.76,"NA","NA"
" Jammu & Kashmir",508.0,"NA",10.0,528.0,"NA",5.0,446.0,9.0,1505.0,"NA","NA",17.0,17.0,1522.0,"NA",2.0,51.0,"NA","NA",53.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",151.0,"NA",0.6,"NA","NA","NA"
"Jharkhand",1110.0,"NA","NA",262.0,5.0,11.9,158.0,"NA",1546.9,74.0,71.0,185.0,330.0,1876.9,23.0,2.0,72.0,8.0,"NA",114.0,"NA",0.8,"NA","NA","NA","NA",64.0,457.0,"NA",656.0,"NA","NA","NA","NA","NA"
" Karnataka",4188.0,1467.0,334.0,4444.0,1588.0,12.0,279.0,"NA",12312.0,631.0,529.0,405.0,1565.0,13877.0,742.0,51.0,2.0,4.0,16.0,1270.0,1200.0,"NA",1.0,"NA","NA","NA",2282.0,39657.0,134.0,401.0,7.0,154.0,100.0,1497.0,98.0
