"S.No.","Name of State Road Transport Undertaking (SRTU)","Avg. Fleet Held (Number) ","Avg Fleet Operated (Number)    ","Avg Age of Fleet (Years)  ","Over aged vehicles (%)","Revenue Earning Kilometres (Lakhs) ","Staff Strength (Number)","Fuel Efficiency (Km/litre of HSD)","  Passenger Kilometres Offered (Lakhs) ","Passenger KMS Performed (Lakhs)","Passenger Carried (Lakhs)","Number of Accidents  "," Number of Fatal Accidents   "
1.0,"Ahmedabad M T Corpn. ",985.0,671.0,7.2,32.4,489.46,4715.0,3.26,28627.89,21288.21,2934.69,571.0,20.0
2.0,"Andhra Pradesh SRTC",22170.0,21411.0,"NA","NA",28715.0,123615.0,5.13,1433166.0,1001874.0,50014.0,2473.0,899.0
3.0,"Assam State Transport Corpn.",600.0,"NA","NA","NA","NA",3029.0,4.0,"NA","NA","NA","NA","NA"
4.0,"B.E.S.T. Undertaking",4669.0,3923.0,6.13,0.0,2557.31,35345.0,2.92,170260.0,123353.0,14395.0,840.0,26.0
5.0,"Bangalore Metropolitan TC",6092.0,5658.0,4.94,4.64,4655.22,32331.0,3.97,302581.5,232758.5,15920.02,485.0,72.0
6.0,"Bihar SRTC",414.0,162.0,9.78,78.0,136.94,1516.0,4.29,6573.12,4075.33,53.05,1.0,0.0
7.0,"Calcutta STC",839.0,424.0,4.72,13.6,294.88,5813.0,3.04,16187.46,11996.24,1164.08,108.0,8.0
8.0,"Chandigarh TU",493.0,458.0,5.3,20.62,426.39,2055.0,3.8,21319.5,19613.94,794.22,158.0,16.0
9.0,"Delhi TC",6077.0,5121.0,4.8,35.29,3738.7,40721.0,2.48,219868.35,90236.97,16176.86,264.0,73.0
10.0,"Gujarat SRTC",7663.0,6660.0,"NA",14.38,10229.59,41863.0,5.5,504712.35,351240.49,8559.47,885.0,188.0
11.0,"Haryana ST",3402.0,3178.0,"NA","NA",3797.08,16619.0,4.78,189854.0,140492.0,"NA",259.0,114.0
12.0,"Himachal RTC",2024.0,1981.0,"NA",22.0,1627.7,8492.0,3.61,71618.8,71618.8,40412.79,62.0,3.0
13.0,"J&K SRTC",710.0,376.0,9.36,54.0,227.68,2193.0,4.23,9562.56,8363.57,57.44,25.0,4.0
14.0,"Kadamba TC Ltd.",412.0,276.0,6.75,9.22,271.96,1889.0,4.43,362.17,271.96,306.28,74.0,5.0
15.0,"Karnataka SRTC",7621.0,6969.0,3.35,4.7,9242.56,36448.0,4.87,480613.12,372161.35,8866.71,1279.0,255.0
16.0,"Kerala SRTC",5742.0,4749.0,6.5,28.81,5498.37,39911.0,4.19,6558.0,"NA",12579.0,807.0,227.0
17.0,"Kolhapur MTU",135.0,120.0,12.0,56.76,104.15,645.0,3.76,5926.94,3719.59,353.64,170.0,3.0
18.0,"Maharashtra SRTC",16801.0,15891.0,4.03,5.03,19838.09,104566.0,4.91,903030.0,557169.0,26003.92,3437.0,446.0
19.0,"Meghalaya STC",50.0,31.0,8.96,56.0,19.77,307.0,4.48,652.41,351.55,3.79,0.0,0.0
20.0,"Metro.TC (Chennai) Ltd.",3446.0,3043.0,3.44,0.0,3511.49,22146.0,4.35,252827.0,213249.0,19769.0,1706.0,119.0
21.0,"Mizoram ST",47.0,22.0,5.9,29.36,8.55,650.0,"NA",239.45,128.7,0.69,"NA","NA"
22.0,"Navi Mumbai  MT",336.0,240.0,4.76,7.44,"NA",2747.0,3.0,"NA","NA",856.25,417.0,5.0
23.0,"North Bengal STC",704.0,479.0,8.26,41.0,384.35,3690.0,4.07,19217.5,13426.91,588.98,105.0,16.0
24.0,"North Eastern Karnataka RTC",3992.0,3555.0,"NA",11.6,4466.04,18714.0,5.25,236700.12,153476.7,4745.0,"NA",107.0
25.0,"North Western Karnataka RTC",4184.0,3916.2,4.98,16.0,4946.74,21009.0,5.07,239969.0,187973.0,6753.0,"NA",121.0
26.0,"Pepsu RTC",1076.0,860.0,8.0,60.0,1144.88,2683.0,4.42,1295.75,1145.36,"NA",48.0,32.0
27.0,"Pune Mahamandal",1634.0,1183.0,7.25,0.0,1003.3,9633.0,3.32,62020.65,38690.35,3822.81,91.0,19.0
28.0,"Rajasthan SRTC",4383.0,4096.0,4.41,11.45,6066.24,21053.0,4.97,303312.0,221114.45,3299.27,453.0,167.0
29.0,"South Bengal STC",484.0,352.0,6.25,19.83,363.56,2316.0,4.1,18178.0,14857.81,943.7,62.0,9.0
30.0,"State Exp.TC TN Ltd.",959.0,882.0,4.02,79.74,1954.25,6146.0,5.08,77720.52,61070.19,234.94,428.0,57.0
31.0,"Thane MTU",339.0,205.0,3.7,"NA",144.5,2356.0,2.56,"NA","NA",887.97,84.0,4.0
32.0,"TN STC (Coimbatore)Ltd.",3046.0,2962.0,4.8,35.9,4563.01,18214.0,5.08,321302.27,233316.32,9962.67,831.0,173.0
33.0,"TN STC (Kumbakonam)Ltd.",3614.0,3382.0,4.4,28.54,5994.72,22314.0,5.52,376342.15,296609.0,11528.31,1138.0,244.0
34.0,"TN STC (Madurai)Ltd.",2480.0,2369.0,3.73,20.25,3850.62,14141.0,5.39,263182.85,222214.24,7696.44,751.0,149.0
35.0,"TN STC (Salem)Ltd.",2067.0,2051.0,4.68,22.5,3588.25,7441.0,5.39,230366.53,169388.85,6941.24,294.0,140.0
36.0,"TN STC (Villupuram) Ltd.",3325.0,3190.0,4.94,35.37,5915.3,21226.0,5.5,373967.57,309167.0,9717.67,1532.0,247.0
37.0,"Tripura RTC",63.0,38.0,4.5,0.0,17.8,510.0,4.1,748.0,516.0,10.0,0.0,0.0
38.0,"Uttar Pradesh SRTC",8746.0,8325.0,"NA","NA",10872.0,28928.0,4.92,532740.0,372918.0,4911.0,945.0,410.0
"Total","All India",131824.0,119209.2,"","",150666.45,727990.0,"",7681603.53,5519846.38,291263.9,20783.0,4378.0
